node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	163	777	0	173540	1706	0	0	0	0	91460	890	0	0	0	0	200	0	0	0.63	0.55	0.63
50	159	790	2000	211816	2088	0	0	0	0	112216	1092	0	0	0	0	200	0	0	0.69	0.56	0.63
50	160	818	4000	213752	2108	0	0	0	0	113108	1104	0	0	0	0	200	0	0	0.64	0.55	0.63
50	165	797	6000	220986	2179	0	0	0	0	117314	1143	0	0	0	0	200	0	0	0.71	0.58	0.64
50	160	797	8000	224196	2206	0	0	0	0	118930	1155	0	0	0	0	200	0	0	0.60	0.56	0.63
50	157	803	10000	236722	2321	0	0	0	0	125118	1213	0	0	0	0	200	0	0	0.47	0.53	0.62
50	164	811	12000	323944	2976	0	0	0	0	168942	1541	0	0	0	0	200	0	0	0.36	0.50	0.61
50	162	814	14000	568742	5249	0	0	0	0	292262	2687	0	0	0	0	200	9	0	0.54	0.54	0.62
50	161	805	16000	968492	7937	0	0	0	0	493863	4034	0	0	0	0	200	51	0	0.46	0.52	0.61
50	156	815	18000	1699712	13923	0	0	0	0	858827	7024	0	0	0	0	200	130	0	0.43	0.51	0.60
50	164	805	20000	1972239	15940	0	0	0	0	994661	8029	0	0	0	0	200	184	0	0.41	0.50	0.60
50	160	811	22000	2091593	17029	0	0	0	0	1056119	8585	0	0	0	0	200	192	0	0.49	0.51	0.60
50	162	798	24000	2144233	17367	0	0	0	0	1081981	8751	0	0	0	0	200	200	0	0.40	0.48	0.59
50	162	798	26000	2207109	17968	0	0	0	0	1114201	9056	0	0	0	0	200	200	0	0.29	0.45	0.57
50	157	797	28000	2298095	18474	0	0	0	0	1160556	9313	0	0	0	0	200	200	0	0.34	0.45	0.57
50	158	802	30000	2329019	18568	0	0	0	0	1175690	9355	0	0	0	0	200	200	0	0.27	0.42	0.55
50	181	808	32000	2241954	17574	0	0	0	0	1132225	8860	0	0	0	0	200	200	0	0.34	0.42	0.55
50	166	815	34000	2473172	19085	0	0	0	0	1248891	9617	0	0	0	0	200	200	0	0.43	0.43	0.55
50	162	825	36000	2489062	19252	0	0	0	0	1256906	9705	0	0	0	0	200	200	0	0.53	0.45	0.55
50	163	799	38000	2440000	18714	0	0	0	0	1232506	9433	0	0	0	0	200	200	0	0.47	0.44	0.54
50	159	815	40000	2464763	18912	0	0	0	0	1245211	9529	0	0	0	0	200	200	0	0.40	0.43	0.53
50	168	802	42000	2385176	18145	0	0	0	0	1206039	9152	0	0	0	0	200	200	0	0.72	0.48	0.55
50	160	809	44000	2481470	18758	0	0	0	0	1253797	9456	0	0	0	0	200	200	0	0.53	0.46	0.54
50	159	812	46000	2570925	19351	0	0	0	0	1299293	9753	0	0	0	0	200	200	0	0.50	0.47	0.54
50	163	825	48000	2480529	18403	0	0	0	0	1253485	9278	0	0	0	0	200	200	0	0.63	0.51	0.55
50	161	786	50000	2499796	18285	0	0	0	0	1263412	9222	0	0	0	0	200	200	0	0.31	0.44	0.52
50	159	783	52000	2594916	18914	0	0	0	0	1312114	9540	0	0	0	0	200	200	0	0.16	0.38	0.50
50	159	795	54000	2681049	19569	0	0	0	0	1354717	9865	0	0	0	0	200	200	0	0.28	0.37	0.49
50	161	778	56000	2736365	20028	0	0	0	0	1383018	10098	0	0	0	0	200	200	0	0.27	0.35	0.47
50	160	787	58000	2678298	19359	0	0	0	0	1353787	9762	0	0	0	0	200	200	0	0.18	0.30	0.44
