node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	162	514	0	104276	1149	0	0	0	0	54332	597	0	0	0	0	200	0	0	0.54	0.37	0.47
50	159	525	2000	160712	1485	0	0	0	0	84560	776	0	0	0	0	200	0	0	0.58	0.38	0.47
50	155	535	4000	372922	2104	0	0	0	0	158219	1042	0	0	0	0	200	0	0	0.53	0.37	0.47
50	156	530	6000	659857	2863	0	0	0	0	273169	1389	0	0	0	0	200	0	0	0.52	0.37	0.47
50	158	529	8000	720855	3355	0	0	0	0	299466	1619	0	0	0	0	200	0	0	0.44	0.36	0.46
50	157	530	10000	818397	4261	0	2	0	0	344760	2015	0	0	0	0	200	2	0	0.41	0.36	0.46
50	157	528	12000	1018260	5831	0	0	0	0	414215	2556	0	0	0	0	200	12	0	0.43	0.37	0.46
50	161	528	14000	1155459	6770	0	2	0	0	476287	2930	0	0	0	0	200	31	0	0.33	0.35	0.45
50	160	530	16000	1741108	11742	0	2	0	0	648328	4356	0	0	0	0	200	166	0	0.24	0.33	0.44
50	157	530	18000	1961470	13608	0	0	0	0	719430	4958	0	0	0	0	200	200	0	0.68	0.43	0.47
50	156	526	20000	1981012	13667	0	0	0	0	741606	5106	0	0	0	0	200	200	0	0.57	0.43	0.47
50	162	539	22000	2042632	14307	0	0	0	0	763727	5348	0	0	0	0	200	200	0	0.44	0.41	0.46
50	157	525	24000	2087120	14653	0	2	0	0	785859	5538	0	0	0	0	200	200	0	0.29	0.37	0.45
50	157	521	26000	2137766	15097	0	0	0	0	809413	5736	0	0	0	0	200	200	0	0.45	0.42	0.46
50	156	525	28000	2182634	15536	0	0	0	0	833533	5968	0	0	0	0	200	200	0	0.38	0.40	0.45
50	157	525	30000	2201004	15592	0	0	0	0	852056	6086	0	0	0	0	200	200	0	0.39	0.39	0.45
50	159	529	32000	2232278	16024	0	0	0	0	868149	6297	0	0	0	0	200	200	0	0.22	0.35	0.43
50	158	524	34000	2332781	16799	0	0	0	0	906590	6598	0	0	0	0	200	200	0	0.33	0.35	0.43
50	158	528	36000	2378043	17142	0	0	0	0	934974	6818	0	0	0	0	200	200	0	0.27	0.34	0.42
50	158	526	38000	2440263	17625	0	0	0	0	959887	7031	0	0	0	0	200	200	0	0.14	0.29	0.40
50	160	521	40000	2401589	17382	0	0	0	0	957718	7038	0	0	0	0	200	200	0	0.07	0.26	0.38
50	156	529	42000	2470937	17990	0	0	0	0	987745	7306	0	0	0	0	200	200	0	0.33	0.29	0.38
50	155	528	44000	2483073	18133	0	0	0	0	1003461	7458	0	0	0	0	200	200	0	0.16	0.25	0.36
50	157	533	46000	2570941	18886	0	0	0	0	1040332	7780	0	0	0	0	200	200	0	0.15	0.23	0.35
50	157	525	48000	2583316	19003	0	0	0	0	1048116	7848	0	0	0	0	200	200	0	0.06	0.19	0.33
50	159	528	50000	2660851	19608	0	0	0	0	1080784	8115	0	0	0	0	200	200	0	0.10	0.17	0.31
50	157	531	52000	2677201	19768	0	0	0	0	1096691	8270	0	0	0	0	200	200	0	0.12	0.16	0.30
50	158	526	54000	2712397	20045	0	2	0	0	1117602	8444	0	0	0	0	200	200	0	0.05	0.13	0.28
50	158	523	56000	2791112	20740	0	0	0	0	1147602	8703	0	0	0	0	200	200	0	0.31	0.22	0.30
50	156	522	58000	2876368	21557	0	0	0	0	1178173	9012	0	0	0	0	200	200	0	0.11	0.18	0.27
