node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	168	6244	0	12226916	51918	0	2494	0	0	3433380	14651	0	0	0	0	200	102	79	0.86	0.84	0.89
49	158	5748	2000	13192366	58557	0	2397	0	0	3690716	16443	0	0	0	0	200	137	74	1.13	0.89	0.91
49	159	5822	4000	15160758	66307	0	2433	0	0	4225430	18541	0	0	0	0	200	140	56	1.02	0.88	0.91
49	156	5129	6000	16184948	70554	0	2381	0	0	4461880	19573	0	0	0	0	200	139	66	1.01	0.89	0.91
49	156	6115	8000	18608506	80587	0	2508	0	0	5210974	22682	0	0	0	0	200	136	65	1.02	0.89	0.91
49	160	4861	10000	17922170	80295	0	2465	0	0	4991452	22481	0	0	0	0	200	164	54	1.76	1.07	0.97
49	159	4266	12000	19460048	87977	0	2411	0	0	5392568	24536	0	0	0	0	200	162	45	2.33	1.23	1.02
49	158	4861	14000	19273130	89177	0	2463	0	0	5349128	24874	0	0	0	0	200	166	39	1.67	1.16	1.00
49	158	4442	16000	20909036	97932	0	2474	0	0	5794612	27258	0	0	0	0	200	171	35	2.13	1.29	1.05
49	157	4900	18000	22166274	103252	0	2470	0	0	6198932	29000	0	0	0	0	200	154	43	1.53	1.23	1.04
49	158	4776	20000	23286948	112457	0	2449	0	0	6468108	31366	0	0	0	0	200	181	31	1.19	1.18	1.02
49	158	6160	22000	25784536	124201	0	2434	0	0	7108918	34421	0	0	0	0	200	184	30	1.36	1.22	1.04
49	159	4076	24000	25671210	125749	0	2439	0	0	7123852	35028	0	0	0	0	200	186	37	1.32	1.22	1.05
49	158	6391	26000	25804552	129670	0	2488	0	0	7168634	36172	0	0	0	0	200	151	64	1.32	1.24	1.06
49	157	4984	28000	28624624	141745	0	2476	0	0	7935782	39437	0	0	0	0	200	136	116	1.91	1.39	1.12
49	158	4453	30000	30953868	150414	0	2462	0	0	8559544	41768	0	0	0	0	200	107	112	1.09	1.24	1.08
49	157	3950	32000	31331724	154421	0	2453	0	0	8598700	42635	0	0	0	0	200	133	64	1.18	1.24	1.09
49	157	5892	34000	31797104	160804	0	2448	0	0	8793780	44649	0	0	0	0	200	180	25	1.32	1.26	1.10
49	158	5324	36000	31706752	164573	0	2440	0	0	8764706	45675	0	0	0	0	200	195	23	1.91	1.41	1.16
49	159	5443	38000	33483816	174980	0	2511	0	0	9207014	48318	0	0	0	0	200	192	17	1.81	1.45	1.18
49	158	4528	40000	33855218	176074	0	2367	0	0	9380346	48964	0	0	0	0	200	192	21	1.37	1.39	1.18
49	158	5153	42000	34313160	180723	0	2432	0	0	9523940	50314	0	0	0	0	200	197	18	1.12	1.31	1.16
49	158	5557	44000	37384654	196953	0	2526	0	0	10286532	54414	0	0	0	0	200	194	19	1.56	1.37	1.19
49	158	4098	46000	37605756	196788	0	2415	0	0	10510666	55096	0	0	0	0	200	192	24	1.20	1.29	1.17
49	158	5120	48000	38823312	205310	0	2486	0	0	10768796	57119	0	0	0	0	200	195	19	1.64	1.39	1.21
49	158	4833	50000	39127382	208640	0	2424	0	0	10891408	58266	0	0	0	0	200	198	16	3.14	1.82	1.37
49	158	4651	52000	41044376	218983	0	2434	0	0	11396268	60919	0	0	0	0	200	192	19	2.79	1.94	1.43
49	158	4471	54000	44213582	234307	0	2418	0	0	12251454	65057	0	0	0	0	200	194	18	1.43	1.69	1.38
49	158	4772	56000	43791152	234865	0	2468	0	0	12158226	65357	0	0	0	0	200	193	17	1.21	1.57	1.36
49	157	4628	58000	44835550	240606	0	2427	0	0	12334178	66428	0	0	0	0	200	196	16	1.89	1.62	1.39
