node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	228	4584	0	3183462	15312	0	637	0	0	1602384	7717	0	0	0	0	198	20	55	0.31	0.41	0.41
50	161	5009	2000	5303664	24567	0	610	0	0	2666650	12370	0	0	0	0	200	46	25	0.42	0.43	0.41
50	163	4974	4000	5419436	24926	0	629	0	0	2725006	12555	0	0	0	0	200	38	22	0.75	0.49	0.43
50	162	6111	6000	6873640	31642	0	635	0	0	3459290	15948	0	0	0	0	200	46	28	0.89	0.54	0.45
50	163	4807	8000	7564156	34702	0	616	0	0	3808834	17494	0	0	0	0	200	49	42	0.90	0.57	0.46
50	162	4095	10000	8691120	39359	0	626	0	0	4373186	19823	0	0	0	0	200	66	70	0.86	0.58	0.47
50	161	4638	12000	10048552	46332	0	627	0	0	5053912	23321	0	0	0	0	200	69	103	0.76	0.57	0.47
50	166	4931	14000	9026088	42509	0	628	0	0	4541862	21419	0	0	0	0	200	63	28	1.22	0.68	0.51
50	162	4253	16000	11537574	52229	0	627	0	0	5800146	26297	0	0	0	0	200	62	27	1.87	0.86	0.57
50	162	4678	18000	12949180	59257	0	639	0	0	6504008	29806	0	0	0	0	200	69	27	1.69	0.90	0.59
50	163	4353	20000	13424566	61885	0	630	0	0	6750628	31155	0	0	0	0	200	81	28	1.58	0.95	0.62
50	162	4664	22000	13866554	64784	0	603	0	0	6970098	32607	0	0	0	0	200	69	22	1.33	0.95	0.63
50	163	3879	24000	15404290	71735	0	630	0	0	7746474	36114	0	0	0	0	200	82	34	1.40	1.00	0.66
50	161	4822	26000	15219446	72286	0	620	0	0	7655396	36395	0	0	0	0	200	77	18	1.22	1.00	0.67
50	161	3899	28000	16859552	80989	0	623	0	0	8476320	40767	0	0	0	0	200	62	38	1.19	1.02	0.69
50	163	3222	30000	12527670	66328	0	614	0	0	6311514	33433	0	0	0	0	200	42	50	1.32	1.06	0.72
50	162	4175	32000	16379940	79228	0	612	0	0	8246300	39919	0	0	0	0	200	51	24	1.09	1.05	0.73
50	161	4559	34000	20017740	94996	0	625	0	0	10066224	47830	0	0	0	0	200	65	36	1.70	1.18	0.78
50	160	4499	36000	21444792	103567	0	625	0	0	10783866	52125	0	0	0	0	200	85	13	1.06	1.09	0.77
50	163	4096	38000	21249876	102782	0	616	0	0	10685850	51747	0	0	0	0	200	79	19	1.03	1.06	0.78
50	162	4634	40000	24001470	114479	0	627	0	0	12061232	57584	0	0	0	0	200	76	12	1.58	1.17	0.83
50	162	4791	42000	24155914	117397	0	612	0	0	12132956	59021	0	0	0	0	200	86	20	2.77	1.51	0.96
50	161	4311	44000	24791788	120671	0	630	0	0	12459636	60700	0	0	0	0	200	82	19	1.85	1.48	0.98
50	162	4469	46000	25536938	125462	0	626	0	0	12847912	63155	0	0	0	0	200	75	10	1.00	1.31	0.95
50	161	4587	48000	28282452	138900	0	638	0	0	14204076	69819	0	0	0	0	200	86	10	1.24	1.30	0.97
50	163	4826	50000	27023158	134843	0	625	0	0	13582362	67832	0	0	0	0	200	87	14	0.93	1.20	0.96
50	160	5264	52000	28179098	139931	0	621	0	0	14156664	70362	0	0	0	0	200	81	19	1.08	1.18	0.96
50	162	4724	54000	31646522	156507	0	619	0	0	15905992	78736	0	0	0	0	200	82	11	1.60	1.33	1.03
50	161	5168	56000	32023760	157543	0	625	0	0	16076634	79155	0	0	0	0	200	77	19	1.59	1.35	1.05
50	162	4566	58000	33592812	167070	0	630	0	0	16868102	83962	0	0	0	0	200	88	19	0.92	1.20	1.02
