node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	205	992	0	35544	420	0	0	0	0	18116	214	0	0	0	0	200	0	0	0.97	1.20	1.02
50	155	914	2000	56400	656	0	0	0	0	29150	339	0	0	0	0	200	0	0	0.98	1.20	1.02
50	157	918	4000	65390	765	0	0	0	0	33840	396	0	0	0	0	200	0	0	0.90	1.17	1.02
50	158	917	6000	74798	877	0	0	0	0	38892	456	0	0	0	0	200	0	0	0.84	1.15	1.01
50	158	928	8000	87212	1002	0	0	0	0	45052	518	0	0	0	0	200	0	0	0.71	1.11	1.00
50	156	913	10000	97834	1109	0	0	0	0	50396	572	0	0	0	0	200	0	0	0.71	1.09	0.99
50	158	927	12000	116834	1231	0	0	0	0	59988	634	0	0	0	0	200	0	0	0.56	1.04	0.98
50	158	917	14000	143066	1409	0	0	0	0	73190	725	0	0	0	0	200	5	0	0.43	0.99	0.96
50	158	925	16000	178348	1590	0	0	0	0	90772	814	0	0	0	0	200	7	0	0.37	0.94	0.95
50	156	913	18000	217404	1848	0	0	0	0	110642	947	0	0	0	0	200	14	0	0.46	0.91	0.94
50	160	922	20000	290148	2190	0	0	0	0	146906	1117	0	0	0	0	200	22	0	0.46	0.87	0.92
50	157	918	22000	364430	2597	0	0	0	0	184270	1323	0	0	0	0	200	30	0	0.53	0.85	0.91
50	157	908	24000	463636	3288	0	0	0	0	233820	1668	0	0	0	0	200	59	0	0.38	0.78	0.89
50	157	927	26000	570544	3808	0	0	0	0	287600	1932	0	0	0	0	200	69	0	0.46	0.76	0.88
50	158	917	28000	689490	4643	0	0	0	0	346774	2349	0	0	0	0	200	75	0	0.28	0.68	0.85
50	158	932	30000	814072	5436	0	0	0	0	409728	2750	0	0	0	0	200	88	0	0.38	0.67	0.83
50	157	921	32000	916166	6135	0	0	0	0	460734	3099	0	0	0	0	200	108	0	0.36	0.63	0.81
50	157	910	34000	1146040	7932	0	0	0	0	575786	3999	0	0	0	0	200	119	0	0.31	0.58	0.79
50	157	925	36000	1190598	7739	0	0	0	0	598102	3903	0	0	0	0	200	122	0	0.16	0.50	0.76
50	159	909	38000	1409812	9058	0	0	0	0	708224	4568	0	0	0	0	200	133	0	0.14	0.46	0.73
50	158	919	40000	1623524	10716	0	0	0	0	815058	5393	0	0	0	0	200	150	0	0.14	0.41	0.70
50	157	899	42000	1851460	12472	0	0	0	0	929344	6278	0	0	0	0	200	167	0	0.07	0.35	0.66
50	158	920	44000	1923894	12649	0	0	0	0	965652	6368	0	0	0	0	200	165	0	0.03	0.29	0.62
50	157	928	46000	2244750	15103	0	0	0	0	1125874	7593	0	0	0	0	200	173	0	0.21	0.29	0.61
50	157	917	48000	2163184	13798	0	0	0	0	1084886	6939	0	0	0	0	200	176	0	0.09	0.25	0.57
50	158	918	50000	2471402	16181	0	0	0	0	1239744	8138	0	0	0	0	200	194	0	0.12	0.22	0.54
50	159	912	52000	2678210	17397	0	0	0	0	1343740	8752	0	0	0	0	200	192	0	0.12	0.20	0.52
50	156	914	54000	1932322	11055	0	0	0	0	970190	5575	0	0	0	0	200	144	0	0.26	0.21	0.50
50	157	917	56000	2881598	18377	0	0	0	0	1445090	9239	0	0	0	0	200	196	0	0.23	0.20	0.47
50	158	914	58000	2996704	18462	0	0	0	0	1502770	9283	0	0	0	0	200	200	0	0.13	0.18	0.45
