node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	219	910	0	209846	1915	0	6	0	0	61908	564	0	0	0	0	200	0	0	0.34	0.28	0.63
49	156	907	2000	275986	2295	0	4	0	0	84300	696	0	0	0	0	200	0	0	0.31	0.27	0.62
49	157	915	4000	331300	2635	0	2	0	0	99880	790	0	0	0	0	200	0	0	0.28	0.27	0.62
49	158	921	6000	360075	2684	0	0	0	0	108140	806	0	0	0	0	200	0	0	0.63	0.34	0.64
49	157	913	8000	425305	3081	0	4	0	0	127676	923	0	0	0	0	200	0	0	0.99	0.44	0.67
49	156	922	10000	463872	3194	0	2	0	0	138377	953	0	0	0	0	200	0	0	1.00	0.47	0.67
49	159	928	12000	543601	3608	0	0	0	0	160644	1068	0	0	0	0	200	0	0	1.08	0.51	0.68
49	159	917	14000	1377129	5891	0	4	0	0	385713	1707	0	0	0	0	200	23	0	0.93	0.51	0.68
49	157	916	16000	2048853	11530	0	4	0	0	566207	3227	0	0	0	0	200	172	0	0.67	0.48	0.66
49	156	915	18000	2434286	13272	0	4	0	0	677373	3732	0	0	0	0	200	200	0	0.48	0.45	0.65
49	156	911	20000	3094703	14143	0	2	0	0	856887	3940	0	0	0	0	200	200	0	0.37	0.42	0.63
49	156	918	22000	3146603	14601	0	4	0	0	864301	4014	0	0	0	0	200	200	0	0.24	0.39	0.62
49	158	911	24000	3864371	15910	0	2	0	0	1061384	4376	0	0	0	0	200	200	0	0.33	0.40	0.61
49	156	922	26000	3871518	15599	0	2	0	0	1063506	4309	0	0	0	0	200	200	0	0.43	0.41	0.61
49	158	919	28000	4011429	16087	0	0	0	0	1103788	4447	0	0	0	0	200	200	0	0.67	0.47	0.62
49	159	919	30000	4523351	16558	0	2	0	0	1234273	4572	0	0	0	0	200	200	0	0.42	0.43	0.60
49	157	914	32000	4726379	17032	0	8	0	0	1297431	4704	0	0	0	0	200	200	0	0.28	0.40	0.59
49	157	915	34000	5287504	17715	0	2	0	0	1448965	4911	0	0	0	0	200	200	0	0.26	0.38	0.57
49	157	916	36000	5301227	17802	0	2	0	0	1443925	4909	0	0	0	0	200	200	0	0.45	0.39	0.57
49	157	921	38000	5528964	18353	0	4	0	0	1515260	5078	0	0	0	0	200	200	0	0.23	0.34	0.54
49	159	925	40000	6114729	19428	0	6	0	0	1663966	5355	0	0	0	0	200	200	0	0.19	0.31	0.52
49	157	912	42000	6005564	19076	0	4	0	0	1629838	5258	0	0	0	0	200	200	0	0.13	0.28	0.50
49	156	913	44000	6741436	20588	0	6	0	0	1831727	5671	0	0	0	0	200	200	0	0.09	0.25	0.47
49	157	921	46000	6986169	20725	0	2	0	0	1911539	5758	0	0	0	0	200	200	0	0.08	0.22	0.45
49	156	923	48000	6968575	20713	0	12	0	0	1902023	5732	0	0	0	0	200	200	0	0.22	0.24	0.45
49	155	918	50000	8063485	22148	0	4	0	0	2219104	6149	0	0	0	0	200	200	0	0.15	0.22	0.43
49	157	923	52000	7782420	21795	0	4	0	0	2126949	6036	0	0	0	0	200	200	0	0.23	0.22	0.41
49	158	912	54000	8108393	22908	0	4	0	0	2198425	6318	0	0	0	0	200	200	0	0.13	0.20	0.39
49	160	916	56000	8610813	22998	0	4	0	0	2359243	6391	0	0	0	0	200	200	0	0.08	0.17	0.37
49	160	919	58000	8751332	23590	0	2	0	0	2400910	6577	0	0	0	0	200	200	0	0.14	0.17	0.35
