node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	202	928	0	122746	1085	0	0	0	0	63190	558	0	0	0	0	200	0	0	0.27	0.28	0.60
50	161	931	2000	159105	1372	0	0	0	0	85965	729	0	0	0	0	200	0	0	0.25	0.28	0.59
50	160	930	4000	193273	1535	0	0	0	0	101747	811	0	0	0	0	200	0	0	0.44	0.32	0.60
50	160	929	6000	214934	1647	0	0	0	0	111079	859	0	0	0	0	200	0	0	0.38	0.31	0.60
50	159	926	8000	257990	1835	0	0	0	0	128888	948	0	0	0	0	200	0	0	0.32	0.30	0.59
50	160	931	10000	355119	2405	0	2	0	0	165249	1154	0	0	0	0	200	9	0	0.31	0.30	0.58
50	162	930	12000	418942	2822	0	0	0	0	186705	1284	0	0	0	0	200	16	0	0.37	0.31	0.58
50	160	936	14000	732685	3295	0	2	0	0	307439	1521	0	0	0	0	200	9	0	0.37	0.31	0.58
50	160	937	16000	1381409	8943	0	0	0	0	487504	3108	0	0	0	0	200	161	0	0.39	0.32	0.58
50	160	925	18000	1659796	11079	0	2	0	0	566975	3706	0	0	0	0	200	200	0	0.45	0.34	0.58
50	158	928	20000	1906001	11197	0	0	0	0	663536	3825	0	0	0	0	200	200	0	0.51	0.37	0.58
50	160	931	22000	1963115	11523	0	0	0	0	682056	3908	0	0	0	0	200	200	0	0.34	0.33	0.56
50	158	932	24000	2116330	11748	0	0	0	0	739844	4019	0	0	0	0	200	200	0	0.28	0.32	0.54
50	161	927	26000	2204677	11992	0	2	0	0	772251	4098	0	0	0	0	200	200	0	0.33	0.32	0.54
50	160	932	28000	2269178	12212	0	0	0	0	799746	4207	0	0	0	0	200	200	0	0.26	0.31	0.53
50	160	931	30000	2435205	12194	0	0	0	0	864914	4243	0	0	0	0	200	200	0	0.36	0.32	0.52
50	160	931	32000	2437272	12209	0	0	0	0	869925	4271	0	0	0	0	200	200	0	0.27	0.30	0.51
50	163	930	34000	2705027	12977	0	2	0	0	960870	4519	0	0	0	0	200	200	0	0.22	0.28	0.49
50	158	934	36000	2805029	13214	0	0	0	0	1004454	4654	0	0	0	0	200	200	0	0.19	0.26	0.47
50	164	938	38000	2795817	13365	0	0	0	0	1004177	4710	0	0	0	0	200	200	0	0.10	0.22	0.45
50	160	922	40000	2928131	13002	0	0	0	0	1057328	4636	0	0	0	0	200	200	0	0.09	0.20	0.43
50	162	932	42000	2996535	13349	0	2	0	0	1085055	4762	0	0	0	0	200	200	0	0.13	0.20	0.42
50	160	932	44000	3096017	13305	0	0	0	0	1120021	4791	0	0	0	0	200	200	0	0.27	0.23	0.42
50	160	930	46000	3266782	13865	0	0	0	0	1187566	4990	0	0	0	0	200	200	0	0.24	0.23	0.41
50	161	928	48000	3280909	13758	0	0	0	0	1191279	4951	0	0	0	0	200	200	0	0.91	0.38	0.45
50	160	926	50000	3562614	14429	0	0	0	0	1291518	5195	0	0	0	0	200	200	0	0.41	0.33	0.43
50	160	925	52000	3517539	14200	0	0	0	0	1282571	5151	0	0	0	0	200	200	0	0.23	0.30	0.41
50	160	931	54000	3589103	14285	0	0	0	0	1310647	5227	0	0	0	0	200	200	0	0.12	0.26	0.39
50	160	921	56000	3788852	14813	0	0	0	0	1377080	5355	0	0	0	0	200	200	0	0.11	0.24	0.37
50	163	930	58000	3864838	15281	0	2	0	0	1404082	5507	0	0	0	0	200	200	0	0.23	0.24	0.36
