node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	209	484	0	31146128	75962	0	0	0	0	8507400	20851	0	0	0	0	200	26	8	0.48	0.25	0.38
49	158	502	2000	44526779	125264	0	0	0	0	12533101	35134	0	0	0	0	200	199	9	0.56	0.28	0.38
49	158	496	4000	53380428	142157	0	0	0	0	15411111	40828	0	0	0	0	200	200	8	3.32	0.85	0.57
49	158	504	6000	46540554	125693	0	0	0	0	12730645	34552	0	0	0	0	200	200	7	3.21	0.91	0.59
49	158	492	8000	61812193	162052	0	0	0	0	16383433	43162	0	0	0	0	200	193	8	3.01	0.94	0.61
49	158	513	10000	53262270	143270	0	0	0	0	14519316	39296	0	0	0	0	200	200	7	2.76	1.00	0.63
49	157	506	12000	58936874	166861	0	2	0	0	16260172	46319	0	0	0	0	200	200	8	2.15	0.95	0.62
49	160	501	14000	52860930	154857	0	0	0	0	14735388	43382	0	0	0	0	200	200	7	1.68	0.92	0.62
49	159	496	16000	55061285	154769	0	2	0	0	14814874	41977	0	0	0	0	200	200	6	1.31	0.87	0.61
49	158	498	18000	67339656	177307	0	0	0	0	18848745	49614	0	0	0	0	200	200	8	1.08	0.85	0.61
49	158	503	20000	65395528	177954	0	4	0	0	17695671	48428	0	0	0	0	200	200	7	0.77	0.79	0.59
49	158	497	22000	72141034	188629	0	0	0	0	19604505	51471	0	0	0	0	200	200	7	1.52	0.97	0.66
49	157	498	24000	69024774	183166	0	0	0	0	18569309	49607	0	0	0	0	200	200	8	2.12	1.13	0.72
49	156	499	26000	75459248	197841	0	0	0	0	21181890	55457	0	0	0	0	200	200	8	1.52	1.07	0.71
49	159	491	28000	60203324	172008	0	2	0	0	16108264	46394	0	0	0	0	200	200	7	3.29	1.59	0.90
49	157	501	30000	66836548	190112	0	0	0	0	18672888	53077	0	0	0	0	200	200	7	1.91	1.43	0.87
49	158	507	32000	72389109	200374	0	0	0	0	20056507	55586	0	0	0	0	200	200	7	1.23	1.30	0.85
49	160	497	34000	69056232	193668	0	2	0	0	19123929	53756	0	0	0	0	200	200	7	4.93	2.38	1.23
49	159	502	36000	66740940	195629	0	0	0	0	17865357	52705	0	0	0	0	200	200	8	2.53	2.08	1.18
49	160	493	38000	79766788	224372	0	0	0	0	21584063	60664	0	0	0	0	200	200	8	1.35	1.83	1.13
49	160	500	40000	73706588	213657	0	0	0	0	20464155	59376	0	0	0	0	200	200	8	6.78	3.20	1.63
49	160	501	42000	85823443	232231	0	0	0	0	23648714	64161	0	0	0	0	200	190	7	3.20	2.75	1.55
49	157	500	44000	78203335	220211	0	2	0	0	22381723	62388	0	0	0	0	200	200	7	1.63	2.37	1.48
49	156	496	46000	76343319	220512	0	2	0	0	20506064	59674	0	0	0	0	200	200	7	4.36	2.85	1.68
49	158	503	48000	76350210	216987	0	2	0	0	20760191	59340	0	0	0	0	200	200	8	3.36	2.76	1.71
49	160	501	50000	68441088	201304	0	0	0	0	18585239	55034	0	0	0	0	200	200	7	1.46	2.33	1.61
49	159	504	52000	76280370	218877	0	0	0	0	20380706	58866	0	0	0	0	200	200	7	2.60	2.73	1.81
49	159	499	54000	88812577	229319	0	0	0	0	26493837	67264	0	0	0	0	200	200	8	6.65	4.09	2.34
49	159	504	56000	75640315	216795	0	4	0	0	20448508	58979	0	0	0	0	200	200	8	3.24	3.51	2.25
49	159	508	58000	97248760	253447	0	0	0	0	28357521	73090	0	0	0	0	200	200	9	1.23	2.88	2.11
