node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	176	506	0	11805857	30529	0	0	0	0	3396225	9338	0	0	0	0	200	1	16	0.37	0.27	0.37
50	158	494	2000	36213562	92480	0	0	0	0	10398989	27007	0	0	0	0	200	184	7	2.58	0.73	0.52
50	159	495	4000	33454221	90677	0	0	0	0	9776755	27243	0	0	0	0	200	200	7	2.53	0.75	0.53
50	161	502	6000	44684169	108347	0	0	0	0	12782323	31958	0	0	0	0	200	200	6	2.22	0.74	0.53
50	160	507	8000	36231398	104508	0	0	0	0	10580806	31597	0	0	0	0	200	200	7	1.80	0.72	0.52
50	160	501	10000	40884282	109495	0	0	0	0	11942708	33310	0	0	0	0	200	200	6	2.17	0.83	0.56
50	161	510	12000	42668692	122237	0	0	0	0	12520645	36903	0	0	0	0	200	200	7	2.28	0.92	0.59
50	161	498	14000	43391087	123506	0	0	0	0	12995139	38287	0	0	0	0	200	200	7	1.87	0.91	0.60
50	162	503	16000	47215314	125313	0	0	0	0	13838346	37843	0	0	0	0	200	200	6	1.34	0.85	0.58
50	162	504	18000	45140502	122692	0	0	0	0	13089672	36899	0	0	0	0	200	200	6	1.64	0.96	0.63
50	161	505	20000	46963526	129700	0	0	0	0	13920584	39434	0	0	0	0	200	200	6	1.17	0.89	0.61
50	160	508	22000	53238183	137970	0	0	0	0	15462170	41825	0	0	0	0	200	200	6	0.76	0.82	0.60
50	160	503	24000	47263936	144815	0	0	0	0	14142077	44722	0	0	0	0	200	200	7	1.87	1.09	0.69
50	162	495	26000	46036085	136765	0	0	0	0	13645832	41805	0	0	0	0	200	200	6	2.02	1.21	0.74
50	161	505	28000	55907919	156522	0	0	0	0	16797096	48219	0	0	0	0	200	200	6	1.22	1.09	0.72
50	162	499	30000	61159974	152499	0	0	0	0	17721482	45608	0	0	0	0	200	200	5	1.52	1.16	0.76
50	163	514	32000	64507777	157330	0	0	0	0	18403819	46898	0	0	0	0	200	200	6	5.48	2.35	1.18
50	161	502	34000	51170366	143853	0	0	0	0	14970946	43699	0	0	0	0	200	200	6	3.06	2.09	1.13
50	161	511	36000	50992597	145409	0	0	0	0	14994425	44410	0	0	0	0	200	200	6	1.57	1.82	1.08
50	161	508	38000	58576694	163949	0	0	0	0	17235665	49993	0	0	0	0	200	200	7	2.26	1.97	1.17
50	160	503	40000	60979935	165840	0	0	0	0	17734512	50152	0	0	0	0	200	200	6	2.43	2.00	1.21
50	160	506	42000	59304672	162154	0	0	0	0	17485666	49490	0	0	0	0	200	200	6	1.15	1.72	1.15
50	159	504	44000	59384950	157002	0	0	0	0	17323801	48203	0	0	0	0	200	200	6	0.66	1.49	1.10
50	161	504	46000	53815260	163654	0	0	0	0	15813594	49893	0	0	0	0	200	200	6	2.11	1.79	1.22
50	163	510	48000	60899634	172341	0	0	0	0	17988038	52943	0	0	0	0	200	200	6	3.63	2.37	1.46
50	159	502	50000	48757669	148906	0	0	0	0	14326061	45850	0	0	0	0	200	200	6	1.57	2.01	1.38
50	163	503	52000	63467588	163913	0	0	0	0	18474835	49529	0	0	0	0	200	200	6	0.63	1.67	1.30
50	162	501	54000	54387726	160329	0	0	0	0	16191316	49635	0	0	0	0	200	200	6	1.73	1.77	1.36
50	163	499	56000	57009055	163322	0	0	0	0	16683348	49765	0	0	0	0	200	200	6	3.70	2.53	1.66
50	162	502	58000	54159553	150325	0	0	0	0	15814352	46429	0	0	0	0	200	200	7	1.73	2.15	1.58
