time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
13036	50	0	128	0	0
26055	50	0	110	0	0
38097	50	0	120	116	2
50954	50	0	112	108	2
63042	50	0	129	124	2
76025	50	0	145	141	2
88070	50	0	136	136	2
100103	50	0	140	140	1
112142	50	0	130	130	2
124169	50	0	131	131	2
136200	50	0	135	135	1
148232	50	0	127	127	2
160275	50	0	133	133	2
172307	50	0	127	127	2
184337	50	0	121	121	2
196371	50	0	119	119	2
208426	50	0	118	118	1
220469	50	0	131	131	2
232517	50	0	125	125	2
244547	50	0	114	114	1
256593	50	0	130	130	2
268619	50	0	117	117	1
280646	50	0	126	120	1
292670	50	0	127	127	1
305433	50	0	135	111	1
317469	50	0	138	138	2
329510	50	0	125	123	2
341553	50	0	137	137	2
353587	50	0	142	140	2
365609	50	0	131	131	1
