node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	21849	200	98	1
50	43880	200	156	0
50	65625	200	158	0
50	87507	200	165	0
50	109329	200	174	0
50	131523	200	175	0
50	153294	200	168	0
50	175091	200	171	0
50	197162	200	182	0
50	219017	200	195	0
50	240984	200	157	0
50	263071	200	163	0
50	285138	200	174	0
50	307104	200	156	0
50	329233	200	136	0
50	351401	200	140	0
50	373420	200	141	0
50	395621	200	159	0
50	416862	200	165	0
50	439043	200	143	0
50	461206	200	129	0
50	483012	200	134	0
50	505212	200	131	0
50	527286	200	156	0
50	549321	200	121	0
50	571404	200	143	0
50	593533	200	133	0
50	615666	200	121	0
50	638738	200	133	0
50	660756	200	156	0
