time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
12933	50	0	149	141	6
25975	50	0	111	26	6
39011	50	0	121	18	4
52029	50	0	116	14	4
65076	50	0	144	26	5
78214	50	0	159	34	7
91247	50	0	154	20	14
104256	50	0	62	7	7
117293	50	0	134	11	4
130325	50	0	119	10	6
143326	50	0	51	10	6
156357	50	0	122	3	276
169386	50	0	121	3	3
182414	50	0	113	3	2
195441	50	0	114	6	3
208384	50	0	34	7	10
221390	50	0	40	12	14
235041	50	0	43	4	4
248060	50	0	142	1	5
261098	50	0	140	61	5
274122	50	0	170	34	7
287145	50	0	139	14	2
300223	50	0	145	11	2
313285	50	0	130	31	17
326308	50	0	144	15	3
339347	50	0	163	4	1
352386	50	0	150	63	115
365424	50	0	157	31	31
378462	50	0	161	18	8
391506	50	0	174	9	2
