time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32065	50	0	128	128	0
64128	50	0	110	110	0
96194	50	0	120	120	0
128257	50	0	112	112	0
160297	50	0	129	129	0
192367	50	0	145	145	0
224409	50	0	136	136	0
256475	50	0	140	140	0
288543	50	0	130	130	0
320608	50	0	131	131	0
352674	50	0	135	135	0
384741	50	0	127	127	0
416808	50	0	133	133	0
448855	50	0	127	127	0
480922	50	0	121	121	0
512988	50	0	119	119	0
545021	50	0	118	118	0
577088	50	0	131	131	0
609118	50	0	125	125	0
641169	50	0	114	114	0
673219	50	0	130	130	0
705285	50	0	117	117	0
737352	50	0	126	126	0
769390	50	0	127	127	0
801420	50	0	135	135	0
833487	50	0	138	138	0
865554	50	0	125	125	0
897595	50	0	137	137	0
929638	50	0	142	142	0
961706	50	0	131	131	0
