time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32068	50	0	149	149	0
64106	50	0	111	111	0
96170	50	0	121	121	0
128230	50	0	116	110	0
160306	50	0	144	144	0
192370	50	0	159	159	0
224425	50	0	154	154	0
256470	50	0	62	62	0
289174	50	0	134	115	0
322239	50	0	119	118	0
354284	50	0	51	50	0
386311	50	0	122	122	0
418375	50	0	121	119	0
450423	50	0	113	113	0
482475	50	0	114	114	0
514517	50	0	34	34	0
546569	50	0	40	40	0
578589	50	0	43	43	0
610622	50	0	142	142	0
642692	50	0	140	140	0
675180	50	0	170	155	0
707248	50	0	139	139	0
739319	50	0	145	145	0
771395	50	0	130	130	0
803541	50	0	144	144	0
835597	50	0	163	162	0
867668	50	0	150	149	0
899738	50	0	157	157	0
932653	50	0	161	157	0
965617	50	0	174	145	0
