time_ms	node_count	path_count	packets_send	packets_received	rtt_avg_ms
32075	50	0	148	148	0
64154	50	0	122	122	0
96221	50	0	129	129	0
128289	50	0	134	134	0
160379	50	0	43	42	0
193395	50	0	132	128	0
225465	50	0	139	139	0
257513	50	0	94	94	0
289564	50	0	45	45	0
322373	50	0	129	125	0
354424	50	0	123	123	0
386495	50	0	133	133	0
418572	50	0	125	125	0
450646	50	0	141	141	0
482700	50	0	159	149	0
514775	50	0	155	155	0
546841	50	0	136	136	0
578914	50	0	146	145	0
610988	50	0	149	149	0
643066	50	0	155	155	0
675126	50	0	143	143	0
707202	50	0	165	165	0
739281	50	0	159	159	0
771342	50	0	139	139	0
803438	50	0	154	154	0
835530	50	0	160	160	0
867611	50	0	159	159	0
899694	50	0	164	164	0
931776	50	0	167	167	0
963858	50	0	170	170	0
