node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303550	9654	7886826	30863	0	0	0	0	2272774	8723	0	0	0	0	200	200	2	0.0115	0.2245	0.9155000000000001
64	304326	11122	12398246	38961	0	0	0	0	3514482	10831	0	0	0	0	200	200	2	0.0095	0.024	0.4375
81	305194	12885	18969080	49186	0	0	0	0	5301310	13533	0	0	0	0	200	200	3	0.0025	0.009499999999999998	0.2065
100	306170	14961	28117093	65660	0	0	0	0	7766956	17896	0	0	0	0	200	200	3	0.0015	0.01	0.1
121	307249	17369	39845174	78173	0	0	0	0	10914472	21134	0	0	0	0	200	200	3	0.0045	0.0095	0.04400000000000001
144	308442	19842	56159281	103324	0	0	0	0	15295057	27787	0	0	0	0	200	200	4	0.0075000000000000015	0.013500000000000002	0.029500000000000005
169	309743	22440	76110957	119722	0	0	0	0	20584476	32038	0	0	0	0	200	200	4	0.0095	0.017000000000000005	0.027000000000000003
196	311155	25676	102132513	150805	0	0	0	0	27455547	40174	0	0	0	0	200	200	4	0.006999999999999999	0.018000000000000006	0.0325
225	312719	28688	134489546	191063	0	0	0	0	35924394	50667	0	0	0	0	200	200	4	0.0235	0.020000000000000004	0.031000000000000007
256	314383	31920	173213990	220465	0	0	0	0	46188759	58231	0	0	0	0	200	200	4	0.005	0.02	0.03750000000000001
289	316183	36285	220879108	264433	0	0	0	0	58682714	69808	0	0	0	0	200	200	4	0.018000000000000006	0.030000000000000006	0.04
324	318145	40213	278209495	319530	0	0	0	0	73593302	84130	0	0	0	0	200	200	5	0.011	0.028500000000000004	0.0475
361	320111	43839	349030957	389858	0	0	0	0	92125173	102411	0	0	0	0	200	200	5	0.027499999999999997	0.04100000000000001	0.06300000000000003
400	322421	48347	429058729	457801	0	0	0	0	112755360	119863	0	0	0	0	200	200	5	0.04	0.039000000000000014	0.0615
441	324790	53438	526362392	545574	0	0	0	0	138126619	142664	0	0	0	0	200	200	6	0.02	0.041500000000000016	0.06650000000000002
484	327224	58796	637595911	636609	0	0	0	0	167097925	166317	0	0	0	0	200	200	6	0.055500000000000015	0.06400000000000003	0.09650000000000004
529	329934	64752	766102918	744412	0	0	0	0	200342521	194114	0	0	0	0	200	200	7	0.0495	0.05900000000000002	0.10100000000000002
576	332806	70581	914659009	861147	0	0	0	0	238535443	224131	0	0	0	0	200	200	6	0.07	0.07150000000000001	0.10800000000000003
625	335922	77537	1086912070	993566	0	0	0	0	282927610	258043	0	0	0	0	200	200	7	0.04	0.06500000000000003	0.11200000000000003
676	339195	84909	1283526632	1134144	0	0	0	0	333872374	294461	0	0	0	0	200	200	8	0.048	0.06350000000000003	0.10550000000000001
729	342444	90040	1504485908	1297224	0	0	0	0	390510572	336188	0	0	0	0	200	200	8	0.07000000000000002	0.07250000000000002	0.11700000000000003
784	346081	97552	1762366158	1533980	0	0	0	0	456930484	397209	0	0	0	0	200	200	8	0.10299999999999998	0.09400000000000003	0.1335
841	350034	107279	2049393402	1735233	0	0	0	0	530678734	448683	0	0	0	0	200	200	8	0.11200000000000002	0.11900000000000002	0.154
900	354033	120158	2365800976	1950457	0	0	0	0	611459526	503631	0	0	0	0	200	200	8	0.13449999999999998	0.11100000000000002	0.15499999999999997
961	358697	129046	2743303562	2281733	0	0	0	0	709642976	589650	0	0	0	0	200	200	9	0.08750000000000002	0.10800000000000005	0.16449999999999998
1024	363296	141347	3140259171	2539325	0	0	0	0	812028067	655795	0	0	0	0	200	200	8	0.08750000000000001	0.12300000000000003	0.17450000000000004
1089	368254	148194	3607446053	2937606	0	0	0	0	932294403	758447	0	0	0	0	200	200	9	0.15849999999999997	0.13800000000000004	0.19750000000000004
1156	373140	165179	4103907844	3248680	0	0	0	0	1060354464	838444	0	0	0	0	200	200	9	0.1335	0.14799999999999996	0.194
1225	378394	166799	4678914976	3715857	0	0	0	0	1209576155	959748	0	0	0	0	200	200	8	0.2125	0.18750000000000003	0.21000000000000002
1296	385033	172116	5329496004	4243448	0	0	0	0	1378084394	1095828	0	0	0	0	200	199	9	0.233	0.21800000000000003	0.24050000000000002
1369	391613	193221	6025097486	4674720	0	0	0	0	1561201802	1209635	0	0	0	0	200	200	10	0.20950000000000002	0.2185	0.24150000000000005
1444	398361	206463	6812636647	5281317	0	0	0	0	1765217703	1366995	0	0	0	0	200	200	10	0.2915	0.248	0.273
1521	405849	222793	7680020880	5938656	0	0	0	0	1995727227	1541585	0	0	0	0	200	200	10	0.265	0.2395000000000001	0.25650000000000006
1600	412714	227626	8618377691	6660721	0	0	0	0	2240468946	1728865	0	0	0	0	200	200	10	0.24	0.2575	0.27749999999999997
1681	420573	246614	9679084831	7457344	0	0	0	0	2521754146	1938873	0	0	0	0	200	200	10	0.31049999999999994	0.293	0.30450000000000005
1764	431812	261703	10960212250	8413847	0	0	0	0	2852482814	2185506	0	0	0	0	200	199	10	0.3515	0.3365	0.326
1849	439142	272809	12247911396	9342376	0	0	0	0	3180594123	2422078	0	0	0	0	200	198	11	0.344	0.37249999999999994	0.37849999999999995
1936	451738	303100	13863139301	10523098	0	0	0	0	3594072514	2724229	0	0	0	0	200	196	10	0.34750000000000003	0.356	0.361
2025	464464	324120	15608749869	11788182	0	0	0	0	4041520211	3048337	0	0	0	0	200	197	11	0.4114999999999999	0.4130000000000001	0.4029999999999999
