node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303570	10200	137993960	749562	0	0	0	0	40153402	217139	0	0	0	0	200	200	4	0.013000000000000001	0.11100000000000002	0.281
64	304359	12564	235298170	1078855	0	0	0	0	67094158	306463	0	0	0	0	200	200	3	0.0185	0.016500000000000004	0.13299999999999995
81	305206	15402	376061396	1484092	0	0	0	0	105569580	415466	0	0	0	0	200	200	3	0.004	0.011500000000000002	0.06300000000000003
100	306198	18461	574235934	2007085	0	0	0	0	159248664	555644	0	0	0	0	200	200	3	0.010499999999999999	0.0185	0.031000000000000007
121	307266	21928	843353176	2676200	0	0	0	0	231583152	733788	0	0	0	0	200	200	3	0.008499999999999999	0.012	0.024
144	308485	25718	1197718974	3522287	0	0	0	0	326169156	958228	0	0	0	0	200	200	3	0.0155	0.018000000000000006	0.029500000000000005
169	309808	29970	1659849342	4578299	0	0	0	0	448930746	1236983	0	0	0	0	200	200	3	0.0095	0.0235	0.0355
196	311229	34452	2237958536	5870150	0	0	0	0	601775186	1577245	0	0	0	0	200	200	3	0.009	0.019000000000000006	0.036
225	312833	39475	2963722192	7454592	0	0	0	0	792963456	1993038	0	0	0	0	200	200	4	0.010499999999999999	0.025500000000000005	0.0425
256	314513	45639	3862909336	9404188	0	0	0	0	1028997162	2503281	0	0	0	0	200	200	4	0.0245	0.030000000000000006	0.05450000000000001
289	316380	51076	4939929064	11717334	0	0	0	0	1310805582	3107005	0	0	0	0	200	200	4	0.006	0.03200000000000001	0.06250000000000001
324	318521	57387	6270883436	14563202	0	0	0	0	1658152922	3848207	0	0	0	0	200	200	4	0.028500000000000004	0.04050000000000001	0.06600000000000002
361	320613	65054	7842484262	17918325	0	0	0	0	2067032606	4719639	0	0	0	0	200	200	4	0.03300000000000001	0.0495	0.08350000000000002
400	323255	70772	9695017512	21884542	0	0	0	0	2547611230	5747035	0	0	0	0	200	200	4	0.0235	0.049000000000000016	0.08750000000000002
441	326137	77642	11871288368	26544788	0	0	0	0	3110813032	6951968	0	0	0	0	200	200	4	0.051000000000000004	0.06800000000000002	0.1115
484	329403	85291	14384158612	31930704	0	0	0	0	3759314552	8340792	0	0	0	0	200	199	5	0.03600000000000001	0.06300000000000003	0.11950000000000001
