node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303626	9800	84773178	445139	0	0	0	0	42474724	212884	0	0	0	0	200	200	4	0.0034999999999999996	0.06100000000000001	0.197
100	306186	17645	329458894	1163585	0	0	0	0	165240286	560947	0	0	0	0	200	200	3	0.001	0.009000000000000001	0.09150000000000004
150	308774	25206	740480552	2190840	0	0	0	0	371159622	1063627	0	0	0	0	200	200	4	0.0	0.0105	0.04350000000000001
200	311402	33119	1321093954	3522359	0	0	0	0	662031946	1717621	0	0	0	0	200	200	3	0.008	0.017	0.034
250	314187	40898	2077350572	5180174	0	0	0	0	1040863152	2543190	0	0	0	0	200	200	3	0.0175	0.025	0.041
300	316923	48625	3013132938	7197531	0	0	0	0	1509286452	3540404	0	0	0	0	200	200	3	0.019	0.028500000000000004	0.05
350	319745	56325	4134434866	9604639	0	0	0	0	2070547980	4727218	0	0	0	0	200	200	3	0.004	0.028000000000000004	0.05800000000000001
400	322611	64415	5443464542	12298293	0	0	0	0	2725742822	6064277	0	0	0	0	200	200	3	0.020499999999999997	0.03450000000000001	0.07
450	325767	71992	6954858842	15454217	0	0	0	0	3481471574	7610029	0	0	0	0	200	200	3	0.017499999999999998	0.03300000000000001	0.068
500	329277	79832	8674255032	19034218	0	0	0	0	4342202782	9391891	0	0	0	0	200	200	3	0.016	0.040000000000000015	0.077
550	332333	87983	10591434710	23031193	0	0	0	0	5301346236	11376596	0	0	0	0	200	200	3	0.019500000000000003	0.04900000000000001	0.09200000000000001
600	335846	96428	12737937116	27575588	0	0	0	0	6374913842	13618691	0	0	0	0	200	200	3	0.014000000000000002	0.04800000000000001	0.101
650	339754	106059	15119503438	32553731	0	0	0	0	7567122036	16109566	0	0	0	0	200	200	3	0.05550000000000001	0.06850000000000003	0.11249999999999996
700	344778	115368	17778172878	38121897	0	0	0	0	8897222042	18889115	0	0	0	0	200	200	3	0.0425	0.07200000000000004	0.1265
750	349030	127841	20685824842	44275253	0	0	0	0	10351449828	21937684	0	0	0	0	200	200	3	0.09	0.10000000000000005	0.14949999999999994
800	357223	134506	24036123688	51324784	0	0	0	0	12027903838	25448757	0	0	0	0	200	200	3	0.128	0.12150000000000005	0.16699999999999998
850	366971	144651	27861662710	59452133	0	0	0	0	13941027838	29460813	0	0	0	0	200	200	4	0.1705	0.18000000000000002	0.21950000000000003
900	378609	157273	32254704314	68678409	0	0	0	0	16137954626	34067923	0	0	0	0	200	200	4	0.23450000000000001	0.2435	0.2845000000000001
950	387937	169800	36825957782	78323999	0	0	0	0	18424231338	38858419	0	0	0	0	200	200	4	0.3335	0.3814999999999999	0.40449999999999997
1000	407886	182157	42060785070	89335835	0	0	0	0	21044665274	44366733	0	0	0	0	200	200	5	0.6889999999999998	0.693	0.6395
1050	409514	199810	42259038566	89867999	0	10164	0	0	21138340524	44599492	0	19770	0	0	200	198	21	0.8424999999999999	0.8225	0.7895000000000001
1100	416054	210674	45696754366	97119947	0	94352	0	0	22860354534	48264349	0	81300	0	0	200	186	56	0.9815000000000002	0.974	0.9279999999999999
1150	444885	220803	48822831112	103738914	0	151804	0	0	24424308844	51564002	0	132267	0	0	200	189	53	1.0349999999999997	1.0115	1.0025
1200	462985	234244	47230805148	100538164	0	217844	0	0	23620777678	49946155	0	163055	0	0	200	184	32	0.9934999999999998	1.008	1.02
1250	448031	239423	43017590342	92064535	0	339260	0	0	21519811234	45717387	0	182184	0	0	200	140	150	1.1320000000000001	1.0659999999999998	1.0505
1300	437767	258299	42810240894	91604995	0	552380	0	0	21380795410	45431039	0	398404	0	0	200	134	156	1.1335000000000002	1.1369999999999996	1.129
1350	472348	262124	42772190132	92236678	0	1385708	0	0	21451878828	45893252	0	449566	0	0	200	24	389	1.2635	1.2645	1.2144999999999997
1400	548739	278681	46751284508	101264712	0	3519268	0	0	23546097768	50654120	0	875268	0	0	200	9	371	1.625	1.636	1.4940000000000002
1450	549616	296117	45533312330	99712191	0	3679788	0	0	22780891702	49554437	0	943209	0	0	200	7	276	1.691	1.6970000000000003	1.6035
1500	562958	295772	43401584250	95991883	0	3766980	0	0	21727357262	47675685	0	872047	0	0	200	5	570	1.661	1.7099999999999997	1.6185000000000003
1550	572350	317935	40972809238	91964733	0	5329322	0	0	20639922736	46005492	0	1108297	0	0	200	3	552	1.9195	1.8665000000000003	1.7195000000000005
1600	593650	336214	38810844642	88747745	0	6780400	0	0	19505697618	44374533	0	1303847	0	0	200	0	0	2.1100000000000003	2.0900000000000003	1.9134999999999998
1650	641173	348895	39465668164	91897178	0	6224298	0	0	19810630776	45800780	0	1173613	0	0	200	1	2	2.084	2.053	1.9169999999999998
1700	654052	348846	37206820996	89128300	0	7147856	0	0	18477598996	44032424	0	1245481	0	0	200	0	0	2.27	2.205	2.022
1750	682568	422195	38659289082	93966111	0	8891130	0	0	19318944356	46811012	0	1630627	0	0	200	0	0	2.2295000000000003	2.2105000000000006	2.0469999999999997
1800	651988	380684	33237223228	82574666	0	7793172	0	0	16525628722	40895169	0	1337404	0	0	200	0	0	2.2595	2.229	2.0614999999999997
1850	701183	387708	36265329856	89489952	0	5919750	0	0	17902825168	43805230	0	1104488	0	0	200	1	191	2.196	2.1555	2.0055
1900	764197	410996	33922753098	88440079	0	8682668	0	0	16756537104	43456204	0	1517386	0	0	200	0	0	2.3845	2.3375000000000004	2.1459999999999995
1950	750949	409543	30022799718	79873957	0	8021978	0	0	14750770494	39176981	0	1501871	0	0	200	1	485	2.3674999999999997	2.334	2.1744999999999997
2000	749514	421594	28658942224	77961796	0	8509914	0	0	14191640076	38440972	0	1571752	0	0	200	0	0	2.337	2.3244999999999996	2.1559999999999997
