node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	314686	7650	30227729	86998	0	0	0	0	8670877	25088	0	0	0	0	200	200	2	0.022500000000000003	0.03550000000000001	0.07950000000000003
64	317368	7585	42641953	111613	0	0	0	0	12021427	31633	0	0	0	0	200	200	2	0.013500000000000002	0.016500000000000004	0.033499999999999995
81	321984	9657	60936477	145464	0	0	0	0	16947056	40571	0	0	0	0	200	200	3	0.023500000000000004	0.022	0.021500000000000002
100	326133	8668	85526264	186936	0	0	0	0	23533896	51562	0	0	0	0	200	200	3	0.05700000000000001	0.03600000000000001	0.019500000000000003
121	330807	10847	123309900	254260	0	0	0	0	33649609	69460	0	0	0	0	200	200	3	0.047	0.041000000000000016	0.029000000000000005
144	335121	10564	160797033	305505	0	0	0	0	43562474	82867	0	0	0	0	200	200	3	0.041500000000000016	0.04850000000000002	0.03750000000000001
169	340604	12799	208291084	365901	0	0	0	0	56112292	98701	0	0	0	0	200	200	3	0.05550000000000001	0.055000000000000014	0.0385
196	345916	12464	280006109	476616	0	0	0	0	75041831	127959	0	0	0	0	200	200	4	0.077	0.06350000000000001	0.06200000000000002
225	352337	14174	367194322	608415	0	0	0	0	97955234	162469	0	0	0	0	200	200	3	0.128	0.10900000000000001	0.09200000000000004
256	358974	15762	455705979	703107	0	0	0	0	121085606	186995	0	0	0	0	200	200	4	0.11050000000000001	0.1275	0.11299999999999999
289	366216	18267	579737581	839971	0	0	0	0	153495797	222522	0	0	0	0	200	200	4	0.1925	0.155	0.13550000000000004
324	373323	19746	719240571	982393	0	0	0	0	189862769	259511	0	0	0	0	200	200	4	0.14499999999999996	0.16499999999999998	0.14600000000000002
361	382072	21689	893467625	1174779	0	0	0	0	235158516	309207	0	0	0	0	200	200	4	0.3015	0.2445	0.195
400	392191	21507	1097128938	1395313	0	0	0	0	288064807	366329	0	0	0	0	200	200	4	0.29850000000000004	0.2920000000000001	0.233
441	400646	28002	1383236892	1749363	0	0	0	0	362325331	458086	0	0	0	0	200	200	4	0.2895	0.3135	0.2545
484	413103	26739	1693567538	2106540	0	0	0	0	442616237	550378	0	0	0	0	200	200	4	0.39449999999999996	0.442	0.3410000000000001
529	424704	26373	2042001288	2501871	0	0	0	0	532662543	652395	0	0	0	0	200	200	4	0.48	0.49000000000000005	0.382
576	438268	31609	2472768302	2984461	0	0	0	0	643888211	777016	0	0	0	0	200	200	4	0.6584999999999999	0.6504999999999999	0.5005000000000002
625	467148	38324	3152026293	3787889	0	0	0	0	819060656	984216	0	0	0	0	200	200	4	1.5584999999999998	1.3984999999999999	1.0545
676	1238800	37549	13210969736	12762645	0	0	0	0	3438576940	3325550	0	0	0	0	200	20	2	24.257500000000004	23.774499999999996	21.3075
729	1429253	43069	16203384291	15642919	0	0	0	0	4224095802	4078040	0	0	0	0	200	26	3	24.0655	24.747999999999998	23.055499999999995
784	1242365	41816	11308063324	11391121	0	0	0	0	2968246282	2990337	0	0	0	0	200	51	4	25.918	25.2265	23.207
841	1790849	47861	23821810045	22969708	0	0	0	0	6138082491	5925537	0	0	0	0	200	13	2	28.8405	27.2495	25.503499999999995
900	1782527	50996	25575893720	24729840	0	0	0	0	6571289779	6358606	0	0	0	0	200	8	3	26.855	26.240499999999997	25.122
961	1956448	61327	31978125117	30736372	0	0	0	0	8212520715	7900285	0	0	0	0	200	13	2	21.6035	22.708000000000006	22.756000000000004
1024	2247324	61983	36431194819	34866575	0	0	0	0	9361195296	8966938	0	0	0	0	200	6	3	17.9695	19.943500000000004	20.447500000000005
1089	2436910	62054	42633865818	40873098	0	0	0	0	10960909895	10518667	0	0	0	0	200	9	2	21.847	20.136000000000003	19.944499999999998
1156	2736095	70906	45430839833	43703627	0	0	0	0	11662605217	11231029	0	0	0	0	200	4	1	19.708000000000002	19.442500000000003	19.348
1225	2872017	77092	53132410188	51102578	0	0	0	0	13622825446	13120123	0	0	0	0	200	7	1	16.124500000000005	17.476999999999997	17.948500000000003
1296	2936518	84459	56423708512	54411797	0	0	0	0	14469449528	13964139	0	0	0	0	200	9	2	20.691500000000005	18.3345	17.810499999999998
1369	2955414	257243	57515864703	55654063	0	0	0	0	14712476562	14250665	0	0	0	0	200	6	1	19.414	17.872500000000006	17.505999999999997
1444	3070804	217808	60476939410	58770109	0	0	0	0	15492622198	15063618	0	0	0	0	200	1	4	13.649499999999998	15.637499999999998	16.089499999999997
1521	3586800	364901	66947652792	65187102	0	0	0	0	17096334773	16662353	0	0	0	0	200	5	1	12.546499999999998	14.968	15.614999999999995
1600	3397795	342688	69028337032	67746156	0	0	0	0	17650987274	17335655	0	0	0	0	200	7	2	17.781	15.926999999999998	15.032499999999999
1681	3872866	452438	71884784013	70798458	0	0	0	0	18372420977	18113038	0	0	0	0	200	5	5	14.8205	14.476000000000003	14.260000000000002
1764	3797773	499408	74671797437	73926856	0	14036	0	0	19060416787	18892242	0	1519	0	0	200	1	0	15.534500000000003	14.241499999999998	13.831
1849	4306604	488560	83112893158	82666905	0	0	0	0	21255265536	21159802	0	0	0	0	200	1	1	11.412	12.127000000000002	12.465
1936	4530233	466119	89579207629	89683768	0	69184	0	0	22945813247	22990579	0	10010	0	0	200	2	1	10.9455	11.556000000000003	11.774999999999999
2025	4513969	511242	89330813144	89803880	0	0	0	0	22800951200	22945043	0	0	0	0	200	1	2	11.200000000000001	11.186499999999999	11.309000000000001
