node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303578	6797	233725064	1373955	0	0	0	0	63986708	376720	0	0	0	0	200	197	13	0.016	1.3980000000000001	5.7645
64	304341	9090	328148440	1928389	0	0	0	0	88704708	521972	0	0	0	0	200	197	14	0.07200000000000001	0.20500000000000002	2.8415
81	305208	10030	432483396	2544236	0	0	0	0	115201864	678426	0	0	0	0	200	190	19	0.05450000000000001	0.08600000000000003	1.4080000000000001
100	306214	11118	563216744	3288430	0	0	0	0	149495892	873541	0	0	0	0	200	175	20	0.10000000000000002	0.10050000000000003	0.7250000000000002
121	307303	13660	658968996	3841675	0	0	0	0	174281624	1016292	0	0	0	0	200	151	22	0.136	0.12600000000000003	0.4065
144	308490	12199	812010184	4715238	0	0	0	0	212664060	1236167	0	0	0	0	200	136	27	0.11700000000000002	0.1455	0.2745
169	309790	16643	985222596	5705746	0	0	0	0	258160460	1496368	0	0	0	0	200	124	24	0.199	0.19	0.23000000000000004
196	311275	19002	1146222284	6634106	0	0	0	0	298216112	1727796	0	0	0	0	200	118	29	0.15300000000000002	0.18550000000000003	0.21100000000000002
225	312786	17728	1314915628	7576808	0	0	0	0	343583392	1980584	0	0	0	0	200	107	31	0.21949999999999997	0.24200000000000005	0.23700000000000002
256	314510	21179	1518640204	8788085	0	0	0	0	393742968	2280305	0	0	0	0	200	105	30	0.3115	0.32150000000000006	0.295
289	316397	23119	1721175632	9951937	0	0	0	0	446470068	2582883	0	0	0	0	200	101	30	0.403	0.36400000000000016	0.3355000000000001
324	318377	24524	1905429412	11034860	0	0	0	0	492835032	2856192	0	0	0	0	200	82	32	0.4154999999999999	0.383	0.36849999999999994
361	320501	28067	2153653760	12424992	0	0	0	0	555166628	3204590	0	0	0	0	200	60	28	0.42799999999999994	0.41400000000000003	0.39449999999999996
400	322803	34435	2405330808	13911671	0	0	0	0	619149772	3583799	0	0	0	0	200	63	26	0.537	0.512	0.45750000000000013
441	325269	33830	2720410988	15741217	0	0	0	0	699418444	4049574	0	0	0	0	200	57	28	0.475	0.509	0.4999999999999999
484	328045	37174	2950637240	17097415	0	0	0	0	760867612	4411388	0	0	0	0	200	48	33	0.7170000000000001	0.5965	0.5514999999999999
529	330886	46587	3382702708	19565174	0	0	0	0	867527156	5020607	0	0	0	0	200	62	38	0.8185	0.6789999999999999	0.6045
576	334118	45333	3717494016	21531143	0	0	0	0	952228512	5518227	0	0	0	0	200	53	30	0.655	0.7010000000000001	0.6565
625	337645	48194	4028011992	23296350	0	0	0	0	1031188644	5967898	0	0	0	0	200	46	30	0.8055	0.7065000000000002	0.6690000000000002
676	341019	65945	4461865924	25805392	0	0	0	0	1143215556	6614584	0	0	0	0	200	46	25	0.9259999999999998	0.9025000000000001	0.7975
729	344979	59686	4853509052	28051613	0	0	0	0	1242973520	7187445	0	0	0	0	200	37	30	0.9730000000000001	0.9355	0.8365
784	349274	62701	5260260404	30472121	0	0	0	0	1343882676	7789466	0	0	0	0	200	33	34	1.0765	1.052	0.9219999999999999
841	355355	62000	5786260032	33472015	0	0	0	0	1477885008	8553104	0	0	0	0	200	37	33	1.137	1.1314999999999997	1.0045
900	362266	72252	6309773628	36451389	0	0	0	0	1610481016	9307483	0	0	0	0	200	28	44	1.0895	1.188	1.0825
961	366805	73327	6856833564	39627227	0	0	0	0	1748512896	10109065	0	0	0	0	200	35	29	1.7049999999999996	1.4265	1.213
1024	372901	76161	7425444140	42992253	0	0	0	0	1892540996	10962127	0	0	0	0	200	24	28	1.6500000000000004	1.4450000000000003	1.2254999999999998
1089	383583	81159	8170518268	47264603	0	0	0	0	2082236388	12050956	0	0	0	0	200	19	50	1.6324999999999998	1.6155000000000002	1.373
1156	398831	86401	9189031424	52999142	0	0	0	0	2339701844	13500092	0	0	0	0	200	22	34	2.0929999999999995	1.9205	1.5555
1225	403721	91237	9802862512	56652476	0	0	0	0	2497591772	14440006	0	0	0	0	200	13	40	2.29	2.0684999999999993	1.6804999999999997
1296	421150	106736	10587460508	61204581	0	0	0	0	2693011164	15572787	0	0	0	0	200	15	47	2.3810000000000002	2.2725	1.8555000000000004
1369	438586	102244	11719294368	67909807	0	0	0	0	2978339816	17265253	0	0	0	0	200	25	51	2.7270000000000003	2.542	2.0449999999999995
1444	450545	119096	13040311168	75315948	0	0	0	0	3313726856	19144556	0	0	0	0	200	25	27	3.3904999999999994	2.9890000000000008	2.3139999999999996
1521	470392	115730	14064282452	81338870	0	0	0	0	3570967440	20660715	0	0	0	0	200	15	58	3.6905	3.372	2.6495
1600	519031	130178	16045929124	92933797	0	0	0	0	4073121708	23598615	0	0	0	0	200	14	31	3.6864999999999997	3.6670000000000003	2.98
1681	545777	126311	17952035700	103875855	0	0	0	0	4560219504	26394343	0	0	0	0	200	13	57	4.48	4.2735	3.4294999999999995
1764	574072	132130	20011030124	115556378	0	0	0	0	5074046484	29310163	0	0	0	0	200	13	64	5.295	5.1419999999999995	4.058
1849	653060	158901	23529389832	136162220	0	0	0	0	5969644436	34556648	0	0	0	0	200	17	64	6.328999999999999	5.9095	4.81
1936	713144	171930	26768528740	154956213	0	56773	0	0	6794012392	39342771	0	0	0	0	200	12	106	6.929	7.091000000000001	5.8465
2025	838194	183325	33749505152	195323437	0	0	0	0	8556989116	49539350	0	0	0	0	200	11	102	9.3065	8.511500000000002	7.019499999999999
