node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303622	7781	171725724	971891	0	0	0	0	86178824	487848	0	0	0	0	200	89	12	0.05600000000000001	0.07250000000000004	0.17250000000000001
100	306168	10708	335965160	1932799	0	0	0	0	168296924	968335	0	0	0	0	200	61	13	0.05250000000000001	0.05800000000000002	0.10950000000000004
150	308786	14185	517504820	2960521	0	0	0	0	259102348	1482421	0	0	0	0	200	31	13	0.11299999999999999	0.1155	0.1165
200	311404	17530	697262624	3992433	0	0	0	0	348970008	1998238	0	0	0	0	200	23	8	0.17050000000000004	0.16000000000000003	0.1495
250	314122	20919	879417188	5060923	0	0	0	0	440000536	2532288	0	0	0	0	200	17	9	0.21799999999999997	0.20400000000000004	0.17649999999999996
300	316893	24839	1038407748	5978253	0	0	0	0	519525312	2991112	0	0	0	0	200	19	9	0.23399999999999999	0.225	0.20700000000000002
350	319676	28199	1206676380	6987723	0	0	0	0	603684736	3496013	0	0	0	0	200	15	6	0.273	0.2685	0.24650000000000008
400	322650	32455	1406632276	8145678	0	0	0	0	703618044	4074696	0	0	0	0	200	13	6	0.2705	0.2884999999999999	0.276
450	325535	36294	1598759456	9255289	0	0	0	0	799707772	4629639	0	0	0	0	200	12	20	0.3195	0.318	0.30949999999999994
500	328530	39501	1795378660	10356821	0	0	0	0	898026668	5180514	0	0	0	0	200	10	1	0.3075	0.33	0.32850000000000007
550	331719	42900	1985253032	11522607	0	0	0	0	992948788	5763293	0	0	0	0	200	9	16	0.522	0.44700000000000006	0.3945
600	335168	44159	2182103032	12660831	0	0	0	0	1091303040	6332070	0	0	0	0	200	7	13	0.4844999999999999	0.4694999999999999	0.43499999999999994
650	337918	47111	2373603588	13762301	0	0	0	0	1187149652	6883291	0	0	0	0	200	8	11	0.5389999999999999	0.5245	0.481
700	341279	51884	2570371360	14891336	0	0	0	0	1285550904	7447914	0	0	0	0	200	8	6	0.5595	0.5205	0.49799999999999994
750	344776	54257	2778275144	16148237	0	0	0	0	1389485580	8076249	0	0	0	0	200	8	11	0.5494999999999999	0.587	0.5485
800	348224	57613	2960208644	17170309	0	0	0	0	1480435516	8587334	0	0	0	0	200	7	1	0.5290000000000001	0.5735000000000001	0.557
850	352155	61745	3214200316	18673339	0	0	0	0	1607464192	9338882	0	0	0	0	200	9	5	0.7969999999999999	0.668	0.6049999999999999
900	355613	65927	3420783060	19852978	0	0	0	0	1710752852	9928735	0	0	0	0	200	3	8	0.7550000000000001	0.681	0.6380000000000001
950	359111	73266	3647282668	21160638	0	0	0	0	1824033044	10582772	0	0	0	0	200	7	2	0.6275000000000001	0.6945	0.6620000000000001
1000	363694	73657	3924564980	22770769	0	0	0	0	1962622216	11387570	0	0	0	0	200	3	0	0.773	0.7779999999999999	0.7135
