node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303593	10823	62166675	173963	0	0	0	0	17531516	49175	0	0	0	0	200	200	2	0.016	0.01	0.0034999999999999996
64	304346	13046	107079116	258655	0	0	0	0	30008927	72501	0	0	0	0	200	200	2	0.018000000000000002	0.013500000000000002	0.006999999999999999
81	305218	16243	165511620	345483	0	0	0	0	45304122	95086	0	0	0	0	200	200	3	0.028500000000000004	0.029000000000000005	0.023
100	306186	18798	247130622	429006	0	0	0	0	67343207	116645	0	0	0	0	200	200	3	0.02900000000000001	0.03300000000000001	0.023
121	307248	22255	371226757	578446	0	0	0	0	103453796	159324	0	0	0	0	200	200	3	0.051000000000000004	0.04500000000000002	0.03450000000000001
144	308455	25929	515910195	693968	0	0	0	0	141838698	189294	0	0	0	0	200	200	3	0.05100000000000001	0.05350000000000001	0.03400000000000001
169	309782	29761	698057184	886825	0	0	0	0	196019949	244450	0	0	0	0	200	200	3	0.054000000000000006	0.06600000000000003	0.05500000000000001
196	311201	33842	950655728	1128062	0	0	0	0	272252313	314437	0	0	0	0	200	200	3	0.09300000000000001	0.10850000000000001	0.08550000000000003
225	312741	38816	1225867910	1405616	0	0	0	0	361548490	398867	0	0	0	0	200	200	3	0.147	0.14500000000000002	0.11500000000000002
256	314472	43730	1538318806	1721202	0	0	0	0	465464371	496142	0	0	0	0	200	200	3	0.197	0.16699999999999998	0.14350000000000002
289	316283	48962	1970317018	2193056	0	0	0	0	591987444	627928	0	0	0	0	200	200	3	0.23349999999999999	0.21500000000000002	0.187
324	318320	54137	2401495843	2594912	0	0	0	0	734801368	752349	0	0	0	0	200	200	3	0.26050000000000006	0.23550000000000004	0.2165
361	320419	60203	2910183622	3113549	0	0	0	0	925089310	925890	0	0	0	0	200	200	3	0.3265	0.3115	0.27799999999999997
400	322678	66458	3675718505	3807389	0	0	0	0	1150571950	1123909	0	0	0	0	200	200	3	0.47300000000000003	0.43050000000000016	0.36450000000000005
441	325082	73154	4399548672	4523154	0	0	0	0	1402138403	1351875	0	0	0	0	200	200	3	0.49750000000000005	0.47300000000000003	0.42000000000000004
484	328002	79743	5483901114	5554342	0	0	0	0	1707108998	1634201	0	0	0	0	200	200	3	0.5954999999999998	0.546	0.4800000000000001
529	330847	87396	6542530423	6553403	0	0	0	0	2078699300	1957884	0	0	0	0	200	200	3	0.7605	0.6890000000000001	0.5795000000000001
576	334411	94592	7612821261	7474310	0	0	0	0	2425672529	2241046	0	0	0	0	200	200	3	0.8035	0.7015	0.6165
625	338059	103645	9013730847	8942643	0	0	0	0	2891052673	2688352	0	0	0	0	200	200	3	0.8544999999999998	0.875	0.758
676	344362	112606	11538786986	11014354	0	0	0	0	3510974121	3202526	0	0	0	0	200	200	3	1.1905000000000001	1.1795000000000002	0.9585000000000001
729	349299	122402	13254840813	12671187	0	0	0	0	4120223091	3739404	0	0	0	0	200	200	4	1.7380000000000002	1.4695	1.1695
784	358752	133457	15544165708	15000678	0	0	0	0	4883773882	4454594	0	0	0	0	200	200	4	2.1879999999999997	1.8689999999999998	1.4419999999999997
841	370703	146168	18610107589	17473915	0	0	0	0	5752627195	5142698	0	0	0	0	200	200	4	2.543	2.1700000000000004	1.7079999999999997
900	389482	160680	22839662176	21379994	0	0	0	0	6963896259	6228277	0	0	0	0	200	200	4	3.289999999999999	3.0265	2.344
961	414658	175783	27833334528	25643484	0	0	0	0	8560161033	7530997	0	0	0	0	200	200	5	4.538500000000001	4.0485	3.0749999999999997
1024	472418	197317	36524198516	33320368	0	0	0	0	11169105523	9755437	0	0	0	0	200	200	6	5.884000000000001	5.650500000000001	4.3755
1089	574385	235438	49493774411	45886052	0	0	0	0	15206489019	13450700	0	0	0	0	200	200	10	8.456999999999999	7.93	6.3149999999999995
1156	905331	301516	89472520442	79713255	0	3392	0	0	26638736279	22914369	0	500	0	0	200	195	70	12.788999999999998	12.7865	11.3945
1225	1100166	429664	119333184575	109067494	0	925690	0	0	35942791794	31606431	0	138474	0	0	200	86	167	18.625499999999995	17.446500000000004	15.7945
1296	1242504	497453	138511215009	124364359	0	4152542	0	0	41772323728	36351997	0	628409	0	0	200	30	265	14.742500000000001	16.693	16.5205
1369	1332275	668583	130392469474	112159984	0	12108976	0	0	39665021097	33652642	0	1960153	0	0	200	3	237	15.232000000000003	15.160000000000002	14.535500000000004
1444	1424203	762166	131194596237	109596715	0	19389156	0	0	41347209720	34346423	0	3161137	0	0	200	0	0	12.560500000000001	13.022999999999996	12.763499999999999
1521	1659333	976556	154313086666	130552405	0	24549382	0	0	48924142031	41197087	0	3891631	0	0	200	4	1	12.3835	12.9745	13.023499999999999
1600	2027601	895960	161240013512	135268529	0	29730774	0	0	52276912401	43773965	0	4820319	0	0	200	0	0	13.256	13.235000000000003	13.127999999999997
1681	2007359	1077322	146409195905	124826855	0	30597246	0	0	48414975119	41217615	0	4922299	0	0	200	0	0	13.0595	13.5345	13.397
1764	2650744	1253993	172837966024	149228120	0	39524628	0	0	58174192619	50186657	0	6355982	0	0	200	0	0	14.222999999999995	14.213999999999999	14.1065
1849	2699545	1413979	172473168240	151120043	0	39600720	0	0	58299998976	50990463	0	6272102	0	0	200	0	0	14.847	15.2195	15.142500000000002
1936	3138208	2023473	199261357374	171860200	0	41345938	0	0	66014064852	56966283	0	6670905	0	0	200	0	0	14.779000000000002	15.314000000000002	15.490500000000003
2025	3616878	1808410	236125463830	201703659	0	33574084	0	0	73305594717	62682648	0	5236024	0	0	200	1	1	15.607500000000002	16.0185	16.011000000000003
