node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303612	11202	34982137	109643	0	0	0	0	17525436	54980	0	0	0	0	200	200	7	0.0075	0.03150000000000001	0.11350000000000002
100	306168	18963	117642160	235920	0	0	0	0	58950346	118184	0	0	0	0	200	170	8	0.017499999999999998	0.015000000000000003	0.04850000000000001
150	308759	26919	221823656	350662	0	0	0	0	111374967	175769	0	0	0	0	200	141	6	0.019000000000000003	0.028500000000000004	0.03400000000000001
200	311389	34546	289468407	463141	0	0	0	0	145725275	232368	0	0	0	0	200	111	5	0.0315	0.0345	0.030500000000000006
250	314031	42571	383821921	580392	0	0	0	0	193568828	291435	0	0	0	0	200	61	5	0.0655	0.06300000000000003	0.043000000000000003
300	316811	50497	482953586	708415	0	0	0	0	243569206	355753	0	0	0	0	200	77	5	0.054000000000000006	0.07150000000000004	0.05800000000000001
350	319597	58301	574804160	848098	0	0	0	0	289813812	425803	0	0	0	0	200	61	4	0.0935	0.09550000000000002	0.07800000000000003
400	322336	66019	670425056	982369	0	0	0	0	338090062	493256	0	0	0	0	200	57	3	0.126	0.11050000000000004	0.10200000000000005
450	325315	74095	776676390	1112363	0	0	0	0	391647643	558553	0	0	0	0	200	42	5	0.089	0.10350000000000001	0.11000000000000003
500	328248	81795	896075341	1253453	0	0	0	0	451909954	629485	0	0	0	0	200	39	4	0.1565	0.139	0.13599999999999998
550	331343	89642	990322288	1404253	0	0	0	0	499326347	705074	0	0	0	0	200	43	3	0.15949999999999998	0.15599999999999997	0.15449999999999997
600	334401	97938	1124678443	1570958	0	0	0	0	566837576	788643	0	0	0	0	200	46	3	0.16599999999999998	0.163	0.15649999999999997
650	337833	103658	1205431790	1678174	0	0	0	0	608045763	842811	0	0	0	0	200	35	3	0.2065	0.19800000000000004	0.18700000000000006
700	340831	113583	1355568824	1850469	0	0	0	0	683400623	929146	0	0	0	0	200	29	3	0.20649999999999996	0.2015	0.19649999999999998
750	343964	116295	1427821685	1980300	0	0	0	0	720084011	994494	0	0	0	0	200	32	3	0.23700000000000002	0.21300000000000002	0.20350000000000001
800	347553	127492	1668045065	2211753	0	0	0	0	840341204	1110251	0	0	0	0	200	39	3	0.229	0.207	0.21100000000000002
850	351237	137275	1787480922	2360293	0	0	0	0	900718628	1184995	0	0	0	0	200	34	4	0.23149999999999998	0.2275000000000001	0.231
900	355341	144842	1892396368	2527120	0	0	0	0	953836055	1268885	0	0	0	0	200	16	4	0.31050000000000005	0.264	0.24500000000000002
950	358538	153384	2029037632	2675138	0	0	0	0	1022715045	1343231	0	0	0	0	200	27	3	0.261	0.25400000000000006	0.2485
1000	362022	160651	2187766430	2878049	0	0	0	0	1102464139	1444948	0	0	0	0	200	26	4	0.24650000000000002	0.25050000000000006	0.24600000000000005
