node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	303620	10469	19726409	75375	0	0	0	0	7302386	28099	0	0	0	0	200	200	2	0.006500000000000001	1.126	3.9930000000000008
100	306169	17593	62298689	167412	0	0	0	0	21884159	60307	0	0	0	0	200	200	3	0.0115	0.125	1.9309999999999998
150	308755	27407	131643207	259007	0	0	0	0	46265044	94209	0	0	0	0	200	200	3	0.053000000000000005	0.04350000000000002	0.9205000000000002
200	311385	35421	218743879	352737	0	0	0	0	75128034	126507	0	0	0	0	200	200	3	0.05050000000000001	0.05650000000000003	0.45200000000000007
250	314090	43134	331089528	463780	0	0	0	0	116919991	170194	0	0	0	0	200	200	3	0.067	0.06950000000000002	0.2465
300	316867	50960	428002073	562427	0	0	0	0	148722258	203707	0	0	0	0	200	200	3	0.05449999999999999	0.07400000000000004	0.15500000000000003
350	319698	58858	505149031	688192	0	0	0	0	175086389	248046	0	0	0	0	200	200	3	0.09100000000000003	0.10500000000000002	0.13850000000000004
400	322603	66948	650154662	775995	0	0	0	0	218568417	274208	0	0	0	0	200	200	3	0.1	0.11700000000000002	0.146
450	325581	74701	785054526	919784	0	0	0	0	265965691	325797	0	0	0	0	200	200	3	0.189	0.185	0.179
500	328735	83078	904288135	1045231	0	0	0	0	303492947	367557	0	0	0	0	200	200	3	0.18750000000000003	0.172	0.1805
550	331721	90671	986660645	1174824	0	0	0	0	336546812	417469	0	0	0	0	200	200	3	0.17050000000000004	0.1955	0.209
600	335060	98839	1143047079	1358129	0	0	0	0	395406724	487494	0	0	0	0	200	200	3	0.2739999999999999	0.24550000000000005	0.24299999999999997
650	338266	106313	1311239643	1560697	0	0	0	0	453679193	559891	0	0	0	0	200	200	3	0.30949999999999994	0.28300000000000003	0.2819999999999999
700	341877	116909	1450417610	1715125	0	0	0	0	508135772	621317	0	0	0	0	200	199	3	0.33100000000000007	0.3085	0.31550000000000006
750	345383	123502	1571930205	1886611	0	0	0	0	545919703	676433	0	0	0	0	200	200	3	0.35550000000000004	0.3380000000000001	0.34850000000000003
800	349610	134546	1743280945	2090973	0	0	0	0	605565721	747018	0	0	0	0	200	200	3	0.376	0.3695	0.37950000000000006
850	353195	140763	1908969257	2243154	0	0	0	0	640515867	781139	0	0	0	0	200	200	3	0.42799999999999994	0.3975000000000001	0.40650000000000003
900	358551	150790	2078561403	2456716	0	0	0	0	714561066	872784	0	0	0	0	200	200	3	0.4805	0.43549999999999994	0.43450000000000005
950	361447	160646	2380903472	2795089	0	0	0	0	810004999	981388	0	0	0	0	200	200	2	0.508	0.5079999999999999	0.49049999999999994
1000	368953	178125	2400990556	2862280	0	0	0	0	833214511	1024624	0	0	0	0	200	196	3	0.7144999999999999	0.6115	0.5605
1050	370022	180588	2703969248	3121000	0	0	0	0	918521181	1094950	0	0	0	0	200	199	3	0.5285000000000001	0.537	0.5455
1100	376982	196440	2991114320	3459169	0	0	0	0	1035533957	1231226	0	0	0	0	200	200	3	0.517	0.587	0.5800000000000001
1150	382858	202968	3340145567	3782037	0	0	0	0	1159287297	1348239	0	0	0	0	200	200	3	0.731	0.7055000000000002	0.6605000000000001
1200	385303	205770	3383328632	3846870	0	0	0	0	1163355863	1363208	0	0	0	0	200	199	3	0.7249999999999999	0.6780000000000002	0.6480000000000001
1250	403539	229530	3771570645	4272235	0	0	0	0	1326115355	1541120	0	0	0	0	200	194	3	0.9795	0.8714999999999998	0.772
1300	401836	224888	3797317256	4306734	0	0	0	0	1303825850	1525673	0	0	0	0	200	195	3	0.8664999999999999	0.8310000000000001	0.7819999999999999
1350	413291	237623	4178083769	4714039	0	0	0	0	1416615914	1650106	0	0	0	0	200	200	3	1.1045	1.0284999999999997	0.8874999999999998
1400	410306	236113	4684942935	5201481	0	0	0	0	1600159076	1826131	0	0	0	0	200	199	3	1.0975	0.9335000000000001	0.86
1450	435917	261691	5157332188	5695750	0	0	0	0	1781247812	2023020	0	0	0	0	200	199	3	1.3239999999999998	1.3359999999999999	1.1205
1500	442015	266389	5302352905	5860556	0	0	0	0	1797112928	2052771	0	0	0	0	200	197	3	1.4220000000000002	1.3085	1.1425
1550	438285	265678	5380099921	5990149	0	0	0	0	1839846847	2111816	0	0	0	0	200	194	3	1.343	1.193	1.0699999999999998
1600	473934	278632	6516286739	7101233	0	0	0	0	2248578490	2517816	0	0	0	0	200	187	3	1.5814999999999997	1.509	1.2530000000000001
1650	478492	303113	6700135319	7343075	0	0	0	0	2313924226	2603997	0	0	0	0	200	197	3	1.4759999999999998	1.472	1.3039999999999998
1700	503651	306478	6852452314	7541397	0	0	0	0	2322337239	2641557	0	0	0	0	200	183	3	1.754	1.832	1.5420000000000003
1750	503374	316422	8039146525	8718965	0	0	0	0	2766471339	3075121	0	0	0	0	200	198	3	2.0115	1.8509999999999998	1.5765
1800	540126	348585	8679002686	9339887	0	0	0	0	2980869569	3296359	0	0	0	0	200	200	3	2.1955	2.2855	1.9244999999999997
1850	569758	349367	9263626949	9937924	0	0	0	0	3164650685	3492201	0	0	0	0	200	188	3	3.041	2.6965000000000003	2.164
1900	661303	387075	11333962684	12149937	0	0	0	0	3804493802	4199443	0	0	0	0	200	193	3	3.1534999999999997	2.9645000000000006	2.5235000000000007
1950	770244	425917	14640925658	15511123	0	0	0	0	5005626837	5442754	0	0	0	0	200	193	3	3.1685000000000003	3.1754999999999995	2.822
2000	720481	389292	14307212334	15088807	0	0	0	0	4838629769	5241303	0	0	0	0	200	197	3	4.022500000000001	3.8084999999999996	3.2385000000000006
