node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	303582	6129	81905537	341768	0	0	0	0	24488013	95562	0	0	0	0	200	12	11	0.05000000000000001	1.9105	8.044
64	304333	7227	121362747	494765	0	0	0	0	35366563	137393	0	0	0	0	200	8	8	0.05850000000000001	0.2615	3.9675000000000002
81	305224	8205	180500510	727413	0	0	0	0	52155592	198649	0	0	0	0	200	8	8	0.05850000000000001	0.10650000000000001	1.9684999999999995
100	306172	8878	173514872	703951	0	0	0	0	51994940	196928	0	0	0	0	200	13	8	0.1155	0.10550000000000001	0.9920000000000002
121	307257	10025	214216450	883738	0	0	0	0	61860279	239588	0	0	0	0	200	7	9	0.142	0.12500000000000003	0.537
144	308452	11316	268401338	1063422	0	0	0	0	77821436	286684	0	0	0	0	200	3	7	0.16349999999999998	0.187	0.3535
169	309779	12621	424784163	1653699	0	0	0	0	121151414	451675	0	0	0	0	200	9	9	0.1755	0.19349999999999998	0.2675
196	311197	14150	444995720	1711956	0	0	0	0	124456785	453573	0	0	0	0	200	2	7	0.236	0.21550000000000008	0.24099999999999996
225	312746	15907	2837489140	4759475	0	0	0	0	824164866	1222353	0	0	0	0	200	4	5	0.22449999999999998	0.24850000000000003	0.25549999999999995
256	314416	17505	1823835109	4175176	0	0	0	0	498602965	1091822	0	0	0	0	200	8	9	0.2985	0.31450000000000006	0.2905
289	316286	19397	839608400	2994907	0	0	0	0	229479578	783875	0	0	0	0	200	4	11	0.2925	0.36149999999999993	0.346
324	319263	21233	6741589125	9596681	0	0	0	0	1999695675	2470412	0	0	0	0	200	1	4	0.509	0.4820000000000001	0.42299999999999993
361	320326	20071	970336484	3341088	0	0	0	0	266549019	877418	0	0	0	0	200	6	12	0.414	0.4565	0.429
400	322752	23225	2347916772	5555879	0	0	0	0	747813591	1525890	0	0	0	0	200	4	8	0.42449999999999993	0.519	0.49750000000000005
441	326336	25396	6126638273	11342721	0	0	0	0	1711943003	2929565	0	0	0	0	200	4	8	0.5840000000000001	0.571	0.5509999999999999
484	329215	27318	8812103770	12905764	0	0	0	0	2617170857	3365183	0	0	0	0	200	5	8	0.6355	0.688	0.6435
529	333497	29986	9605977918	13752481	0	0	0	0	2791998011	3431819	0	0	0	0	200	5	8	1.0595	0.8350000000000002	0.729
576	337882	32330	8362592912	15468513	0	0	0	0	2241245084	3929068	0	0	0	0	200	2	7	0.9190000000000002	0.9195	0.8125
625	338935	37579	14047658356	22955492	0	0	0	0	3841910099	5879207	0	0	0	0	200	4	7	1.0470000000000002	0.9169999999999998	0.8315000000000001
676	347477	39095	14783062685	23808852	0	0	0	0	4052893168	5984587	0	0	0	0	200	6	13	0.8975	1.0270000000000001	0.9535
729	349445	42984	12866793800	23221776	0	0	0	0	3651349943	6093606	0	0	0	0	200	6	17	1.55	1.2565	1.0660000000000003
784	353623	45288	15946361810	26452210	0	0	0	0	4249019805	6555316	0	0	0	0	200	2	6	1.4625	1.3695	1.1749999999999998
841	354261	47310	16355903023	28977923	0	233	0	0	4434470805	7379833	0	8	0	0	200	7	8	1.6085	1.3384999999999998	1.1985000000000001
900	357646	50340	16833631930	32423306	0	688	0	0	4565768633	8281136	0	3	0	0	200	6	15	2.1465000000000005	1.5399999999999998	1.2919999999999998
961	362453	54869	23955543732	35664851	0	0	0	0	6269881513	9084516	0	0	0	0	200	7	11	1.6859999999999995	1.6725	1.4575
1024	372303	58456	15589191637	33521268	0	76	0	0	4176573858	8621860	0	0	0	0	200	7	13	2.258	2.1109999999999998	1.7165000000000006
1089	380394	61477	18436078923	33993902	0	144	0	0	4800524466	8585620	0	4	0	0	200	3	11	1.7710000000000001	1.9274999999999998	1.7240000000000006
1156	391278	63248	16330664210	29776888	0	0	0	0	4265175564	7332086	0	0	0	0	200	3	12	2.6094999999999997	2.1615	1.8195000000000001
1225	395033	73223	24497754441	37741613	0	5803	0	0	6509642625	9580663	0	171	0	0	200	9	12	2.2314999999999996	2.472	2.1285000000000003
1296	408985	80877	13883573610	29219386	0	0	0	0	3686928319	7467020	0	0	0	0	200	8	12	2.3465	2.5260000000000002	2.2440000000000007
1369	407517	80496	24168168509	42605631	0	7791	0	0	6510905618	10888572	0	249	0	0	200	4	22	3.528	3.1964999999999995	2.6094999999999997
1444	527205	89788	24681874190	48004902	0	4421	0	0	6546418495	12304990	0	229	0	0	200	10	16	2.9544999999999995	3.6555	3.151
1521	507931	90938	26759372000	55383233	0	23781	0	0	7190256433	14256241	0	748	0	0	200	8	17	3.9339999999999997	3.9145000000000003	3.3475
1600	455661	99163	29243930718	54047896	0	26981	0	0	7727488569	13713995	0	1316	0	0	200	6	15	4.0035	4.524	3.7845000000000004
1681	481625	103014	27737965333	54388593	0	33311	0	0	7357010412	13898270	0	1815	0	0	200	9	24	6.964499999999999	5.815499999999999	4.4575000000000005
1764	489550	125075	30222537544	58204001	0	45447	0	0	8058638947	14962053	0	2726	0	0	200	6	21	5.1545000000000005	5.361	4.532
1849	507610	133411	35931376682	64819717	0	104609	0	0	9616946018	16607551	0	4859	0	0	200	7	29	4.8485	5.934500000000001	5.135499999999999
1936	527713	139719	34180565017	66772095	0	137871	0	0	8958698534	16892209	0	7600	0	0	200	5	22	6.173	6.307499999999999	5.238999999999999
2025	609884	135141	39285745741	79135128	0	452920	0	0	10294018444	20076334	0	25682	0	0	200	8	62	8.9045	9.141	7.7525
