node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	98	1598	0	311968	3048	0	0	0	0	90534	883	0	0	0	0	200	0	0.0	2.03	0.91	0.73
49	85	1600	2000	339346	3243	0	1	0	0	99100	948	0	0	0	0	200	0	0.0	1.72	0.88	0.72
49	83	1593	4000	352490	3349	0	0	0	0	102488	974	0	0	0	0	200	0	0.0	1.53	0.87	0.72
49	86	1596	6000	365634	3447	0	0	0	0	106816	1008	0	0	0	0	200	0	0.0	1.19	0.83	0.71
49	90	1602	8000	539143	4738	0	0	0	0	157390	1385	0	0	0	0	200	0	0.0	0.93	0.79	0.7
49	83	1610	10000	910647	7553	0	0	0	0	259553	2152	0	0	0	0	200	11	0.20927272727272728	0.88	0.78	0.7
49	83	1606	12000	1159704	9339	0	0	0	0	330270	2650	0	0	0	0	200	25	0.16688461538461535	0.79	0.76	0.69
49	80	1596	14000	1744402	13536	0	0	0	0	495942	3840	0	0	0	0	200	139	0.14262857142857147	0.57	0.71	0.68
49	83	1602	16000	1735717	13226	0	1	0	0	493011	3733	0	0	0	0	200	183	0.1482841530054644	0.4	0.66	0.66
49	83	1593	18000	1773405	13457	0	2	0	0	502872	3798	0	0	0	0	200	200	0.13960499999999995	0.35	0.63	0.65
49	82	1604	20000	1760160	13255	0	0	0	0	500395	3749	0	0	0	0	200	200	0.1388499999999999	0.35	0.61	0.64
49	74	1597	22000	1866714	14201	0	0	0	0	527089	3995	0	0	0	0	200	200	0.14126500000000003	0.29	0.57	0.62
49	82	1600	24000	1861429	13789	0	0	0	0	525803	3880	0	0	0	0	200	200	0.13584000000000004	0.33	0.54	0.62
49	73	1596	26000	1907735	14227	0	1	0	0	541324	4016	0	0	0	0	200	200	0.14196999999999999	0.33	0.52	0.61
49	89	1611	28000	1929436	13620	0	0	0	0	550425	3853	0	0	0	0	200	200	0.13292499999999996	0.18	0.46	0.58
49	93	1599	30000	2009995	14166	0	1	0	0	573308	4016	0	0	0	0	200	200	0.13781500000000005	0.1	0.41	0.56
49	83	1602	32000	2108869	14476	0	2	0	0	599940	4086	0	0	0	0	200	200	0.13863500000000004	0.05	0.36	0.53
49	80	1593	34000	2150349	14665	0	0	0	0	608825	4123	0	0	0	0	200	200	0.135685	0.1	0.33	0.52
49	76	1592	36000	2105191	14197	0	2	0	0	602646	4034	0	0	0	0	200	200	0.13530000000000003	0.13	0.3	0.5
49	82	1599	38000	2115447	14121	0	0	0	0	606292	4017	0	0	0	0	200	200	0.12870499999999996	0.23	0.31	0.49
49	83	1600	40000	2107561	14093	0	1	0	0	602302	3996	0	0	0	0	200	200	0.12840000000000001	0.24	0.29	0.47
49	88	1602	42000	2216433	14563	0	0	0	0	632993	4122	0	0	0	0	200	200	0.13331000000000004	0.18	0.26	0.45
49	83	1591	44000	2238250	14293	0	0	0	0	641457	4073	0	0	0	0	200	200	0.13668	0.42	0.3	0.46
49	82	1602	46000	2345892	14660	0	0	0	0	669412	4154	0	0	0	0	200	200	0.13242500000000001	0.74	0.41	0.48
49	85	1602	48000	2332879	14171	0	1	0	0	669706	4035	0	0	0	0	200	200	0.133085	0.35	0.35	0.46
49	87	1604	50000	2349272	14743	0	2	0	0	675125	4199	0	0	0	0	200	200	0.13096499999999994	0.24	0.32	0.44
49	85	1596	52000	2444621	14872	0	0	0	0	695083	4196	0	0	0	0	200	200	0.13226499999999997	0.17	0.28	0.42
49	80	1607	54000	2522544	15209	0	1	0	0	717774	4290	0	0	0	0	200	200	0.13952499999999998	0.13	0.24	0.39
49	81	1593	56000	2456214	14898	0	1	0	0	698573	4196	0	0	0	0	200	200	0.12693500000000005	0.12	0.22	0.38
49	82	1595	58000	2589624	15545	0	2	0	0	738732	4406	0	0	0	0	200	200	0.13503499999999996	0.12	0.19	0.35
