node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	105	1614	0	172024	1664	0	0	0	0	92676	906	0	0	0	0	200	0	0.0	3.73	1.65	1.07
50	90	1610	2000	182456	1724	0	0	0	0	100280	966	0	0	0	0	200	0	0.0	3.43	1.62	1.06
50	92	1621	4000	188870	1775	0	1	0	0	102268	982	0	0	0	0	200	0	0.0	2.9	1.57	1.05
50	91	1613	6000	197198	1857	0	3	0	0	105174	1011	0	0	0	0	200	0	0.0	2.68	1.59	1.06
50	96	1620	8000	332250	2652	0	0	0	0	169407	1379	0	0	0	0	200	1	0.25	2.17	1.52	1.05
50	98	1622	10000	693775	5936	0	0	0	0	287094	2428	0	0	0	0	200	15	0.14433333333333334	1.69	1.45	1.03
50	81	1611	12000	1153309	9216	0	1	0	0	440235	3454	0	0	0	0	200	76	0.15616666666666668	1.21	1.35	1.01
50	81	1614	14000	1248022	9798	0	0	0	0	477599	3645	0	0	0	0	200	103	0.14531132075471692	0.94	1.28	0.99
50	89	1619	16000	1515078	12025	0	1	0	0	562496	4342	0	0	0	0	200	185	0.1355478723404255	0.62	1.18	0.97
50	93	1613	18000	1540362	12175	0	0	0	0	561964	4304	0	0	0	0	200	200	0.134725	0.41	1.08	0.94
50	89	1614	20000	1510790	11800	0	0	0	0	543247	4105	0	0	0	0	200	200	0.1339049999999999	0.35	1.01	0.92
50	93	1608	22000	1585834	12524	0	1	0	0	583897	4498	0	0	0	0	200	200	0.13578500000000007	0.23	0.93	0.89
50	92	1616	24000	1563139	12396	0	0	0	0	578892	4471	0	0	0	0	200	200	0.13365500000000005	0.14	0.84	0.86
50	84	1605	26000	1626436	12701	0	0	0	0	593142	4469	0	0	0	0	200	200	0.13746499999999998	0.08	0.74	0.83
50	86	1609	28000	1591007	11880	0	0	0	0	587972	4203	0	0	0	0	200	200	0.13137999999999997	0.12	0.68	0.8
50	88	1615	30000	1752966	12874	0	0	0	0	653117	4562	0	0	0	0	200	200	0.13629999999999998	0.13	0.62	0.78
50	87	1612	32000	1712255	12666	0	0	0	0	654345	4606	0	0	0	0	200	200	0.13261499999999998	0.19	0.58	0.76
50	83	1613	34000	1739370	12655	0	0	0	0	656523	4536	0	0	0	0	200	200	0.1350700000000001	0.1	0.5	0.72
50	80	1609	36000	1696808	11979	0	0	0	0	635992	4197	0	0	0	0	200	200	0.13315500000000002	0.09	0.45	0.7
50	93	1618	38000	1792611	13156	0	0	0	0	687479	4772	0	0	0	0	200	200	0.13236000000000006	0.17	0.42	0.68
50	88	1617	40000	1804933	13173	0	3	0	0	687893	4735	0	0	0	0	200	200	0.13828500000000005	0.15	0.37	0.64
50	87	1613	42000	1811852	12890	0	0	0	0	697916	4696	0	0	0	0	200	200	0.13513499999999998	0.2	0.35	0.62
50	97	1608	44000	1830746	13026	0	0	0	0	708778	4717	0	0	0	0	200	200	0.13507500000000006	0.12	0.31	0.59
50	86	1612	46000	1872635	12902	0	0	0	0	727139	4627	0	0	0	0	200	200	0.13436999999999996	0.3	0.32	0.58
50	87	1617	48000	1927815	13398	0	0	0	0	757950	4901	0	0	0	0	200	200	0.13388500000000003	0.42	0.33	0.57
50	95	1613	50000	1891990	12782	0	0	0	0	738834	4604	0	0	0	0	200	200	0.13415500000000002	0.42	0.34	0.55
50	92	1614	52000	1989246	13525	0	0	0	0	785285	4973	0	0	0	0	200	200	0.13626	0.17	0.28	0.52
50	96	1616	54000	1966639	13065	0	0	0	0	772398	4758	0	0	0	0	200	200	0.13692999999999994	0.14	0.25	0.49
50	87	1615	56000	2042048	13689	0	0	0	0	797611	4961	0	0	0	0	200	200	0.14034	0.09	0.22	0.46
50	83	1607	58000	2022808	13499	0	0	0	0	802960	4983	0	0	0	0	200	200	0.13423999999999997	0.1	0.19	0.44
