node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	99	1610	0	1005582	9883	0	0	0	0	281342	2769	0	0	0	0	200	0	0.0	3.0	0.99	0.62
49	80	1597	2000	2071736	16948	0	1	0	0	580642	4787	0	0	0	0	200	0	0.0	2.76	0.98	0.62
49	90	1616	4000	3197238	21941	0	0	0	0	919936	6352	0	0	0	0	200	0	0.0	2.15	0.93	0.61
49	93	1606	6000	4896538	32643	0	0	0	0	1391598	9285	0	0	0	0	200	200	0.4230550000000002	1.9	0.91	0.61
49	86	1598	8000	6487886	43323	0	0	0	0	1834856	12230	0	0	0	0	200	200	0.41372	1.48	0.87	0.6
49	83	1599	10000	7535892	46572	0	3	0	0	2147254	13187	0	0	0	0	200	200	0.37367999999999996	1.15	0.82	0.59
49	88	1605	12000	8735234	50435	0	0	0	0	2511866	14423	0	0	0	0	200	200	0.338065	0.97	0.8	0.58
49	77	1597	14000	9948878	58239	0	0	0	0	2869562	16723	0	0	0	0	200	200	0.34529999999999994	0.76	0.76	0.57
49	76	1599	16000	10904876	61920	0	1	0	0	3139218	17751	0	0	0	0	200	200	0.34351	0.64	0.73	0.57
49	93	1601	18000	11730682	68427	0	2	0	0	3374836	19566	0	0	0	0	200	200	0.3141999999999998	0.42	0.67	0.55
49	95	1610	20000	12615560	72880	0	0	0	0	3634338	20873	0	0	0	0	200	200	0.3133300000000001	0.36	0.64	0.54
49	93	1608	22000	13600052	79128	0	2	0	0	3922996	22682	0	0	0	0	200	200	0.312365	0.23	0.58	0.53
49	89	1607	24000	14564844	83644	0	1	0	0	4211224	24056	0	0	0	0	200	200	0.29315	0.14	0.53	0.51
49	84	1597	26000	15403456	89220	0	2	0	0	4448708	25594	0	0	0	0	200	200	0.29584499999999997	0.08	0.47	0.49
49	79	1599	28000	16280862	93563	0	0	0	0	4698338	26823	0	0	0	0	200	200	0.27027500000000004	0.05	0.42	0.47
49	84	1594	30000	17166070	97283	0	0	0	0	4962956	27922	0	0	0	0	200	200	0.28944	0.16	0.41	0.46
49	85	1683	32000	18092538	102779	0	1	0	0	5240544	29600	0	0	0	0	200	200	0.2851449999999999	0.15	0.38	0.45
49	92	1604	34000	18902070	107585	0	0	0	0	5462860	30876	0	0	0	0	200	200	0.27579499999999996	0.08	0.33	0.43
49	89	1599	36000	19941416	114452	0	0	0	0	5769120	32932	0	0	0	0	200	200	0.25921999999999973	0.08	0.3	0.42
49	87	1597	38000	20770406	119293	0	2	0	0	6013066	34335	0	0	0	0	200	200	0.2561799999999998	0.04	0.26	0.4
49	89	1614	40000	21596552	123226	0	0	0	0	6251680	35498	0	0	0	0	200	200	0.23884000000000014	0.14	0.25	0.38
49	87	1601	42000	22614114	128883	0	0	0	0	6547756	37138	0	0	0	0	200	200	0.2680600000000001	0.14	0.23	0.37
49	86	1601	44000	23462756	134220	0	0	0	0	6794590	38675	0	0	0	0	200	200	0.2581349999999999	0.06	0.19	0.35
49	84	1598	46000	24294854	139565	0	3	0	0	7041892	40228	0	0	0	0	200	200	0.25682999999999995	0.02	0.16	0.33
49	87	1595	48000	25287618	143163	0	1	0	0	7329902	41263	0	0	0	0	200	200	0.25389999999999996	0.26	0.22	0.34
49	89	1611	50000	26072502	147001	0	0	0	0	7556144	42386	0	0	0	0	200	200	0.24844000000000005	0.1	0.18	0.32
49	88	1600	52000	27061442	154421	0	0	0	0	7841562	44517	0	0	0	0	200	200	0.25652499999999995	0.27	0.22	0.32
49	80	1609	54000	27990214	158569	0	0	0	0	8106466	45661	0	0	0	0	200	200	0.264635	0.15	0.19	0.31
49	83	1611	56000	28915912	165876	0	1	0	0	8371864	47708	0	0	0	0	200	200	0.25214499999999995	0.14	0.18	0.29
49	86	1595	58000	29781236	168900	0	1	0	0	8635686	48677	0	0	0	0	200	200	0.25329999999999997	0.18	0.19	0.29
