node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	91	1617	0	277126	2913	0	0	0	0	140280	1476	0	0	0	0	200	0	0.0	3.23	19.45	134.22
50	74	1606	2000	488508	5400	0	0	0	0	246766	2737	0	0	0	0	200	0	0.0	2.81	18.83	132.79
50	81	1614	4000	907856	8870	0	0	0	0	458992	4498	0	0	0	0	200	0	0.0	2.61	18.26	131.38
50	75	1599	6000	2363056	19166	0	0	0	0	1192274	9689	0	0	0	0	200	116	0.36248275862068974	2.11	17.38	129.28
50	81	1605	8000	3973612	29148	0	0	0	0	2004396	14722	0	0	0	0	200	149	0.4111610738255035	1.72	16.54	127.21
50	81	1604	10000	5359776	36534	0	0	0	0	2703658	18431	0	0	0	0	200	174	0.483396551724138	1.34	15.73	125.17
50	89	1612	12000	5706206	38539	0	1	0	0	2878294	19445	0	0	0	0	200	177	0.44176836158192073	0.96	14.71	122.5
50	79	1603	14000	6239044	40800	0	0	0	0	3151148	20598	0	0	0	0	200	173	0.41742774566474006	0.69	13.76	119.89
50	75	1607	16000	6834540	45216	0	1	0	0	3450978	22825	0	0	0	0	200	178	0.4464775280898878	0.57	12.68	116.72
50	80	1619	18000	7646992	49282	0	1	0	0	3864182	24909	0	0	0	0	200	179	0.4195139664804471	0.37	11.66	113.61
50	82	1611	20000	7780222	51271	0	0	0	0	3926106	25889	0	0	0	0	200	171	0.42125730994152055	0.24	10.73	110.59
50	76	1597	22000	8312104	52752	0	0	0	0	4198272	26656	0	0	0	0	200	180	0.38007222222222226	0.15	9.7	107.08
50	77	1611	24000	9212628	57490	0	0	0	0	4656926	29065	0	0	0	0	200	182	0.4221208791208794	0.25	8.81	103.68
50	78	1609	26000	9750516	61478	0	0	0	0	4923054	31061	0	0	0	0	200	181	0.4217624309392268	0.23	7.98	100.39
50	77	1598	28000	10123602	62681	0	0	0	0	5120272	31694	0	0	0	0	200	183	0.3803551912568305	0.4	7.17	96.7
50	74	1603	30000	10430156	65116	0	1	0	0	5270528	32928	0	0	0	0	200	179	0.41486592178770937	0.2	6.27	92.62
50	84	1611	32000	10745098	67271	0	0	0	0	5433754	34023	0	0	0	0	200	179	0.3573407821229051	0.1	5.48	88.71
50	82	1606	34000	11286534	68337	0	0	0	0	5709784	34570	0	0	0	0	200	178	0.3608370786516854	0.05	4.79	84.97
50	86	1619	36000	12032416	72642	0	0	0	0	6088612	36754	0	0	0	0	200	178	0.3668426966292136	0.11	4.21	81.39
50	78	1596	38000	12737288	77442	0	0	0	0	6444402	39183	0	0	0	0	200	188	0.3592500000000003	0.21	3.65	77.55
50	88	1609	40000	13260648	79668	0	1	0	0	6709368	40328	0	0	0	0	200	186	0.36015053763440874	0.15	3.1	73.48
50	81	1608	42000	13771082	82081	0	0	0	0	6970342	41551	0	0	0	0	200	196	0.35373469387755097	0.19	2.7	70.02
50	86	1601	44000	14229142	85569	0	1	0	0	7201346	43311	0	0	0	0	200	182	0.34146703296703307	0.11	2.25	65.99
50	78	1604	46000	14297212	84212	0	0	0	0	7236448	42644	0	0	0	0	200	181	0.3292375690607736	0.13	1.92	62.53
50	73	1601	48000	14795738	87791	0	0	0	0	7491324	44460	0	0	0	0	200	179	0.32007262569832423	0.21	1.63	58.95
50	86	1603	50000	15270516	89920	0	0	0	0	7730814	45531	0	0	0	0	200	178	0.3492359550561799	0.27	1.4	55.57
50	77	1601	52000	15661594	91541	0	0	0	0	7928772	46360	0	0	0	0	200	181	0.3128011049723756	0.5	1.26	52.13
50	82	1600	54000	16111610	93969	0	0	0	0	8155538	47581	0	0	0	0	200	184	0.3466467391304348	0.39	1.08	48.88
50	77	1615	56000	16919510	98683	0	0	0	0	8565170	49981	0	0	0	0	200	186	0.35644623655913965	0.21	0.88	45.58
50	87	1615	58000	17146510	100231	0	1	0	0	8680666	50759	0	0	0	0	200	178	0.3335393258426965	0.07	0.71	42.49
