node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	103	1614	0	525240	4962	0	0	0	0	192032	1846	0	0	0	0	200	0	0.0	3.16	1.04	0.72
50	88	1619	2000	1548366	12243	0	0	0	0	601584	4676	0	0	0	0	200	0	0.0	3.23	1.08	0.73
50	93	1614	4000	2657260	15902	0	0	0	0	1263506	7355	0	0	0	0	200	0	0.0	2.85	1.11	0.75
50	87	1609	6000	4784080	28500	0	1	0	0	1972488	10724	0	0	0	0	200	200	0.4578149999999999	2.49	1.09	0.75
50	88	1612	8000	5954724	36776	0	0	0	0	2438254	13609	0	0	0	0	200	200	0.40756499999999996	2.02	1.05	0.74
50	87	1619	10000	6068398	35735	0	0	0	0	2590230	13827	0	0	0	0	200	200	0.37551500000000004	1.57	1.0	0.73
50	90	1621	12000	6700912	39628	0	0	0	0	2886584	15604	0	0	0	0	200	200	0.3716599999999998	1.2	0.95	0.72
50	93	1630	14000	7207214	42529	0	1	0	0	3154142	17043	0	0	0	0	200	200	0.32648000000000016	0.94	0.91	0.71
50	100	1616	16000	7782976	45284	0	0	0	0	3451910	18421	0	0	0	0	200	200	0.33884000000000003	0.67	0.85	0.69
50	92	1620	18000	8389358	49611	0	0	0	0	3725948	20218	0	0	0	0	200	200	0.3112850000000001	0.44	0.78	0.67
50	83	1606	20000	8997404	52494	0	0	0	0	4038356	21646	0	0	0	0	200	200	0.3106750000000001	0.29	0.71	0.65
50	90	1618	22000	9472962	55557	0	1	0	0	4283188	23180	0	0	0	0	200	200	0.3001350000000001	0.34	0.68	0.64
50	87	1608	24000	10176116	60392	0	2	0	0	4623552	25354	0	0	0	0	200	200	0.29620500000000005	0.29	0.64	0.63
50	87	1611	26000	10729178	63691	0	1	0	0	4877944	26784	0	0	0	0	200	200	0.3072999999999999	0.41	0.64	0.63
50	92	1625	28000	11132456	64554	0	1	0	0	5122324	27474	0	0	0	0	200	200	0.27553	0.3	0.59	0.61
50	84	1619	30000	11804604	68958	0	0	0	0	5444236	29496	0	0	0	0	200	200	0.299215	0.17	0.52	0.59
50	91	1620	32000	12355384	71746	0	0	0	0	5706328	30676	0	0	0	0	200	200	0.267715	0.14	0.48	0.57
50	95	1616	34000	12928910	74773	0	0	0	0	6003424	32226	0	0	0	0	200	200	0.29047000000000006	0.17	0.45	0.55
50	90	1617	36000	13387052	77038	0	1	0	0	6263384	33628	0	0	0	0	200	200	0.283175	0.08	0.38	0.53
50	95	1613	38000	14080286	82481	0	0	0	0	6562396	35732	0	0	0	0	200	200	0.27657	0.16	0.36	0.51
50	88	1618	40000	14721326	85705	0	1	0	0	6868206	37191	0	0	0	0	200	200	0.28143	0.12	0.32	0.49
50	97	1618	42000	15210018	88129	0	0	0	0	7139370	38611	0	0	0	0	200	200	0.27620000000000006	0.06	0.28	0.46
50	86	1611	44000	15666266	89953	0	0	0	0	7388302	39681	0	0	0	0	200	200	0.27738999999999997	0.02	0.23	0.44
50	87	1616	46000	16281324	93426	0	0	0	0	7683934	41149	0	0	0	0	200	200	0.27700000000000014	0.09	0.21	0.42
50	97	1618	48000	16823570	95801	0	0	0	0	7948972	42168	0	0	0	0	200	200	0.26947499999999996	0.04	0.17	0.39
50	83	1627	50000	17317296	97978	0	0	0	0	8222184	43500	0	0	0	0	200	200	0.26856500000000005	0.27	0.25	0.41
50	95	1611	52000	17852956	101482	0	0	0	0	8498112	45128	0	0	0	0	200	200	0.26813	0.27	0.24	0.39
50	90	1614	54000	18566282	106185	0	2	0	0	8830054	47301	0	0	0	0	200	200	0.2788400000000001	0.52	0.3	0.4
50	97	1612	56000	19054108	108492	0	0	0	0	9084332	48460	0	0	0	0	200	200	0.2821400000000001	0.33	0.27	0.38
50	87	1627	58000	19529550	109441	0	1	0	0	9337368	49020	0	0	0	0	200	200	0.2636049999999999	0.18	0.24	0.36
