node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	107	1680	0	65344	1148	0	1	0	0	35464	640	0	0	0	0	200	0	0.0	4.77	1.47	0.77
50	85	1614	2000	59206	1083	0	0	0	0	33670	635	0	0	0	0	200	0	0.0	4.04	1.42	0.76
50	94	2035	4000	68890	1197	0	0	0	0	38614	691	0	0	0	0	200	0	0.0	3.42	1.38	0.76
50	90	1625	6000	61012	1126	0	0	0	0	33628	634	0	0	0	0	200	0	0.0	2.81	1.34	0.75
50	87	1688	8000	66520	1160	0	0	0	0	36046	647	0	0	0	0	200	0	0.0	2.18	1.27	0.74
50	95	1617	10000	63058	1177	0	0	0	0	33418	629	0	0	0	0	200	0	0.0	1.78	1.23	0.73
50	88	1612	12000	57862	1051	0	0	0	0	32788	614	0	0	0	0	200	0	0.0	1.42	1.18	0.73
50	86	1617	14000	58660	1070	0	0	0	0	32746	613	0	0	0	0	200	0	0.0	1.02	1.1	0.71
50	90	1728	16000	65944	1176	0	0	0	0	36448	668	0	0	0	0	200	0	0.0	0.75	1.03	0.7
50	89	1620	18000	58904	1086	0	4	0	0	32830	615	0	0	0	0	200	0	0.0	0.49	0.95	0.68
50	94	1718	20000	64866	1147	0	0	0	0	36000	654	0	0	0	0	200	0	0.0	0.4	0.89	0.67
50	97	1624	22000	59824	1100	0	0	0	0	33376	628	0	0	0	0	200	0	0.0	0.32	0.82	0.65
50	83	1617	24000	60718	1119	0	0	0	0	33544	632	0	0	0	0	200	0	0.0	0.2	0.74	0.63
50	100	1786	26000	66328	1152	0	0	0	0	36144	646	0	0	0	0	200	0	0.0	0.11	0.65	0.6
50	91	1619	28000	60418	1113	0	1	0	0	33420	628	0	0	0	0	200	0	0.0	0.11	0.6	0.58
50	87	1611	30000	59872	1100	0	0	0	0	33502	631	0	0	0	0	200	0	0.0	0.06	0.53	0.56
50	93	1687	32000	63538	1113	0	0	0	0	35460	648	0	0	0	0	200	0	0.0	0.11	0.48	0.54
50	88	1697	34000	66112	1148	0	0	0	0	37276	674	0	0	0	0	200	0	0.0	0.06	0.42	0.52
50	86	1721	36000	66460	1170	0	0	0	0	36658	665	0	0	0	0	200	0	0.0	0.02	0.36	0.49
50	94	1614	38000	59734	1099	0	0	0	0	33292	626	0	0	0	0	200	0	0.0	0.01	0.3	0.46
50	91	1694	40000	65062	1155	0	0	0	0	34870	635	0	0	0	0	200	0	0.0	0.08	0.28	0.45
50	97	1616	42000	58822	1075	0	0	0	0	32788	614	0	0	0	0	200	0	0.0	0.12	0.25	0.43
50	94	1614	44000	58156	1058	0	0	0	0	33084	620	0	0	0	0	200	0	0.0	0.05	0.21	0.4
50	96	1624	46000	62734	1167	0	0	0	0	33040	620	0	0	0	0	200	0	0.0	0.09	0.19	0.38
50	89	1611	48000	59950	1103	0	0	0	0	33168	622	0	0	0	0	200	0	0.0	0.11	0.17	0.36
50	89	1614	50000	58774	1075	0	0	0	0	32662	611	0	0	0	0	200	0	0.0	0.04	0.14	0.34
50	89	1615	52000	59962	1101	0	0	0	0	33502	631	0	0	0	0	200	0	0.0	0.01	0.11	0.32
50	90	1613	54000	60802	1121	0	0	0	0	33712	636	0	0	0	0	200	0	0.0	0.1	0.13	0.31
50	84	1620	56000	58870	1075	0	0	0	0	32704	612	0	0	0	0	200	0	0.0	0.03	0.1	0.29
50	97	1776	58000	68980	1214	0	0	0	0	37594	677	0	0	0	0	200	0	0.0	0.78	0.42	0.39
