node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	89	1962	0	10672914	47203	0	1658	0	0	2960498	13178	0	0	0	0	200	108	70.24119444444443	3.65	1.65	3.5
49	74	2007	2000	11218994	50657	0	1804	0	0	3093538	14057	0	0	0	0	200	130	36.96407692307694	3.32	1.65	3.48
49	69	1964	4000	13995034	62058	0	1741	0	0	3888574	17325	0	0	0	0	200	133	51.6662030075188	2.81	1.59	3.44
49	79	1876	6000	14142788	63584	0	1882	0	0	3991682	17981	0	0	0	0	200	143	59.36960839160841	2.41	1.57	3.4
49	74	1934	8000	16265368	73583	0	1669	0	0	4529746	20573	0	0	0	0	200	153	54.617901960784295	2.2	1.56	3.37
49	68	2038	10000	17255456	80022	0	1768	0	0	4814872	22420	0	0	0	0	200	164	30.941914634146347	1.79	1.5	3.32
49	62	1936	12000	18116054	84460	0	1715	0	0	5096232	23819	0	0	0	0	200	163	35.9200490797546	1.36	1.41	3.25
49	80	1911	14000	19429146	91244	0	1735	0	0	5419176	25537	0	0	0	0	200	172	21.97719186046513	1.8	1.52	3.25
49	70	1846	16000	20097188	95578	0	1615	0	0	5686312	27127	0	0	0	0	200	174	21.97593103448275	1.35	1.43	3.17
49	66	1988	18000	20472720	101251	0	1645	0	0	5684600	28252	0	0	0	0	200	184	18.653630434782603	1.11	1.36	3.1
49	79	2036	20000	22184710	110303	0	1996	0	0	6134968	30639	0	0	0	0	200	184	19.422076086956526	1.21	1.36	3.05
49	69	1956	22000	24139132	118939	0	1870	0	0	6734272	33281	0	0	0	0	200	182	24.026796703296707	1.87	1.55	3.07
49	70	1998	24000	24204848	121266	0	1810	0	0	6732440	33870	0	0	0	0	200	182	20.816730769230762	1.21	1.42	2.97
49	68	2125	26000	25737388	130256	0	1755	0	0	7123752	36170	0	0	0	0	200	190	20.28916315789473	3.18	2.03	3.13
49	77	1852	28000	26506198	133508	0	1806	0	0	7344302	37148	0	0	0	0	200	113	71.16012173913045	1.98	1.85	3.02
49	79	1930	30000	29276712	148999	0	1852	0	0	8157270	41638	0	0	0	0	200	130	83.29375555555556	1.53	1.73	2.93
49	74	1993	32000	30044604	154811	0	1929	0	0	8285198	42871	0	0	0	0	200	184	20.11847567567568	0.93	1.56	2.83
49	77	1997	34000	30498522	158243	0	1754	0	0	8396678	43705	0	0	0	0	200	186	17.64076344086022	0.6	1.4	2.71
49	80	2107	36000	30087342	159341	0	1880	0	0	8368150	44461	0	0	0	0	200	196	11.270153061224496	1.13	1.41	2.66
49	79	2176	38000	31036850	167105	0	1889	0	0	8618570	46499	0	0	0	0	200	196	10.467734693877551	0.65	1.24	2.54
49	74	1801	40000	32501256	172541	0	1686	0	0	8990250	47883	0	0	0	0	200	197	14.536807106598983	0.3	1.07	2.42
49	66	1841	42000	35370872	185503	0	1593	0	0	9838618	51747	0	0	0	0	200	190	15.618678947368426	0.53	1.01	2.33
49	70	1915	44000	35692300	190860	0	1850	0	0	9851894	52845	0	0	0	0	200	191	14.802183246073303	0.52	0.92	2.23
49	74	1904	46000	37689950	201479	0	1714	0	0	10442298	55943	0	0	0	0	200	193	13.11389637305699	0.82	0.89	2.14
49	75	2080	48000	37144806	199656	0	1803	0	0	10288942	55499	0	0	0	0	200	193	10.32825388601036	0.67	0.82	2.04
49	75	1858	50000	39348770	211803	0	1717	0	0	10860158	58608	0	0	0	0	200	196	14.769448979591827	0.27	0.68	1.92
49	71	2044	52000	41591546	225754	0	1756	0	0	11507356	62632	0	0	0	0	200	196	10.296806122448983	0.35	0.62	1.82
49	79	1983	54000	42480990	229487	0	1664	0	0	11791284	63903	0	0	0	0	200	195	9.928902564102565	0.36	0.57	1.72
49	74	2120	56000	45620906	245913	0	1695	0	0	12585450	68048	0	0	0	0	200	195	12.782010256410267	0.41	0.54	1.64
49	79	2051	58000	44359328	241799	0	1865	0	0	12304334	67244	0	0	0	0	200	197	8.564294416243657	0.38	0.52	1.55
