node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	85	2018	0	3697848	18341	0	416	0	0	1863668	9256	0	0	0	0	200	63	48.50990476190477	26.19	15.73	9.11
50	69	1932	2000	4224240	20624	0	385	0	0	2127632	10401	0	0	0	0	200	47	25.910145833333342	26.07	16.08	9.3
50	81	1943	4000	5438592	26174	0	429	0	0	2735620	13183	0	0	0	0	200	72	31.068027777777786	20.3	15.29	9.15
50	70	2063	6000	6808060	32431	0	421	0	0	3424876	16337	0	0	0	0	200	74	51.72525675675676	17.25	14.81	9.05
50	66	1964	8000	7196000	34609	0	439	0	0	3625396	17463	0	0	0	0	200	83	54.477975903614485	13.66	14.13	8.92
50	72	1892	10000	7752626	37138	0	407	0	0	3901672	18707	0	0	0	0	200	70	6.720300000000001	9.93	13.24	8.74
50	67	2021	12000	8680628	42217	0	419	0	0	4367500	21264	0	0	0	0	200	85	55.02395348837208	7.11	12.39	8.56
50	67	2028	14000	9771932	46974	0	434	0	0	4916408	23659	0	0	0	0	200	92	14.73875	5.25	11.62	8.38
50	84	1923	16000	10032344	48430	0	418	0	0	5046916	24396	0	0	0	0	200	82	24.72260975609755	3.92	10.9	8.21
50	70	1929	18000	11648390	55899	0	382	0	0	5867084	28180	0	0	0	0	200	84	39.36396428571429	6.75	11.08	8.37
50	81	1983	20000	12199996	59156	0	401	0	0	6128352	29753	0	0	0	0	200	82	19.517804878048775	4.52	10.21	8.15
50	71	1816	22000	13422406	65346	0	423	0	0	6750776	32899	0	0	0	0	200	104	24.919980769230754	2.82	9.25	7.9
50	83	1952	24000	12537850	62769	0	388	0	0	6306636	31609	0	0	0	0	200	89	25.005955056179772	1.71	8.36	7.64
50	78	2004	26000	15993760	77375	0	378	0	0	8040306	38925	0	0	0	0	200	98	13.844653061224488	1.0	7.45	7.37
50	73	1893	28000	12814508	68271	0	441	0	0	6441712	34344	0	0	0	0	200	77	48.3930909090909	0.79	6.67	7.11
50	77	2398	30000	16977264	84780	0	391	0	0	8539724	42685	0	0	0	0	200	97	29.55890721649482	0.5	5.95	6.85
50	70	1897	32000	16447806	83050	0	404	0	0	8268380	41794	0	0	0	0	200	107	25.243392523364474	0.39	5.24	6.57
50	74	1910	34000	18504404	92272	0	385	0	0	9305876	46441	0	0	0	0	200	105	15.438561904761913	0.43	4.64	6.31
50	73	1907	36000	17982248	90007	0	422	0	0	9036548	45275	0	0	0	0	200	98	17.01340816326531	0.99	4.22	6.09
50	73	1904	38000	19156820	97371	0	433	0	0	9622688	48957	0	0	0	0	200	103	19.540786407766984	0.63	3.67	5.81
50	72	2051	40000	20541888	103093	0	373	0	0	10323088	51850	0	0	0	0	200	100	12.878749999999998	0.53	3.17	5.53
50	79	1902	42000	21277204	108770	0	450	0	0	10689380	54684	0	0	0	0	200	119	10.74988235294118	0.4	2.75	5.27
50	64	1973	44000	23739370	120652	0	423	0	0	11920452	60627	0	0	0	0	200	116	17.767431034482755	0.39	2.35	4.99
50	79	2028	46000	22973200	118139	0	395	0	0	11561040	59485	0	0	0	0	200	105	7.3751999999999995	0.56	2.08	4.76
50	78	1941	48000	25431324	129502	0	425	0	0	12769480	65069	0	0	0	0	200	117	12.655760683760684	0.39	1.78	4.5
50	71	1972	50000	26957668	135875	0	402	0	0	13540414	68304	0	0	0	0	200	104	33.11034615384615	0.14	1.45	4.21
50	71	1900	52000	25073778	130756	0	402	0	0	12597834	65752	0	0	0	0	200	116	6.524077586206894	0.17	1.22	3.96
50	72	1890	54000	28167752	144879	0	424	0	0	14150936	72840	0	0	0	0	200	110	5.5862727272727275	0.14	1.01	3.71
50	80	1925	56000	29315534	151993	0	463	0	0	14737168	76462	0	0	0	0	200	112	9.05796428571429	0.3	0.89	3.5
50	68	1902	58000	28911418	151529	0	454	0	0	14536694	76233	0	0	0	0	200	117	8.005196581196577	0.35	0.79	3.28
