node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	100	1600	0	156152	2564	0	1	0	0	45288	744	0	0	0	0	200	0	0.0	3.79	1.72	1.09
49	81	1596	2000	179964	2868	0	0	0	0	52596	842	0	0	0	0	200	0	0.0	3.21	1.67	1.08
49	89	1604	4000	206552	3092	0	0	0	0	59908	900	0	0	0	0	200	0	0.0	2.79	1.63	1.07
49	81	1597	6000	238024	3278	0	0	0	0	68916	958	0	0	0	0	200	0	0.0	2.17	1.55	1.06
49	87	1598	8000	325960	3456	0	0	0	0	94270	1019	0	0	0	0	200	0	0.0	1.83	1.5	1.05
49	80	1599	10000	522760	4026	0	0	0	0	150836	1176	0	0	0	0	200	14	0.11135714285714284	1.58	1.46	1.04
49	89	1598	12000	761654	4587	0	1	0	0	219542	1331	0	0	0	0	200	40	0.10250000000000001	1.13	1.37	1.02
49	83	1599	14000	1030168	5480	0	0	0	0	298112	1594	0	0	0	0	200	56	0.10359322033898305	0.94	1.31	1.01
49	84	1595	16000	1437102	7899	0	0	0	0	408318	2227	0	0	0	0	200	133	0.10865185185185193	0.67	1.22	0.99
49	83	1596	18000	1729222	9533	0	0	0	0	491152	2670	0	0	0	0	200	184	0.11021195652173911	0.75	1.2	0.99
49	90	1601	20000	1984898	10253	0	0	0	0	564862	2867	0	0	0	0	200	200	0.10997499999999995	0.49	1.1	0.96
49	89	1605	22000	2051428	10334	0	1	0	0	588884	2918	0	0	0	0	200	188	0.1144946808510638	0.73	1.1	0.96
49	85	1601	24000	2321516	10738	0	0	0	0	662192	2990	0	0	0	0	200	200	0.11110999999999997	0.72	1.06	0.95
49	93	1598	26000	2459466	10845	0	0	0	0	702406	3037	0	0	0	0	200	200	0.11039499999999997	0.68	1.02	0.94
49	91	1604	28000	2615958	10687	0	1	0	0	750456	3002	0	0	0	0	200	200	0.10694999999999995	2.03	1.41	1.08
49	82	1601	30000	2844074	11319	0	0	0	0	816206	3183	0	0	0	0	200	200	0.11152499999999996	1.13	1.25	1.04
49	98	1604	32000	3059018	11579	0	0	0	0	875152	3234	0	0	0	0	200	200	0.10915000000000001	0.74	1.13	1.0
49	86	1596	34000	3277922	11775	0	0	0	0	939552	3288	0	0	0	0	200	199	0.11079396984924628	0.64	1.06	0.99
49	93	1597	36000	3393790	11427	0	0	0	0	977300	3230	0	0	0	0	200	200	0.10686500000000004	0.33	0.93	0.94
49	78	1597	38000	3444382	11331	0	0	0	0	995348	3220	0	0	0	0	200	192	0.10521875000000001	0.15	0.8	0.9
49	85	1608	40000	3661554	11435	0	0	0	0	1056724	3250	0	0	0	0	200	200	0.10429500000000004	0.14	0.7	0.86
49	82	1599	42000	3905512	12300	0	0	0	0	1125204	3468	0	0	0	0	200	200	0.10778499999999998	0.37	0.69	0.85
49	81	1598	44000	4076120	12386	0	1	0	0	1178490	3531	0	0	0	0	200	200	0.108385	0.16	0.58	0.8
49	84	1598	46000	4250114	12345	0	1	0	0	1227314	3507	0	0	0	0	200	200	0.10723500000000001	0.16	0.52	0.77
49	82	1598	48000	4311950	12491	0	0	0	0	1248906	3565	0	0	0	0	200	200	0.10367999999999998	0.26	0.49	0.74
49	85	1597	50000	4583704	12638	0	0	0	0	1324196	3596	0	0	0	0	200	200	0.10570000000000007	0.14	0.42	0.7
49	94	1603	52000	4832678	13123	0	0	0	0	1397248	3728	0	0	0	0	200	200	0.10619499999999996	0.05	0.34	0.66
49	98	1598	54000	4853810	13433	0	0	0	0	1395594	3811	0	0	0	0	200	200	0.10836999999999998	0.1	0.29	0.62
49	89	1603	56000	5192178	13489	0	0	0	0	1498962	3807	0	0	0	0	200	200	0.107155	0.31	0.3	0.6
49	84	1599	58000	5363084	13598	0	0	0	0	1552104	3874	0	0	0	0	200	200	0.10394	0.18	0.26	0.56
