node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	94	1630	0	87694	1493	0	0	0	0	44920	766	0	0	0	0	200	0	0.0	3.88	2.01	2.6
50	83	1612	2000	99218	1657	0	0	0	0	50666	847	0	0	0	0	200	0	0.0	3.36	1.96	2.57
50	85	1609	4000	111724	1776	0	0	0	0	56988	906	0	0	0	0	200	0	0.0	2.84	1.9	2.55
50	84	1606	6000	123872	1916	0	0	0	0	63356	980	0	0	0	0	200	0	0.0	2.37	1.84	2.52
50	84	1604	8000	139796	1986	0	0	0	0	71476	1020	0	0	0	0	200	0	0.0	2.05	1.8	2.49
50	81	1607	10000	172092	2160	0	1	0	0	87456	1102	0	0	0	0	200	3	0.10000000000000002	1.6	1.71	2.45
50	81	1611	12000	203446	2331	0	0	0	0	103340	1190	0	0	0	0	200	17	0.07358823529411763	1.29	1.63	2.41
50	81	1606	14000	252002	2585	0	0	0	0	127684	1318	0	0	0	0	200	23	0.07762500000000001	1.07	1.55	2.37
50	79	1603	16000	291458	2769	0	0	0	0	147660	1414	0	0	0	0	200	25	0.08120000000000001	0.7	1.43	2.3
50	90	1609	18000	375764	3222	0	0	0	0	190144	1642	0	0	0	0	200	45	0.08008888888888888	0.54	1.33	2.24
50	81	1609	20000	469146	3781	0	0	0	0	235540	1914	0	0	0	0	200	65	0.08643939393939395	0.69	1.3	2.21
50	83	1606	22000	612508	4662	0	1	0	0	308312	2366	0	0	0	0	200	97	0.08871428571428572	0.54	1.21	2.15
50	86	1607	24000	746114	5579	0	0	0	0	375618	2823	0	0	0	0	200	107	0.10395370370370362	0.41	1.11	2.08
50	91	1609	26000	801502	5649	0	0	0	0	403028	2854	0	0	0	0	200	107	0.10222222222222228	0.3	1.0	2.01
50	74	1606	28000	967902	6849	0	0	0	0	486496	3456	0	0	0	0	200	129	0.10435877862595419	0.17	0.89	1.94
50	80	1607	30000	1085022	7459	0	0	0	0	545428	3768	0	0	0	0	200	132	0.11429323308270681	0.09	0.79	1.86
50	78	1605	32000	1201470	8205	0	0	0	0	603288	4142	0	0	0	0	200	149	0.11359060402684565	0.13	0.7	1.79
50	84	1605	34000	1006280	7186	0	0	0	0	505850	3631	0	0	0	0	200	126	0.11569047619047616	0.22	0.65	1.72
50	87	1608	36000	1542558	10065	0	2	0	0	774452	5076	0	0	0	0	200	161	0.12760869565217386	0.18	0.57	1.64
50	76	1605	38000	1049672	6988	0	1	0	0	528324	3536	0	0	0	0	200	118	0.11429661016949154	0.08	0.49	1.56
50	80	1612	40000	1809246	11531	0	0	0	0	906626	5803	0	0	0	0	200	182	0.13453005464480872	0.04	0.42	1.49
50	83	1606	42000	1892924	11750	0	1	0	0	949970	5919	0	0	0	0	200	186	0.13425806451612898	0.02	0.35	1.41
50	77	1613	44000	2066514	12469	0	1	0	0	1036440	6272	0	0	0	0	200	187	0.13109625668449204	0.09	0.31	1.34
50	82	1604	46000	2180646	13217	0	0	0	0	1093810	6651	0	0	0	0	200	192	0.142875	0.12	0.28	1.27
50	86	1610	48000	2277922	13851	0	0	0	0	1142858	6971	0	0	0	0	200	196	0.1451734693877551	0.28	0.31	1.22
50	85	1612	50000	2364230	14103	0	0	0	0	1186342	7097	0	0	0	0	200	188	0.1445425531914894	0.13	0.26	1.15
50	76	1611	52000	2424808	13828	0	1	0	0	1216648	6964	0	0	0	0	200	197	0.142507614213198	0.13	0.23	1.08
50	88	1614	54000	2367054	13799	0	1	0	0	1187714	6949	0	0	0	0	200	189	0.14359259259259263	0.05	0.19	1.01
50	89	1612	56000	2653156	15140	0	0	0	0	1330746	7619	0	0	0	0	200	200	0.15172499999999997	0.2	0.2	0.96
50	73	1603	58000	2837016	15880	0	0	0	0	1423138	7991	0	0	0	0	200	200	0.155865	0.15	0.17	0.9
