node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	106	1616	0	83924	1374	0	0	0	0	44366	757	0	0	0	0	200	0	0.0	3.2	1.22	0.78
50	85	1619	2000	94042	1493	0	0	0	0	50440	846	0	0	0	0	200	0	0.0	2.95	1.2	0.78
50	80	1608	4000	110628	1630	0	0	0	0	57422	907	0	0	0	0	200	0	0.0	2.37	1.16	0.77
50	91	1614	6000	129648	1792	0	0	0	0	64604	976	0	0	0	0	200	0	0.0	2.08	1.14	0.77
50	89	1611	8000	151020	1842	0	0	0	0	72840	1000	0	0	0	0	200	0	0.0	1.62	1.08	0.75
50	84	1618	10000	190674	2127	0	0	0	0	86406	1091	0	0	0	0	200	2	0.10600000000000001	1.26	1.03	0.74
50	87	1611	12000	268018	2223	0	1	0	0	114744	1164	0	0	0	0	200	8	0.109875	1.21	1.04	0.75
50	85	1612	14000	351460	2722	0	0	0	0	140900	1312	0	0	0	0	200	28	0.08724999999999998	0.95	0.99	0.74
50	74	1614	16000	460824	3250	0	0	0	0	179824	1484	0	0	0	0	200	31	0.09463636363636366	0.95	0.99	0.74
50	87	1618	18000	750150	5503	0	0	0	0	263564	2056	0	0	0	0	200	85	0.1000674157303371	0.63	0.91	0.72
50	90	1618	20000	1115546	8471	0	2	0	0	367576	2822	0	0	0	0	200	154	0.10751572327044026	0.49	0.85	0.71
50	92	1619	22000	1270542	9649	0	0	0	0	418200	3204	0	0	0	0	200	178	0.11106629834254145	0.38	0.78	0.69
50	85	1615	24000	1319972	9754	0	0	0	0	436028	3256	0	0	0	0	200	189	0.10929100529100533	0.39	0.74	0.68
50	88	1616	26000	1418310	10009	0	0	0	0	469502	3331	0	0	0	0	200	181	0.11523756906077348	0.44	0.71	0.67
50	92	1613	28000	1375382	9543	0	0	0	0	456366	3203	0	0	0	0	200	182	0.1066373626373626	0.42	0.68	0.66
50	97	1612	30000	1629028	11100	0	0	0	0	542200	3688	0	0	0	0	200	200	0.11297500000000005	0.37	0.63	0.64
50	96	1614	32000	1620474	10569	0	0	0	0	544408	3564	0	0	0	0	200	200	0.10909000000000002	0.2	0.56	0.62
50	90	1612	34000	1718314	11055	0	0	0	0	577924	3730	0	0	0	0	200	200	0.10778000000000006	0.1	0.49	0.59
50	96	1611	36000	1758420	11024	0	0	0	0	593032	3736	0	0	0	0	200	200	0.1092200000000001	0.13	0.43	0.56
50	91	1617	38000	1821110	11189	0	0	0	0	615280	3794	0	0	0	0	200	200	0.10746000000000007	0.96	0.6	0.61
50	94	1612	40000	1901634	11449	0	0	0	0	642704	3884	0	0	0	0	200	200	0.10993999999999994	0.53	0.53	0.59
50	99	1618	42000	1941674	11367	0	1	0	0	666108	3944	0	0	0	0	200	200	0.10798999999999999	0.25	0.45	0.55
50	95	1615	44000	2030346	11599	0	1	0	0	693978	4003	0	0	0	0	200	200	0.11173999999999999	0.23	0.42	0.54
50	89	1613	46000	2107234	11665	0	0	0	0	718814	4011	0	0	0	0	200	200	0.11053499999999997	0.29	0.4	0.52
50	87	1611	48000	2162170	11791	0	0	0	0	741008	4092	0	0	0	0	200	200	0.10969500000000007	0.43	0.4	0.51
50	87	1617	50000	2208926	11819	0	0	0	0	761038	4141	0	0	0	0	200	200	0.10823500000000004	0.25	0.34	0.49
50	97	1615	52000	2293296	12018	0	0	0	0	793736	4234	0	0	0	0	200	200	0.11266499999999999	0.18	0.31	0.47
50	93	1613	54000	2346944	12132	0	2	0	0	815512	4308	0	0	0	0	200	200	0.11225499999999994	0.22	0.3	0.45
50	87	1616	56000	2439984	12578	0	0	0	0	844014	4433	0	0	0	0	200	200	0.11445999999999998	0.15	0.26	0.42
50	93	1614	58000	2456084	12208	0	0	0	0	853912	4350	0	0	0	0	200	200	0.11023500000000006	0.1	0.22	0.4
