node_count	traffic_ms	software_ms	offset_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	98	1601	0	1129439	5639	0	0	0	0	570143	2851	0	0	0	0	200	15	3.9810000000000003	3.21	0.95	0.72
50	80	1599	2000	1697543	7799	0	1	0	0	857043	3947	0	0	0	0	200	29	5.646103448275862	6.62	1.79	1.0
50	69	1601	4000	2983497	12267	0	1	0	0	1500127	6186	0	0	0	0	200	57	5.685385964912281	5.6	1.73	0.99
50	91	1600	6000	4798447	18036	0	2	0	0	2411744	9087	0	0	0	0	200	97	6.9439793814433015	4.44	1.66	0.98
50	75	1598	8000	4444961	17495	0	0	0	0	2232671	8804	0	0	0	0	200	72	6.942888888888891	3.54	1.59	0.97
50	78	1599	10000	7398370	27018	0	0	0	0	3711453	13579	0	0	0	0	200	109	7.556229357798161	2.83	1.53	0.96
50	79	1596	12000	8115019	30403	0	1	0	0	4069942	15272	0	0	0	0	200	106	7.206566037735843	2.1	1.45	0.94
50	85	1598	14000	10035802	34593	0	2	0	0	5028534	17367	0	0	0	0	200	110	9.285772727272725	1.5	1.35	0.92
50	77	1596	16000	6716890	25335	0	0	0	0	3374669	12754	0	0	0	0	200	103	7.38231067961165	0.99	1.24	0.89
50	76	1602	18000	14389206	49097	0	0	0	0	7209724	24637	0	0	0	0	200	162	9.69859259259259	0.79	1.17	0.88
50	82	1599	20000	15895991	53470	0	0	0	0	7965941	26835	0	0	0	0	200	182	9.206664835164831	0.6	1.09	0.86
50	81	1597	22000	15763981	53757	0	0	0	0	7901531	26984	0	0	0	0	200	193	9.357227979274608	0.44	1.0	0.84
50	77	1600	24000	17689853	59444	0	2	0	0	8866226	29838	0	0	0	0	200	196	9.61020918367347	0.43	0.94	0.82
50	78	1599	26000	19346252	63057	0	0	0	0	9691931	31638	0	0	0	0	200	199	9.632557788944716	0.87	1.0	0.84
50	72	1598	28000	18152785	60253	0	0	0	0	9099105	30243	0	0	0	0	200	200	9.613845000000001	0.57	0.9	0.81
50	78	1603	30000	19806485	66003	0	1	0	0	9926606	33124	0	0	0	0	200	200	10.557820000000007	0.69	0.89	0.82
50	71	1596	32000	17776709	60069	0	0	0	0	8914328	30161	0	0	0	0	200	200	9.085255000000002	0.69	0.86	0.81
50	73	1598	34000	18685155	62442	0	0	0	0	9369564	31354	0	0	0	0	200	200	10.480159999999998	0.43	0.77	0.78
50	76	1599	36000	19211840	64331	0	1	0	0	9629864	32287	0	0	0	0	200	200	10.208515	0.3	0.69	0.75
50	82	1598	38000	18100121	58018	0	0	0	0	9074251	29133	0	0	0	0	200	200	9.125040000000006	0.64	0.72	0.76
50	75	1598	40000	17424383	59031	0	0	0	0	8733924	29639	0	0	0	0	200	200	9.521529999999998	0.45	0.66	0.73
50	77	1599	42000	17692593	55922	0	0	0	0	8874116	28097	0	0	0	0	200	200	8.995470000000001	0.28	0.57	0.7
50	79	1599	44000	17939993	60424	0	0	0	0	8989316	30322	0	0	0	0	200	200	9.550450000000005	0.19	0.5	0.67
50	77	1600	46000	19592373	61816	0	0	0	0	9818853	31033	0	0	0	0	200	200	10.087705000000009	0.18	0.45	0.64
50	87	1602	48000	18825491	61343	0	0	0	0	9439243	30810	0	0	0	0	200	200	9.523065	0.15	0.39	0.61
50	78	1599	50000	18717187	63252	0	1	0	0	9383300	31758	0	0	0	0	200	200	9.974979999999993	0.22	0.36	0.58
50	79	1600	52000	17919244	58732	0	0	0	0	8986773	29504	0	0	0	0	200	200	9.482975000000003	0.15	0.31	0.55
50	75	1598	54000	17913893	61654	0	2	0	0	8983152	30968	0	0	0	0	200	200	9.644120000000001	1.0	0.62	0.65
50	72	1595	56000	18227093	61355	0	3	0	0	9140000	30819	0	0	0	0	200	200	9.540605000000001	0.54	0.55	0.62
50	75	1596	58000	19166450	64590	0	4	0	0	9611708	32446	0	0	0	0	200	200	9.689100000000003	0.42	0.49	0.59
