node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	300616	1594	6894596	20685	0	0	0	0	2002784	5978	0	0	0	0	48	48	0.2657916666666667	0.41	11.42	11.82
64	300799	1772	11089510	26131	0	0	0	0	3156258	7361	0	0	0	0	63	63	0.26947619047619037	0.02	3.86	8.32
81	300986	1964	17373290	35037	0	0	0	0	4870811	9693	0	0	0	0	80	80	0.3223749999999999	0.04	1.58	5.94
100	301205	2174	26332658	49643	0	0	0	0	7302384	13644	0	0	0	0	99	99	0.31719191919191925	0.11	1.26	4.56
121	301464	2401	38125207	64914	0	0	0	0	10450165	17591	0	0	0	0	120	120	0.40560833333333324	0.07	1.25	3.67
144	301729	2663	53626728	86072	0	0	0	0	14590040	23224	0	0	0	0	143	143	0.41808391608391604	0.22	1.4	3.17
169	302018	2942	73276144	102820	0	0	0	0	19808838	27557	0	0	0	0	168	168	0.44597023809523834	0.09	1.99	3.25
196	302313	3248	98480933	134871	0	0	0	0	26482220	35976	0	0	0	0	195	195	0.46620512820512827	0.16	2.16	3.31
225	302628	3574	129720012	171265	0	0	0	0	34705865	45517	0	0	0	0	224	224	0.5082321428571429	0.12	2.24	3.38
256	302950	3919	167246500	205123	0	0	0	0	44545777	54204	0	0	0	0	255	255	0.6366000000000002	0.36	2.74	3.75
289	303375	4301	211524870	250087	0	0	0	0	56134762	65953	0	0	0	0	288	288	0.64071875	0.8	4.15	5.07
