node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	300620	1603	130864384	686704	0	0	0	0	38111364	199684	0	0	0	0	48	48	0.5892083333333334	0.11	3.03	4.74
64	300799	1774	221817062	1009483	0	0	0	0	63256798	287327	0	0	0	0	63	63	0.5814444444444444	0.2	1.54	3.62
81	300980	1968	356362128	1417780	0	0	0	0	100019110	397155	0	0	0	0	80	80	0.8587625000000001	0.1	1.0	2.83
100	301207	2182	541493942	1924553	0	0	0	0	150084662	532861	0	0	0	0	99	99	1.0282525252525256	0.12	1.16	2.49
121	301456	2418	786885864	2550940	0	0	0	0	215892200	699246	0	0	0	0	120	115	1.761139130434782	0.68	1.76	2.6
144	301713	2676	1116153768	3342694	0	0	0	0	303764290	909129	0	0	0	0	143	138	2.155550724637682	0.51	1.91	2.67
169	301985	2969	1318618658	3868445	0	0	0	0	356211942	1045089	0	0	0	0	168	168	3.011803571428571	1.32	2.59	3.05
196	302316	3276	1068342486	3609375	0	0	0	0	286798482	970367	0	0	0	0	195	188	3.9893989361702125	1.29	3.09	3.53
225	302652	3624	845200644	3460454	0	0	0	0	225428208	925188	0	0	0	0	224	224	5.351031250000001	1.28	3.42	4.01
256	302971	3999	690665218	3441525	0	0	0	0	182954238	914721	0	0	0	0	255	247	9.02882186234818	2.01	3.84	4.53
289	303355	4470	580964146	3494001	0	0	0	0	152970020	924024	0	0	0	0	288	216	9.243652777777779	1.21	3.93	4.95
