node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	300621	1598	12403723	105542	0	0	0	0	3603469	30698	0	0	0	0	48	48	0.28470833333333334	0.09	3.08	4.74
64	300799	1775	17507357	139592	0	0	0	0	4984999	39783	0	0	0	0	63	63	0.27182539682539686	0.07	1.4	3.54
81	300997	1974	24216987	180993	0	0	0	0	6785998	50748	0	0	0	0	80	80	0.32767500000000005	0.15	0.99	2.77
100	301224	2192	32198856	225172	0	0	0	0	8916900	62401	0	0	0	0	99	99	0.3147676767676768	0.21	1.13	2.41
121	301451	2430	42644256	279175	0	0	0	0	11683319	76526	0	0	0	0	120	120	0.38636666666666675	0.25	1.35	2.31
144	301734	2701	54399364	334328	0	0	0	0	14791985	90939	0	0	0	0	143	143	0.29880419580419587	0.18	1.31	2.18
169	302008	2978	68774348	395312	0	0	0	0	18577944	106814	0	0	0	0	168	168	0.34431547619047614	0.6	1.62	2.29
196	302322	3299	85753280	462936	0	0	0	0	23022053	124311	0	0	0	0	195	195	0.3557384615384614	0.42	2.01	2.61
225	302637	3629	105664657	534535	0	0	0	0	28231771	142849	0	0	0	0	224	224	0.40303571428571433	0.13	2.23	2.96
256	302961	4049	129741179	619491	0	0	0	0	34509262	164723	0	0	0	0	255	255	0.5275490196078431	0.74	4.11	4.39
289	303351	4358	156534160	700138	0	0	0	0	41487400	185495	0	0	0	0	288	288	0.5595520833333338	0.51	6.57	6.73
