node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	300608	2149	227733754	1337269	0	0	0	0	62474146	367436	0	0	0	0	48	45	13.488066666666667	0.48	4.1	6.08
64	300788	2189	297226624	1743338	0	0	0	0	80533576	472820	0	0	0	0	63	61	11.731426229508198	0.38	1.86	4.51
81	300986	2438	391698460	2273552	0	0	0	0	104954348	610304	0	0	0	0	80	73	11.3433698630137	0.22	1.26	3.52
100	301283	2839	500691736	2913401	0	0	0	0	133647692	778555	0	0	0	0	99	93	25.553311827957003	0.35	1.23	2.91
121	301461	3428	634256656	3639428	0	0	0	0	167807354	964046	0	0	0	0	120	67	15.903910447761197	0.51	1.47	2.64
144	301708	3384	761610662	4401876	0	0	0	0	200645784	1160795	0	0	0	0	143	127	26.823511811023597	0.92	1.85	2.64
169	301990	4005	909451750	5216382	0	0	0	0	239455250	1374593	0	0	0	0	168	111	24.989531531531522	0.9	2.36	2.92
196	302325	4500	1032507664	5945089	0	0	0	0	269577580	1553831	0	0	0	0	195	156	20.401589743589746	0.63	2.63	3.23
225	303639	4971	1237547858	7075146	0	0	0	0	321514758	1839473	0	0	0	0	224	128	28.574664062500002	1.12	5.92	5.94
256	303974	5594	1407633006	8012170	0	0	0	0	365604300	2083146	0	0	0	0	255	87	32.73762068965517	1.87	8.63	9.03
289	304359	6520	1656704552	9385280	0	0	0	0	428697522	2430232	0	0	0	0	288	106	26.326754716981124	2.11	5.7	8.13
