node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	300621	1598	20086386	32441	0	0	0	0	5820856	9390	0	0	0	0	48	48	0.12839583333333335	0.44	8.84	10.75
64	300795	1782	33353508	45482	0	0	0	0	9470832	12930	0	0	0	0	63	63	0.1318888888888889	0.06	2.9	7.47
81	300990	1964	52082386	64025	0	0	0	0	14562122	17911	0	0	0	0	80	80	0.16055	0.04	1.33	5.38
100	301218	2175	77573694	87423	0	0	0	0	21428180	24170	0	0	0	0	99	99	0.16178787878787884	0.13	1.05	4.08
121	301475	2415	111770268	121170	0	0	0	0	30572372	33126	0	0	0	0	120	120	0.23662499999999997	0.18	1.24	3.38
144	301728	2713	155237128	157206	0	0	0	0	42132120	42654	0	0	0	0	143	143	0.24639160839160834	0.12	1.42	3.0
169	302023	2971	209981286	204679	0	0	0	0	56616216	55146	0	0	0	0	168	168	0.2652619047619047	0.27	1.61	2.84
196	302330	3266	276759694	258947	0	0	0	0	74190296	69380	0	0	0	0	195	195	0.2831743589743589	0.33	2.41	3.29
225	302659	3598	358200372	326342	0	0	0	0	95560978	86987	0	0	0	0	224	224	0.302482142857143	0.22	2.73	3.69
256	303004	3993	460320022	412067	0	0	0	0	122258828	109342	0	0	0	0	255	255	0.4086000000000002	0.12	2.77	3.92
289	303373	4334	578006632	504550	0	0	0	0	152984670	133439	0	0	0	0	288	288	0.4060659722222223	0.19	3.01	4.25
