node_count	traffic_ms	software_startup_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	300620	1590	9955309	56044	0	0	0	0	2831750	15993	0	0	0	0	48	48	8.14575	0.12	3.34	4.86
64	300803	1767	16265362	95729	0	0	0	0	4412140	25964	0	0	0	0	63	63	9.487317460317463	0.03	1.36	3.54
81	301004	1960	21192144	120826	0	0	0	0	5701755	32558	0	0	0	0	80	80	10.046299999999999	0.03	0.86	2.71
100	301218	2175	32080835	193681	0	0	0	0	8696888	52756	0	0	0	0	99	99	11.083383838383835	0.48	1.22	2.44
121	301477	2417	35824646	201850	0	0	0	0	9446975	53317	0	0	0	0	120	120	10.993116666666664	0.18	1.34	2.31
144	301752	2678	48383901	267598	0	0	0	0	12623154	69928	0	0	0	0	143	143	12.89467132867133	0.09	1.93	2.65
169	302045	2969	48718719	265928	0	0	0	0	12825406	70137	0	0	0	0	168	168	10.527851190476188	0.11	2.56	3.24
196	302337	3275	62343312	331396	0	0	0	0	16221861	86487	0	0	0	0	195	195	11.718553846153853	0.7	4.16	4.67
225	302659	3628	86954342	509619	0	0	0	0	22655497	132950	0	0	0	0	224	224	11.807281249999999	0.28	5.22	6.14
256	303010	3988	92111126	495262	0	0	0	0	23846398	128517	0	0	0	0	255	255	12.669062745098037	0.54	7.57	8.72
289	303363	4396	107670649	571176	0	0	0	0	27745085	147464	0	0	0	0	288	288	12.922621527777784	0.65	6.56	9.16
