node_count	time_ms	packets_send	packets_received	rtt_avg_ms
50	35016	200	167	6.3776646706586835
50	70089	200	13	3.274153846153846
50	105170	200	44	5.736818181818183
50	140251	200	98	5.342765306122449
50	175318	200	40	5.480124999999999
50	210393	200	148	5.59268918918919
50	245470	200	68	3.9981764705882368
50	280539	200	39	4.734076923076922
50	315613	200	53	5.971339622641509
50	350684	200	101	6.384940594059407
50	385756	200	45	5.067999999999999
50	420837	200	47	5.38963829787234
50	455905	200	45	5.891733333333332
50	490680	200	193	6.267217616580306
50	525760	200	26	3.840653846153845
50	561102	200	64	5.4822187499999995
50	596168	200	69	4.849739130434783
50	631310	200	101	6.607524752475249
50	666334	200	168	5.779880952380954
50	701411	200	31	3.4372580645161297
50	736354	200	185	5.699610810810808
50	771426	200	40	5.4799750000000005
50	806505	200	50	5.404179999999999
50	841595	200	47	4.956829787234042
50	876659	200	105	6.469190476190476
50	911750	200	52	4.797076923076924
50	946821	200	19	5.691315789473685
50	981292	200	192	5.908515624999997
50	1016362	200	30	4.078866666666666
50	1051429	200	125	5.358495999999999
