node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms
50	19977	50	0	79.5	6338076	30630	0	0	0	0	971741	4380	0	0	0	0	200	159	0.17977639751552796
50	20173	50	1	80.0	18359220	70011	0	32414	0	0	764556	3873	0	0	0	0	200	160	0.20791071428571423
50	20153	50	2	82.5	35564966	292846	0	228333	0	0	890688	5056	0	530	0	0	200	165	0.20679393939393953
50	20105	50	3	82.5	7024624	59756	0	11831	0	0	689123	4347	0	177	0	0	200	165	0.2157469879518072
50	20173	50	4	89.0	59488517	324034	0	266205	0	0	1085271	4046	0	3	0	0	200	178	0.17009550561797757
50	20163	50	5	91.5	101425108	804479	0	330870	0	0	1032443	7470	0	1789	0	0	200	183	0.21982608695652187
50	20108	100	0	67.5	69552316	527203	0	367398	0	0	1008209	5142	0	133	0	0	200	135	0.23679136690647473
50	20296	100	1	75.5	63601558	469984	0	257782	0	0	947603	4908	0	159	0	0	200	151	0.21242105263157893
50	20075	100	2	60.0	94255549	541817	0	213648	0	0	948810	4887	0	13	0	0	200	120	0.20725806451612896
50	20178	100	3	50.0	101327650	806228	0	711575	0	0	1275286	5493	0	18	0	0	200	100	0.1866915887850467
50	20170	100	4	67.5	192988532	1131704	0	511288	0	0	962639	5370	0	298	0	0	200	135	0.21961428571428582
50	20173	100	5	77.0	137199621	680252	0	308522	0	0	1076596	5102	0	89	0	0	200	154	0.20159748427672958
50	20171	150	0	43.5	101923666	544658	0	424566	0	0	1070385	5118	0	463	0	0	200	87	0.20806741573033702
50	20169	150	1	40.0	319891793	1845496	0	1137280	0	0	1388601	6570	0	1030	0	0	200	80	0.2396419753086421
50	20171	150	2	28.000000000000004	455863762	1722238	0	773451	0	0	1821627	5594	0	336	0	0	200	56	0.1986949152542373
50	20535	150	3	40.5	304431147	1642097	0	703081	0	0	2085906	7679	0	679	0	0	200	81	0.20703614457831324
50	20172	150	4	48.5	212331829	1252383	0	643270	0	0	1739729	8943	0	1788	0	0	200	97	0.22527722772277228
50	20160	150	5	48.5	205585198	874925	0	497941	0	0	1562346	6439	0	1462	0	0	200	97	0.19924038461538462
50	20751	200	0	42.0	214382870	1380961	0	745224	0	0	1106054	6058	0	413	0	0	200	84	0.17860465116279065
50	20152	200	1	26.5	335602101	1492420	0	947310	0	0	1811848	7022	0	1528	0	0	200	53	0.19141818181818185
50	20170	200	2	50.5	401235829	1457449	0	758981	0	0	1307114	5157	0	118	0	0	200	101	0.1981759259259258
50	20124	200	3	62.5	133608103	946581	0	456636	0	0	944603	5046	0	27	0	0	200	125	0.20276923076923078
50	20105	200	4	44.5	160117150	707590	0	620654	0	0	1153306	6104	0	2601	0	0	200	89	0.19098901098901105
50	20145	200	5	54.0	236426626	1756975	0	637541	0	0	1279255	6621	0	618	0	0	200	108	0.19963063063063066
50	20166	250	0	15.5	102428746	1016148	0	842469	0	0	1142109	6070	0	1072	0	0	200	31	0.17641935483870966
50	20176	250	1	27.500000000000004	526154926	2029333	0	929320	0	0	2114097	7545	0	1180	0	0	200	55	0.20642372881355936
50	20672	250	2	27.0	392193395	2334324	0	1030054	0	0	1410904	6820	0	699	0	0	200	54	0.1917636363636363
50	20164	250	3	35.0	181185084	897848	0	722024	0	0	1245859	6166	0	854	0	0	200	70	0.1968684210526316
50	20258	250	4	42.0	138856191	1023212	0	747441	0	0	1171786	6329	0	1045	0	0	200	84	0.19023863636363633
50	20182	250	5	50.0	82582357	735769	0	502890	0	0	1215063	6902	0	1570	0	0	200	100	0.20369523809523807
50	20332	300	0	30.0	264621808	1397567	0	819555	0	0	1239816	5212	0	371	0	0	200	60	0.18187096774193548
50	20158	300	1	39.0	366762851	1637622	0	1030940	0	0	1760909	8556	0	1946	0	0	200	78	0.20437037037037045
50	20174	300	2	53.5	183698297	1165183	0	921889	0	0	1335777	7845	0	1358	0	0	200	107	0.21627102803738313
50	20099	300	3	49.5	122098355	609234	0	515735	0	0	1071333	6655	0	1937	0	0	200	99	0.1988155339805825
50	20150	300	4	38.0	197698033	1063749	0	830437	0	0	913319	4541	0	99	0	0	200	76	0.19633333333333336
50	20720	300	5	34.5	311854768	1786028	0	854556	0	0	953888	5432	0	402	0	0	200	69	0.20979999999999996
50	20182	350	0	27.500000000000004	216023911	1589322	0	737924	0	0	1066240	6603	0	784	0	0	200	55	0.18815254237288137
50	20299	350	1	35.0	383178001	2521399	0	1154675	0	0	2342167	7756	0	739	0	0	200	70	0.18751428571428563
50	20295	350	2	46.5	227801532	1034732	0	734540	0	0	1044099	5450	0	425	0	0	200	93	0.21863157894736837
50	20119	350	3	61.5	183263408	1143292	0	649984	0	0	1120556	5295	0	35	0	0	200	123	0.2130390624999998
50	20169	350	4	59.0	56698080	452967	0	264109	0	0	924134	5025	0	127	0	0	200	118	0.18771428571428575
50	20170	350	5	57.49999999999999	104665075	874211	0	535658	0	0	1169549	7696	0	2953	0	0	200	115	0.17700854700854696
50	20503	400	0	51.0	318230741	1854107	0	850883	0	0	1187796	6362	0	544	0	0	200	102	0.19212621359223292
50	19948	400	1	84.0	207312339	1276325	0	742086	0	0	913474	5188	0	30	0	0	200	168	0.2021882352941176
50	20113	400	2	57.49999999999999	103731900	323242	0	181039	0	0	896675	4947	0	297	0	0	200	115	0.19570588235294112
50	20121	400	3	49.5	264127469	1535941	0	765524	0	0	1148838	6739	0	980	0	0	200	99	0.18065420560747658
