node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms
50	19547	50	0	97.0	33967806	399961	0	260557	0	0	2694878	24683	0	4480	0	0	200	194	1.1295721649484536
50	19185	50	1	98.0	39246394	286259	0	98200	0	0	2329130	17701	0	0	0	0	200	196	1.0553214285714283
50	20069	50	2	84.0	37864696	387890	0	103181	0	0	2815632	25686	0	4776	0	0	200	168	0.9603058823529415
50	20001	50	3	88.5	28509696	277968	0	62496	0	0	3148686	27949	0	46	0	0	200	177	1.1476723163841802
50	19435	50	4	99.0	35624992	265702	0	111441	0	0	1727826	15395	0	19	0	0	200	198	3.124449494949495
50	20044	50	5	96.5	40694272	401670	0	110547	0	0	2690658	23355	0	2745	0	0	200	193	1.1156528497409326
50	20070	100	0	71.0	80274470	1086279	0	479125	0	0	2348592	24100	0	3300	0	0	200	142	7.86420422535211
50	20089	100	1	89.0	95931080	1319470	0	580241	0	0	3245242	35571	0	9300	0	0	200	178	0.9958370786516851
50	20170	100	2	82.0	62660362	457245	0	155125	0	0	2282454	21229	0	4834	0	0	200	164	7.161689024390243
50	20633	100	3	73.0	57345932	710108	0	459372	0	0	2191310	22213	0	6778	0	0	200	146	1.6571799999999999
50	19937	100	4	88.0	90436176	1183628	0	471638	0	0	2713750	27119	0	2783	0	0	200	176	0.8026136363636364
50	20168	100	5	82.0	76638182	1024689	0	470819	0	0	2170212	21366	0	1880	0	0	200	164	0.7356463414634146
50	20175	150	0	71.0	85906400	961502	0	503966	0	0	2197114	23209	0	1030	0	0	200	142	0.7826830985915496
50	20126	150	1	81.0	114641302	1482137	0	653909	0	0	3307848	38184	0	26593	0	0	200	162	1.0825061728395065
50	20438	150	2	56.49999999999999	130623424	1827402	0	930683	0	0	2067946	21831	0	8710	0	0	200	113	0.7762743362831861
50	20176	150	3	75.5	112260772	1513742	0	758050	0	0	2814572	30870	0	19723	0	0	200	151	0.8843311258278144
50	20176	150	4	80.0	91511752	724176	0	269777	0	0	2200946	19735	0	1044	0	0	200	160	0.7976134969325152
50	20661	150	5	78.5	102623182	1076467	0	505166	0	0	2244440	21810	0	4453	0	0	200	157	0.7654713375796178
50	20177	200	0	80.5	89382238	1124645	0	521934	0	0	2652420	25876	0	6979	0	0	200	161	0.7138198757763973
50	20159	200	1	67.0	127325766	1490157	0	669942	0	0	2831640	32362	0	5426	0	0	200	134	0.7404518518518517
50	20597	200	2	91.5	127430486	1796721	0	1138769	0	0	2332634	25775	0	13935	0	0	200	183	5.324704918032786
50	20145	200	3	85.0	98955044	1275872	0	448524	0	0	2427066	26503	0	3417	0	0	200	170	0.6629058823529412
50	20090	200	4	93.5	91319588	1131836	0	532259	0	0	2846862	28065	0	8640	0	0	200	187	0.7578395721925135
50	20172	200	5	73.5	122126584	1112932	0	231449	0	0	2700624	28822	0	5006	0	0	200	147	0.7408707482993194
50	20173	250	0	55.00000000000001	103703578	1359945	0	893272	0	0	2363138	26909	0	10509	0	0	200	110	0.8724818181818177
50	20180	250	1	86.0	135368024	1741320	0	621750	0	0	2992080	34574	0	13634	0	0	200	172	0.8277499999999998
50	20173	250	2	78.0	130056006	1832687	0	909707	0	0	2235420	21960	0	5862	0	0	200	156	0.7704102564102561
50	20168	250	3	86.0	79870020	859420	0	397983	0	0	2277296	23648	0	4026	0	0	200	172	4.631197674418604
50	20180	250	4	67.5	57870568	721878	0	313559	0	0	2277280	22806	0	6237	0	0	200	135	0.7797720588235296
50	20129	250	5	71.5	95692506	1177831	0	455322	0	0	2679030	29303	0	16139	0	0	200	143	8.106699300699301
50	20159	300	0	77.0	156751966	1685935	0	519846	0	0	2538628	24186	0	1722	0	0	200	154	0.7673701298701295
50	20152	300	1	71.5	111150454	1605051	0	981944	0	0	2309818	25651	0	3110	0	0	200	143	3.9140000000000015
50	20045	300	2	92.0	99843784	1256214	0	776169	0	0	2611070	28077	0	5715	0	0	200	184	3.9091250000000004
50	20223	300	3	81.5	99833806	1285797	0	525398	0	0	1974988	19622	0	2448	0	0	200	163	0.6726196319018403
50	20179	300	4	85.0	108794400	1445124	0	695979	0	0	2165382	21575	0	8731	0	0	200	170	0.6964385964912281
50	20130	300	5	75.0	100782538	1090985	0	513098	0	0	1961318	19557	0	2438	0	0	200	150	0.7442781456953645
50	20159	350	0	88.0	84326390	1061217	0	549186	0	0	2654192	28238	0	5358	0	0	200	176	9.01724431818182
50	20158	350	1	57.49999999999999	100641338	1224481	0	759515	0	0	2396810	26863	0	2139	0	0	200	115	18.971147826086963
50	20137	350	2	69.5	137558298	1927639	0	1152246	0	0	2681450	29875	0	6694	0	0	200	139	7.3270359712230215
50	20265	350	3	88.0	97470926	1331757	0	818805	0	0	2344516	23772	0	5874	0	0	200	176	0.8843352272727274
50	20131	350	4	88.0	64356626	774765	0	152492	0	0	2639810	27513	0	5538	0	0	200	176	3.666971590909092
50	20033	350	5	90.0	90742604	1220464	0	602464	0	0	2364746	23161	0	4240	0	0	200	180	0.6954751381215472
50	20158	400	0	89.0	66569864	692320	0	284532	0	0	2554628	27688	0	5489	0	0	200	178	0.7232528089887638
50	19882	400	1	95.0	59919622	583427	0	291755	0	0	2566586	23275	0	2153	0	0	200	190	0.7365315789473683
50	19185	400	2	99.5	68364946	629083	0	319599	0	0	2432200	22344	0	569	0	0	200	199	0.7593065326633166
50	19696	400	3	96.0	52651054	546457	0	269328	0	0	2793446	28369	0	5155	0	0	200	192	0.7527604166666659
50	19999	400	4	89.5	105734558	1242135	0	484247	0	0	3203338	33891	0	5652	0	0	200	179	3.150407821229051
50	20130	400	5	82.5	78052008	998292	0	376500	0	0	3089220	32938	0	13408	0	0	200	165	0.7165393939393941
