node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms
50	20175	50	0	21.0	183962540	936442	0	390887	0	0	4872408	21193	0	409	0	0	200	42	64.41364285714288
50	20176	50	1	16.5	104489940	517641	0	191356	0	0	9009008	36038	0	21	0	0	200	33	61.841424242424246
50	20156	50	2	32.0	89786058	466821	0	171480	0	0	5737992	24869	0	10	0	0	200	64	61.76718750000001
50	20177	50	3	21.0	82960788	436067	0	195745	0	0	8809486	37611	0	9	0	0	200	42	74.92026190476189
50	20170	50	4	26.0	92299742	514861	0	176369	0	0	4178704	20218	0	14	0	0	200	52	17.98846153846154
50	20469	50	5	24.5	103553088	531956	0	171413	0	0	8836184	35952	0	2	0	0	200	49	46.68451020408162
50	20170	100	0	10.0	254628900	1413744	0	810851	0	0	5528490	24598	0	131	0	0	200	20	38.40650000000001
50	20174	100	1	6.0	123459736	727359	0	445104	0	0	6492016	29136	0	29	0	0	200	12	111.18833333333335
50	20170	100	2	4.5	182291900	1179732	0	454934	0	0	7509864	32814	0	59	0	0	200	9	48.0251111111111
50	20175	100	3	4.0	385796640	1854275	0	525687	0	0	8413014	35219	0	147	0	0	200	8	2.234375
50	20173	100	4	6.5	227173652	982622	0	388564	0	0	9877166	39853	0	60	0	0	200	13	59.150571428571425
50	20172	100	5	11.0	270624964	1240247	0	407909	0	0	7388538	30642	0	74	0	0	200	22	59.16899999999999
50	20172	150	0	3.5000000000000004	501854446	2477454	0	637636	0	0	6431528	26851	0	194	0	0	200	7	13.975714285714288
50	20174	150	1	3.5000000000000004	416879350	2066357	0	973095	0	0	5162774	22967	0	326	0	0	200	7	57.17642857142857
50	20173	150	2	3.0	425558042	2126102	0	744457	0	0	6605318	29284	0	161	0	0	200	6	21.304833333333335
50	20170	150	3	8.5	506714016	2638768	0	668430	0	0	9013790	37527	0	161	0	0	200	17	46.70217647058824
