node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms
50	20148	50	0	65.5	34956224	77480	0	58290	0	0	742442	2145	0	0	0	0	200	131	0.1754848484848485
50	20186	50	1	84.0	68632968	83064	0	29262	0	0	930352	3040	0	0	0	0	200	168	0.19468047337278108
50	20159	50	2	60.5	115310038	132417	0	81482	0	0	811644	2222	0	0	0	0	200	121	0.17186885245901637
50	20162	50	3	88.0	28519302	41593	0	4729	0	0	855206	3311	0	0	0	0	200	176	0.19506250000000003
50	20184	50	4	59.0	18355288	53900	0	16466	0	0	601286	1955	0	0	0	0	200	118	0.1452500000000001
50	20320	50	5	53.0	9194476	57408	0	13120	0	0	618840	2132	0	0	0	0	200	106	0.17655140186915885
50	20849	100	0	21.5	86249592	96784	0	37543	0	0	536866	1835	0	0	0	0	200	43	0.18109302325581397
50	20185	100	1	38.0	113887020	178454	0	116033	0	0	568548	2044	0	0	0	0	200	76	0.19432051282051285
50	20179	100	2	29.5	140482002	220885	0	84015	0	0	696660	2762	0	288	0	0	200	59	0.16796721311475415
50	20184	100	3	16.0	232585504	218454	0	99580	0	0	559852	1540	0	0	0	0	200	32	0.14384375000000002
50	20514	100	4	39.0	129532530	424683	0	137251	0	0	634532	2776	0	411	0	0	200	78	0.155873417721519
50	20177	100	5	42.0	203140724	256394	0	74203	0	0	536228	1728	0	0	0	0	200	84	0.16740697674418603
50	20185	150	0	11.5	212020240	242154	0	126214	0	0	513978	1383	0	0	0	0	200	23	0.16491304347826088
50	20283	150	1	13.0	290029482	501589	0	287472	0	0	764608	3014	0	1080	0	0	200	26	0.17973076923076928
50	20183	150	2	15.5	179169446	281237	0	161274	0	0	561642	1755	0	26	0	0	200	31	0.19871875
50	20182	150	3	12.0	132428942	247281	0	117107	0	0	685058	2829	0	607	0	0	200	24	0.16445833333333335
50	20182	150	4	12.5	101257714	184985	0	100113	0	0	571914	1541	0	0	0	0	200	25	0.15780000000000005
50	20403	150	5	31.0	111232984	406978	0	191857	0	0	652468	2686	0	454	0	0	200	62	0.17306060606060605
50	20181	200	0	24.5	182944810	290055	0	139769	0	0	683294	2505	0	487	0	0	200	49	0.18336
50	20168	200	1	11.5	123582372	154148	0	127281	0	0	576280	1386	0	0	0	0	200	23	0.16365217391304346
50	20475	200	2	17.5	167249290	229513	0	182372	0	0	573318	1647	0	79	0	0	200	35	0.15243243243243246
50	20164	200	3	30.5	147652200	237608	0	145824	0	0	569986	1871	0	0	0	0	200	61	0.18477419354838714
50	20185	200	4	28.499999999999996	145505264	215072	0	169535	0	0	590824	1758	0	0	0	0	200	57	0.1556315789473684
50	20416	200	5	17.0	122590126	200867	0	92284	0	0	567788	1494	0	0	0	0	200	34	0.15465714285714283
50	20178	250	0	15.5	333458948	367820	0	215595	0	0	537208	1480	0	0	0	0	200	31	0.17590625000000001
50	20305	250	1	10.5	151973760	265664	0	164665	0	0	575440	1390	0	0	0	0	200	21	0.13163636363636366
50	20188	250	2	15.0	209792782	220475	0	96282	0	0	566440	1382	0	0	0	0	200	30	0.15446666666666667
50	20893	250	3	17.5	121110368	126508	0	65617	0	0	588262	1621	0	0	0	0	200	35	0.1468205128205128
50	20676	250	4	18.0	92890002	228465	0	176526	0	0	606902	2673	0	1055	0	0	200	36	0.14377777777777778
50	20170	250	5	12.0	142792998	174659	0	103456	0	0	520240	1526	0	102	0	0	200	24	0.1426666666666667
50	20157	300	0	29.5	229514548	339318	0	211316	0	0	563694	1667	0	0	0	0	200	59	0.16325000000000003
50	20171	300	1	16.0	193844524	240190	0	188245	0	0	567398	1447	0	0	0	0	200	32	0.18754545454545457
50	20185	300	2	28.000000000000004	185352102	284807	0	190888	0	0	539458	1733	0	0	0	0	200	56	0.18817543859649116
50	20275	300	3	18.0	134539792	183602	0	140080	0	0	525500	1524	0	29	0	0	200	36	0.17229729729729729
50	20179	300	4	42.5	201688758	197439	0	105805	0	0	569256	1800	0	0	0	0	200	85	0.18405747126436792
50	20183	300	5	22.0	127750730	210525	0	132363	0	0	585254	1871	0	0	0	0	200	44	0.19980851063829788
50	20811	350	0	15.0	134107278	120471	0	61688	0	0	564628	1500	0	0	0	0	200	30	0.14763333333333334
50	20610	350	1	16.5	156298348	395222	0	117051	0	0	555706	1817	0	5	0	0	200	33	0.16872727272727275
50	20183	350	2	12.0	117906774	104597	0	82316	0	0	534452	1404	0	0	0	0	200	24	0.17031999999999997
50	20204	350	3	22.5	99126726	108641	0	65415	0	0	525514	1599	0	0	0	0	200	45	0.1787446808510639
50	20183	350	4	49.5	120664566	213791	0	67164	0	0	559578	1947	0	0	0	0	200	99	0.17657
50	20172	350	5	24.0	106520964	148752	0	67163	0	0	541808	1484	0	0	0	0	200	48	0.15110416666666668
50	20174	400	0	33.5	51942654	77911	0	26929	0	0	559190	1781	0	0	0	0	200	67	0.17242647058823532
50	20333	400	1	47.0	214826736	313020	0	153190	0	0	627400	2036	0	0	0	0	200	94	0.17126530612244895
50	20158	400	2	26.5	55476962	64769	0	11484	0	0	589024	1778	0	0	0	0	200	53	0.15845454545454543
50	20137	400	3	39.5	98300954	156845	0	113402	0	0	549550	1827	0	0	0	0	200	79	0.15838271604938275
50	20474	400	4	18.5	157704008	293532	0	190503	0	0	596836	1522	0	0	0	0	200	37	0.16373684210526315
50	20179	400	5	29.5	64081098	80521	0	81779	0	0	587728	1696	0	0	0	0	200	59	0.14061016949152544
