node_count	time_ms	step_distance_m	n	packets_arrived_pc	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms
50	20173	50	0	17.0	65834038	707625	0	617161	0	0	1358975	10141	0	3681	0	0	200	34	5.772823529411764
50	20155	50	1	69.5	58237306	493047	0	178220	0	0	3318750	16919	0	1774	0	0	200	139	6.312978417266186
50	20179	50	2	28.999999999999996	64936738	397668	0	411934	0	0	1610881	8788	0	1270	0	0	200	58	4.049327586206896
50	20178	50	3	34.0	50073641	380896	0	244555	0	0	2338785	13691	0	2569	0	0	200	68	4.754955882352941
50	20182	50	4	9.5	59034140	438711	0	225604	0	0	1543520	8712	0	2423	0	0	200	19	2.7979473684210525
50	20164	50	5	45.0	82871684	705063	0	145873	0	0	3193759	17163	0	625	0	0	200	90	4.9484222222222245
50	20179	100	0	0.0	292749965	2852973	0	1328821	0	0	3277674	26572	0	11642	0	0	200	0	0.0
50	20176	100	1	19.5	301383807	2745613	0	1138946	0	0	3740548	19298	0	2250	0	0	200	39	5.511974358974359
50	20177	100	2	3.0	168152348	1314803	0	585094	0	0	2528411	14034	0	1878	0	0	200	6	6.5
50	20180	100	3	22.5	411339626	3723256	0	1341334	0	0	4276853	20867	0	1444	0	0	200	45	5.707422222222224
50	20144	100	4	93.5	256236950	1958239	0	951722	0	0	6429687	32062	0	4462	0	0	200	187	6.110759358288769
50	20177	100	5	5.0	259532437	2222349	0	941665	0	0	1949602	11528	0	1174	0	0	200	10	3.178
50	20162	150	0	12.0	551657005	4798292	0	1850842	0	0	5129533	29011	0	6464	0	0	200	24	4.963708333333333
50	20369	150	1	17.5	523870804	4123021	0	1652554	0	0	5141234	29049	0	5009	0	0	200	35	5.792714285714286
50	20172	150	2	3.5000000000000004	487314988	4604008	0	1635161	0	0	3619564	22385	0	3152	0	0	200	7	3.554142857142857
50	20178	150	3	8.0	425603117	3592557	0	1537208	0	0	3956148	24307	0	3852	0	0	200	16	5.021812499999999
50	20180	150	4	15.0	244150045	1668972	0	901808	0	0	3812042	19475	0	2393	0	0	200	30	5.130699999999999
50	20182	150	5	8.5	264851528	2382341	0	1359009	0	0	3378780	18072	0	3776	0	0	200	17	5.132176470588235
50	20178	200	0	2.5	303568719	2160161	0	733797	0	0	3789786	21041	0	4532	0	0	200	5	5.139
50	20169	200	1	22.0	442134653	3488986	0	1612347	0	0	5444733	31241	0	6829	0	0	200	44	6.084704545454545
50	20400	200	2	9.0	303616407	3007776	0	1719167	0	0	2779742	16602	0	2321	0	0	200	18	4.646055555555557
50	20101	200	3	68.5	387230374	3302827	0	1617170	0	0	6587271	28884	0	911	0	0	200	137	5.531890510948905
50	20165	200	4	95.5	450160857	4175313	0	1304300	0	0	6476696	34720	0	3775	0	0	200	191	5.529717277486913
50	20176	200	5	4.0	244200823	1900095	0	891309	0	0	3255688	17568	0	5074	0	0	200	8	6.25525
50	20184	250	0	11.0	425870378	3778887	0	1972725	0	0	4584346	28334	0	7533	0	0	200	22	5.5307272727272725
50	20174	250	1	6.5	458613941	3657940	0	1456706	0	0	4522673	25043	0	4816	0	0	200	13	6.176846153846155
50	20622	250	2	12.5	573057159	4935694	0	1439072	0	0	5718795	33325	0	5625	0	0	200	25	6.11992
50	20177	250	3	12.0	278528785	2442538	0	1618583	0	0	4300992	24960	0	7702	0	0	200	24	5.0945833333333335
50	20176	250	4	2.0	261292625	2570221	0	1333234	0	0	2510293	14337	0	2550	0	0	200	4	5.984500000000001
50	20170	250	5	40.0	284381447	2663804	0	1204147	0	0	5146702	26961	0	4281	0	0	200	80	5.922562499999999
50	20686	300	0	14.000000000000002	521017686	4620072	0	1376753	0	0	6529986	31734	0	1972	0	0	200	28	6.059357142857142
50	20095	300	1	51.5	571804323	5120993	0	2054613	0	0	6850459	30871	0	3245	0	0	200	103	5.4284077669902935
50	20180	300	2	9.0	390238384	3378609	0	2050037	0	0	3851002	20066	0	5117	0	0	200	18	4.762388888888889
50	20173	300	3	12.5	348375548	2954384	0	1620977	0	0	3439355	18896	0	2223	0	0	200	25	4.8555600000000005
50	20149	300	4	79.5	365467071	2536250	0	1298907	0	0	7476262	37154	0	6077	0	0	200	159	5.811031446540882
50	20183	300	5	0.0	330699070	2828024	0	1603979	0	0	2905100	17473	0	5057	0	0	200	0	0.0
50	20177	350	0	18.5	457267867	4085971	0	1347554	0	0	5145925	27487	0	2393	0	0	200	37	5.227054054054052
50	20762	350	1	6.5	489898746	4415761	0	1615313	0	0	4617475	24468	0	2911	0	0	200	13	5.852076923076923
50	20131	350	2	70.0	490370926	3151636	0	1447078	0	0	7860975	35922	0	4128	0	0	200	140	6.077707142857141
50	20180	350	3	8.0	255601295	2391803	0	1344595	0	0	2409762	15127	0	5131	0	0	200	16	4.306374999999999
50	20179	350	4	63.5	244213426	1717803	0	689922	0	0	6931635	30216	0	2275	0	0	200	127	5.818511811023624
50	20173	350	5	5.5	250145974	2206971	0	866194	0	0	4143462	20936	0	3686	0	0	200	11	4.0012727272727275
50	20165	400	0	67.5	347288427	2448470	0	849042	0	0	7451166	33579	0	2897	0	0	200	135	6.29916296296296
50	20171	400	1	19.0	371740528	3513127	0	1059007	0	0	5060621	25938	0	2015	0	0	200	38	4.62121052631579
50	20175	400	2	3.5000000000000004	276963820	2598443	0	1057818	0	0	2331727	14071	0	2141	0	0	200	7	4.243285714285714
50	20179	400	3	15.0	298464196	2730089	0	1420594	0	0	4123126	22867	0	3624	0	0	200	30	4.8018333333333345
50	20170	400	4	25.5	245786110	2365762	0	1321115	0	0	4123590	21642	0	2768	0	0	200	51	5.964235294117649
50	20175	400	5	1.0	234696181	2069910	0	1102190	0	0	2994886	15388	0	1993	0	0	200	2	5.6805
