station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	150.246	20	20	1.3091
6	90	300	300.498	20	20	1.07105
6	90	600	450.737	20	20	1.0741999999999998
6	90	900	600.991	20	20	1.0186000000000002
6	90	1200	751.242	20	20	0.8751
6	90	1500	901.491	20	20	0.8870000000000001
6	90	1800	1051.734	20	20	0.9882000000000002
6	90	2100	1201.986	20	20	0.9938000000000002
6	90	2400	1352.226	20	20	0.9609999999999997
6	90	2700	1502.469	20	20	1.0512499999999998
6	90	3000	1652.71	20	20	1.04115
6	90	3300	1802.962	20	20	1.02705
6	90	3600	1953.207	20	20	1.0841999999999998
6	90	3900	2103.467	20	20	1.0482500000000001
6	90	4200	2253.715	20	20	1.0678999999999998
6	90	4500	2403.955	20	20	1.0489000000000002
6	90	4800	2554.206	20	20	0.9954499999999997
6	90	5100	2704.458	20	20	1.0281500000000001
6	90	5400	2854.701	20	20	1.1130999999999998
6	90	5700	3004.951	20	20	1.2077000000000002
6	90	6000	3155.19	20	20	1.1034000000000002
6	90	6300	3305.442	20	20	1.1069
6	90	6600	3455.683	20	20	1.0105499999999998
6	90	6900	3605.93	20	20	0.9128999999999999
