station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	151.02	20	11	22.53172727272727
6	90	300	302.063	20	10	11.595900000000002
6	90	600	453.286	20	7	4.639
6	90	900	604.473	20	9	16.107555555555557
6	90	1200	755.651	20	12	16.708833333333335
6	90	1500	906.873	20	10	9.0457
6	90	1800	1058.02	20	8	11.750875
6	90	2100	1209.347	20	7	16.177142857142858
6	90	2400	1360.482	20	10	18.8632
6	90	2700	1511.686	20	8	19.416
6	90	3000	1662.919	20	9	5.751444444444443
6	90	3300	1814.243	20	4	8.46575
6	90	3600	1965.474	20	7	17.924285714285713
6	90	3900	2116.695	20	7	21.470428571428567
6	90	4200	2267.925	20	10	24.055799999999998
6	90	4500	2419.251	20	7	31.03471428571429
6	90	4800	2570.574	20	7	30.390428571428572
6	90	5100	2721.789	20	6	14.39
6	90	5400	2872.938	20	5	14.140600000000001
6	90	5700	3024.17	20	9	56.82922222222222
6	90	6000	3175.392	20	7	3.010142857142857
6	90	6300	3326.616	20	5	24.4482
6	90	6600	3477.837	20	6	19.246666666666666
6	90	6900	3628.917	20	10	11.921499999999998
