station_count	satellite_count	sim_time_sec	real_time_sec	packets_send	packets_received	rtt_avg_ms
6	90	0	150.247	20	20	0.3355
6	90	300	300.562	20	20	0.27740000000000004
6	90	600	450.899	20	20	0.25499999999999995
6	90	900	601.235	20	20	0.23359999999999997
6	90	1200	751.571	20	20	0.22355
6	90	1500	901.896	20	20	0.21979999999999994
6	90	1800	1052.23	20	20	0.19584999999999997
6	90	2100	1202.57	20	20	0.22819999999999996
6	90	2400	1352.907	20	20	0.19979999999999998
6	90	2700	1503.22	20	20	0.2097
6	90	3000	1653.554	20	20	0.22795
6	90	3300	1803.89	20	20	0.23830000000000004
6	90	3600	1954.228	20	20	0.24170000000000008
6	90	3900	2104.565	20	20	0.22835
6	90	4200	2254.838	20	20	0.23435000000000006
6	90	4500	2405.175	20	20	0.22030000000000002
6	90	4800	2555.496	20	20	0.24754999999999994
6	90	5100	2705.767	20	20	0.24369999999999997
6	90	5400	2856.066	20	20	0.25139999999999996
6	90	5700	3006.403	20	20	0.23825
6	90	6000	3156.683	20	20	0.23905000000000004
6	90	6300	3307.019	20	20	0.22835
6	90	6600	3457.355	20	20	0.23045000000000004
6	90	6900	3607.621	20	20	0.22374999999999998
