node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1586	300628	6852866	21181	0	0	0	0	1985288	6084	0	0	0	0	49	49	0.26967346938775505	0.04	1.48	2.52
64	1749	300813	11283252	28888	0	0	0	0	3212906	8133	0	0	0	0	64	64	0.287671875	0.01	0.34	0.39
81	1942	301018	17582902	37339	0	0	0	0	4930350	10375	0	0	0	0	81	81	0.3064938271604939	0.32	0.61	0.8
100	2152	301261	26686372	54625	0	0	0	0	7395810	14983	0	0	0	0	100	100	0.3326200000000001	0.18	1.06	0.94
121	2416	301517	38416796	68330	0	0	0	0	10546256	18574	0	0	0	0	121	121	0.38510743801652886	0.18	1.27	1.4
144	2646	301819	53981868	91735	0	0	0	0	14711302	24755	0	0	0	0	144	144	0.4096527777777778	0.13	1.5	2.21
169	2930	302111	73623804	110168	0	0	0	0	19910762	29560	0	0	0	0	169	169	0.4403076923076922	0.26	2.35	5.09
196	3241	302505	99518731	144029	0	0	0	0	26758132	38484	0	0	0	0	196	196	0.4617551020408158	0.22	2.63	6.2
225	3560	302796	130322375	185690	0	0	0	0	34866384	49353	0	0	0	0	225	225	0.5184533333333327	0.13	2.83	7.46
256	3907	303205	167150938	212455	0	0	0	0	44545481	56277	0	0	0	0	256	256	0.5440859375000002	0.1	3.33	9.21
289	4292	303689	213792051	264963	0	0	0	0	56732508	69905	0	0	0	0	289	289	0.5919134948096889	0.45	3.41	8.67
324	4700	304275	268432674	325525	0	0	0	0	70990968	85638	0	0	0	0	324	324	0.622990740740741	0.34	3.62	7.58
361	5154	304901	333985106	390533	0	0	0	0	88068115	102466	0	0	0	0	361	361	0.6217894736842101	0.35	6.02	14.07
400	5669	305664	411662005	469363	0	0	0	0	108225097	122873	0	0	0	0	400	400	0.6660400000000002	0.66	5.58	14.54
441	6257	306495	499206846	550888	0	0	0	0	131002680	143909	0	0	0	0	441	441	0.6683650793650789	0.26	5.77	14.66
484	6902	307629	603967907	650577	0	0	0	0	158184627	169680	0	0	0	0	484	484	0.7485805785123962	0.18	6.74	11.77
529	7474	308756	721714292	752177	0	0	0	0	188526674	195759	0	0	0	0	529	529	0.7179565217391306	0.29	8.73	15.51
576	8099	310063	861792269	877408	0	0	0	0	224719244	228068	0	0	0	0	576	576	0.7961163194444437	0.32	8.61	17.29
625	8875	311450	1013924330	999513	0	0	0	0	263903922	259301	0	0	0	0	625	625	0.8501760000000009	1.05	10.72	22.08
676	9580	313454	1191887278	1146491	0	0	0	0	309774908	297092	0	0	0	0	676	676	0.9164541420118345	2.27	13.4	29.82
729	10468	315937	1397447177	1308087	0	0	0	0	362758055	338597	0	0	0	0	729	729	1.1302235939643364	1.2	21.21	50.24
784	11406	319433	1634893241	1548543	0	0	0	0	423715309	400360	0	0	0	0	784	784	1.0930497448979606	1.08	27.89	67.66
841	12640	324061	1914541664	1869477	0	0	0	0	495442065	481945	0	0	0	0	841	841	1.633675386444709	1.27	36.05	84.76
900	23566	402246	3874227223	4106534	0	0	0	0	999121987	1060056	0	0	0	0	900	5	0.24059999999999998	838.82	649.48	422.54
