node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1605	300660	4217796	13512	0	0	0	0	2045888	6016	0	0	0	0	50	50	0.23653999999999997	0.14	87.1	276.8
100	2170	301287	14874904	32819	0	0	0	0	7243813	14300	0	0	0	0	100	100	0.3112400000000001	0.01	0.44	12.37
150	2740	301937	32065524	57416	0	0	0	0	15735202	24931	0	0	0	0	150	150	0.35538666666666674	0.29	1.14	1.45
200	3309	302557	55802668	83450	0	0	0	0	27368750	36487	0	0	0	0	200	200	0.37742000000000003	0.09	1.51	3.02
250	3885	303221	85715584	114956	0	0	0	0	42252384	50844	0	0	0	0	250	250	0.4078360000000001	0.41	2.55	7.56
300	4456	303868	122514512	153503	0	0	0	0	60373222	67577	0	0	0	0	300	300	0.44220333333333317	0.23	3.27	8.66
350	5076	304672	166174480	205625	0	0	0	0	82163194	92554	0	0	0	0	350	350	0.47776285714285743	0.19	3.78	12.44
400	5647	305644	216877522	253675	0	0	0	0	107017541	113580	0	0	0	0	400	400	0.5080400000000004	0.38	2.87	4.04
450	6289	306697	274006406	306415	0	0	0	0	135237964	136322	0	0	0	0	450	450	0.5404955555555553	0.38	3.62	4.28
500	7099	307801	335154876	357699	0	0	0	0	166140939	161369	0	0	0	0	500	500	0.5406679999999999	0.25	8.27	9.08
550	7837	309160	408476808	421686	0	0	0	0	202079986	189745	0	0	0	0	550	550	0.5221236363636365	0.47	10.03	11.24
600	8550	310596	485377924	486816	0	0	0	0	240055152	218715	0	0	0	0	600	600	0.5421166666666671	0.5	11.14	12.47
650	9250	312153	573840147	575484	0	0	0	0	284470584	265016	0	0	0	0	650	650	0.551264615384616	1.04	7.64	10.64
700	10037	313672	666401355	653109	0	0	0	0	330272709	300166	0	0	0	0	700	700	0.5936342857142859	0.32	8.74	11.0
750	10822	315986	768898140	739150	0	0	0	0	382192016	340498	0	0	0	0	750	750	0.6345866666666674	3.85	11.64	13.67
800	11777	318820	882311177	819680	0	0	0	0	438183152	379704	0	0	0	0	800	800	0.5972487499999996	1.85	14.95	18.51
850	12987	322338	1005847486	921754	0	0	0	0	498582318	424086	0	0	0	0	850	850	0.6212811764705886	3.59	17.5	20.47
900	16954	326700	1142552281	1026670	0	0	0	0	567251719	475363	0	0	0	0	900	900	0.6569255555555565	1.73	20.53	25.81
950	39084	334494	1303094577	1186907	0	0	0	0	646647151	551548	0	0	0	0	950	950	0.6582421052631577	0.69	23.42	32.39
1000	49753	396885	2392889824	2515784	0	0	0	0	1100271692	1164125	0	0	0	0	1000	139	0.32012230215827336	396.66	355.15	210.42
