node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1593	300627	133488418	706073	0	0	0	0	38886416	204984	0	0	0	0	49	49	0.5214897959183674	0.14	0.49	1.72
64	1759	300809	227644466	1030403	0	0	0	0	64946506	293251	0	0	0	0	64	64	0.65221875	0.04	0.2	0.31
81	1960	301012	366087204	1438530	0	0	0	0	102817370	403205	0	0	0	0	81	81	0.8476543209876543	0.05	0.22	0.55
100	2172	301247	558116466	1950673	0	0	0	0	154775854	540201	0	0	0	0	100	100	1.11585	0.12	0.37	0.65
121	2418	301519	815319760	2588000	0	0	0	0	223842084	709786	0	0	0	0	121	121	1.5338595041322316	0.5	0.74	1.11
144	2717	301779	1148084088	3372686	0	0	0	0	312600336	917506	0	0	0	0	144	144	2.0828958333333345	0.68	0.91	1.7
169	3000	302108	1340150730	3872433	0	0	0	0	362317400	1046736	0	0	0	0	169	169	2.851502958579881	1.1	1.44	3.76
196	3363	302428	1028835840	3460110	0	0	0	0	276331376	930562	0	0	0	0	196	196	4.363892857142858	1.0	1.6	4.57
225	3753	302811	869245092	3401372	0	0	0	0	232100754	910239	0	0	0	0	225	224	5.2405044642857135	1.31	1.75	5.44
256	4192	303229	692588328	3327582	0	0	0	0	183760636	885922	0	0	0	0	256	248	7.164020161290321	1.14	1.77	6.57
289	4706	303696	567501830	3332831	0	0	0	0	149704282	883507	0	0	0	0	289	268	8.939813432835814	1.11	1.78	6.17
324	5204	304249	459753976	3263510	0	0	0	0	120402670	858989	0	0	0	0	324	254	11.205649606299215	1.37	1.94	5.49
361	5692	305106	420409254	3409247	0	0	0	0	109707580	894012	0	497	0	0	361	257	11.469202334630346	1.1	2.6	9.84
400	6410	305655	369820608	3330064	0	0	0	0	96094566	869227	0	646	0	0	400	254	12.969452755905511	2.83	2.91	10.29
441	7100	306545	337154882	3270955	0	0	0	0	87329548	850804	0	2001	0	0	441	223	12.931865470852019	1.05	2.55	10.24
