node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1615	300660	81868290	421331	0	0	0	0	41476528	204784	0	0	0	0	50	50	0.57032	0.07	26.14	187.84
100	2186	301286	322471636	1124596	0	0	0	0	162119520	545130	0	0	0	0	100	100	0.9819500000000007	0.09	0.26	8.44
150	2767	301908	722003060	2117064	0	0	0	0	362158360	1029436	0	0	0	0	150	150	1.7761466666666668	0.6	0.64	1.1
200	3400	302554	1278158984	3368100	0	0	0	0	640551680	1639554	0	0	0	0	200	200	2.55927	0.71	0.98	2.28
250	4050	303248	1469810154	3877895	0	0	0	0	735890224	1902558	0	0	0	0	250	250	3.8444479999999985	1.38	1.63	5.49
300	4754	303913	972284132	3122828	0	0	0	0	484605424	1527890	0	0	0	0	300	300	6.598143333333339	1.24	1.78	6.18
350	5539	304695	759805030	2967789	0	29	0	0	372700400	1426514	0	8224	0	0	350	335	8.861149253731345	1.33	2.0	8.75
400	6294	305664	593732674	2856037	0	0	0	0	283847820	1339962	0	3602	0	0	400	355	11.169495774647885	1.12	1.81	3.19
450	7133	306884	501173870	2825683	0	36	0	0	229813302	1274033	0	29546	0	0	450	353	14.077654390934843	1.28	2.03	3.34
500	8090	308557	440789704	2868888	0	0	0	0	192356440	1246204	0	36647	0	0	500	330	15.00380909090909	1.26	5.16	7.93
550	9101	309817	396428230	2692457	0	86	0	0	163919358	1120359	0	73872	0	0	550	266	16.074860902255633	4.68	7.12	10.16
