node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	2326	300631	161016568	792653	0	0	0	0	46802311	230024	0	0	0	0	49	49	0.5059999999999999	0.07	0.16	0.85
64	2756	300812	269094712	1146904	0	0	0	0	76678094	326423	0	0	0	0	64	64	0.6645156249999999	0.1	0.16	0.23
81	3271	301014	423300467	1566509	0	0	0	0	118771027	439216	0	0	0	0	81	81	0.9538024691358025	0.18	0.31	0.42
100	3364	301258	639910275	2116896	0	0	0	0	177362545	586433	0	0	0	0	100	100	1.3038699999999996	0.32	0.45	0.58
121	4006	301477	923823723	2789197	0	0	0	0	253510059	765039	0	0	0	0	121	121	1.6880413223140496	1.23	0.9	0.94
144	4631	301788	1289524535	3630485	0	0	0	0	350935269	987738	0	0	0	0	144	144	2.370618055555555	0.98	1.16	1.43
169	4995	302101	1524074365	4185948	0	0	0	0	411876862	1131667	0	0	0	0	169	169	2.973023668639052	1.54	1.54	2.53
196	5888	302433	1281268529	3866744	0	0	0	0	344279380	1040407	0	0	0	0	196	196	4.451826530612245	1.41	1.48	2.86
225	6652	302800	1169739950	3819802	0	0	0	0	312448643	1022012	0	0	0	0	225	225	6.0992222222222185	2.36	2.04	3.55
256	7797	303190	1086125372	3806157	0	0	0	0	289445921	1016636	0	291	0	0	256	255	8.246078431372554	1.39	1.75	3.93
289	8672	303735	1039190696	3732810	0	0	0	0	275599839	992379	0	2127	0	0	289	282	10.153223404255316	1.82	3.06	5.38
324	8936	304305	1093219778	3780284	0	0	0	0	288985445	999881	0	1806	0	0	324	315	12.080695238095226	3.7	4.16	6.31
361	10111	305081	1241546537	3858617	0	0	0	0	327336203	1017217	0	3536	0	0	361	338	14.97527218934912	1.96	4.34	8.93
400	11535	305835	1434570879	3948683	0	0	0	0	377018235	1037147	0	2433	0	0	400	366	18.44340710382514	2.83	5.93	10.7
441	12915	307161	1730451125	4221806	0	0	0	0	453443627	1104653	0	376	0	0	441	354	18.65483050847458	3.95	8.94	14.14
484	13253	307854	1840711657	2155418	0	0	0	0	481701885	563720	0	0	0	0	484	478	0.8163493723849373	6.12	10.44	17.26
529	14628	309041	2270151783	2588804	0	0	0	0	592845286	675756	0	0	0	0	529	520	0.8642096153846157	3.08	11.64	21.3
576	16132	310301	2809097492	3138734	0	0	0	0	731877550	817445	0	0	0	0	576	569	0.9117820738137088	5.75	17.84	28.84
625	18047	312237	3361817753	3712217	0	0	0	0	874576407	965403	0	0	0	0	625	612	0.9612173202614382	7.28	25.06	42.21
676	20349	314137	4041305639	4366809	0	0	0	0	1049336689	1133581	0	0	0	0	676	659	0.9967344461305007	8.08	51.77	76.16
729	22592	316379	4861087145	5191127	0	0	0	0	1260004969	1345282	0	0	0	0	729	703	1.106830725462304	8.76	74.15	108.5
784	26489	320135	5926304433	6234603	0	0	0	0	1534192331	1613868	0	0	0	0	784	741	1.5759365721997298	14.02	97.6	140.24
841	28332	340801	6115282437	6164798	0	0	0	0	1582751014	1598283	0	0	0	0	841	672	1.6764285714285707	358.73	383.09	291.64
900	34093	412292	10299997742	9967903	0	0	0	0	2663187004	2583983	0	0	0	0	900	571	1.3607258347978919	563.91	532.25	488.68
961	50424	434486	10795138456	10428753	0	0	0	0	2798408382	2709227	0	0	0	0	961	512	1.4469882121807456	662.57	592.81	507.99
