node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	2332	300658	96450492	468217	0	0	0	0	48155113	228553	0	0	0	0	50	50	0.45043999999999995	0.09	2.57	86.2
100	3457	301263	364670847	1228569	0	0	0	0	181657882	597666	0	0	0	0	100	100	1.0660599999999996	0.27	0.15	3.88
150	4708	301909	799396705	2268317	0	0	0	0	398308103	1104991	0	0	0	0	150	150	1.844380000000001	0.79	0.67	0.84
200	6083	302492	1408246131	3606243	0	0	0	0	701277836	1757409	0	0	0	0	200	200	2.868805	1.42	1.3	1.73
250	7054	303179	1645890946	4161272	0	0	0	0	819695843	2045610	0	0	0	0	250	250	3.890044000000001	1.56	1.53	3.35
300	8236	303902	1268624255	3555623	0	0	0	0	628096705	1745335	0	2992	0	0	300	300	6.82162666666667	1.76	1.88	3.81
350	9804	304791	1183295397	3425884	0	0	0	0	577244537	1669836	0	2280	0	0	350	350	9.365711428571426	2.25	2.33	5.17
400	11275	305852	1136973485	3344368	0	0	0	0	551608074	1622873	0	9750	0	0	400	400	12.337150000000008	2.23	2.5	2.84
450	13026	307115	1257351322	3435255	0	0	0	0	594160907	1640332	0	14209	0	0	450	449	16.22964587973274	2.79	2.77	3.0
500	14310	308920	1360884020	3432343	0	0	0	0	644669943	1629948	0	25247	0	0	500	499	18.66567935871744	2.78	5.0	6.54
550	16717	310871	1575690401	3578017	0	0	0	0	739498290	1680717	0	26166	0	0	550	531	22.9520018832392	4.46	4.8	7.36
600	16530	311678	1556782250	1774768	0	0	0	0	721402205	811600	0	0	0	0	600	567	0.6655749559082895	3.77	7.57	11.59
650	18163	314114	1975852602	2191000	0	0	0	0	893321451	987752	0	0	0	0	650	572	0.6204248251748246	4.72	5.49	8.89
700	21363	316246	2217909984	2441857	0	0	0	0	1025873860	1117526	0	0	0	0	700	657	0.6426438356164381	6.06	6.33	9.31
750	24686	320240	2638832677	2859749	0	0	0	0	1199368772	1290785	0	0	0	0	750	673	0.6810208023774145	5.87	7.49	11.72
800	28454	321735	2986299783	3197989	0	0	0	0	1360985146	1443554	0	0	0	0	800	722	0.6457382271468152	11.05	10.54	15.79
850	33777	325921	3346472633	3569516	0	0	0	0	1505617599	1593328	0	0	0	0	850	738	0.743150406504066	10.3	11.65	17.91
900	36530	326471	3837145611	4004450	0	0	0	0	1743463125	1802471	0	0	0	0	900	802	0.7380087281795515	16.45	18.74	25.45
950	39993	331683	4483382222	4618082	0	0	0	0	2002341452	2048500	0	0	0	0	950	826	0.7927046004842622	70.6	44.06	40.44
1000	43113	335133	5063692631	5187120	0	0	0	0	2251120113	2291440	0	0	0	0	1000	860	0.8498211382113824	76.19	74.17	113.93
1050	46512	337822	4036542770	4198579	0	0	0	0	1732111315	1807308	0	0	0	0	1050	604	1.1152168874172177	47.88	40.78	56.89
