node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1971	300617	1631278678	5970674	0	0	0	0	444855278	1633151	0	0	0	0	49	49	0.45606122448979586	0.45	0.25	0.65
64	2330	300800	2979820970	10447757	0	0	0	0	798947304	2807113	0	0	0	0	64	64	0.5186250000000001	1.82	2.81	1.63
81	2612	301000	5590128236	18970191	0	0	0	0	1483793310	5039838	0	0	0	0	81	80	0.9178499999999999	0.74	0.62	0.54
100	2911	301213	10750359108	35411784	0	274	0	0	2822613264	9299224	0	147	0	0	100	99	2.878646464646464	1.23	1.87	1.36
121	3404	301475	20956943138	67395784	0	7280	0	0	5469544228	17593082	0	697	0	0	121	121	5.765223140495869	2.52	5.72	3.6
144	5464	304178	41701693056	131844287	0	62605	0	0	10831458900	34268402	0	6856	0	0	144	141	23.370539007092194	24.39	23.7	12.31
169	11430	303524	57619671722	181560960	0	174297	0	0	14853562152	46875020	0	28794	0	0	169	157	76.70871337579617	38.06	29.7	15.42
196	10379	304834	53119040244	168943590	0	305167	0	0	13620036348	43433606	0	52721	0	0	196	173	115.02221965317915	50.31	38.4	19.78
225	7388	306243	46801794560	150048883	0	338213	0	0	11979017134	38537985	0	71306	0	0	225	183	116.41849726775958	68.14	49.17	24.96
256	11011	305959	38767503780	126246981	0	270812	0	0	9923496002	32442819	0	78212	0	0	256	209	135.24797129186604	54.0	41.59	22.19
289	7787	306779	29410599316	98094682	0	220649	0	0	7521524352	25217595	0	90417	0	0	289	237	124.88348945147683	36.54	29.61	17.36
324	10586	306644	23065123216	79372166	0	231098	0	0	5933469370	20537581	0	110770	0	0	324	243	129.33842798353913	96.46	70.36	36.38
361	7867	315260	23251062896	80453114	0	297643	0	0	5981015034	20841020	0	123438	0	0	361	236	153.99112711864396	103.08	73.56	39.02
400	8814	308379	18334448162	65921416	0	225285	0	0	4710473872	17068743	0	128911	0	0	400	228	139.34438157894738	103.81	66.6	35.8
