node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
49	1590	300624	152675216	749126	0	0	0	0	44439562	217439	0	0	0	0	49	49	0.4545306122448979	0.2	0.18	0.49
64	1761	300810	261018314	1093545	0	0	0	0	74419544	311070	0	0	0	0	64	64	0.6378906250000002	0.14	1.24	1.37
81	1973	301000	413995386	1501541	0	0	0	0	116215838	421021	0	0	0	0	81	81	0.8055061728395064	0.06	0.23	0.39
100	2186	301243	633013252	2039738	0	0	0	0	175494738	565075	0	0	0	0	100	100	1.1743800000000002	0.49	0.82	1.03
121	2440	301502	920052494	2698241	0	0	0	0	252544050	740255	0	0	0	0	121	121	1.489157024793388	0.55	2.15	2.64
144	2829	301768	1300527836	3533170	0	0	0	0	354032530	961473	0	0	0	0	144	144	2.177861111111112	0.69	7.41	8.5
169	3231	302122	1503865646	4005739	0	0	0	0	406426210	1083079	0	0	0	0	169	169	3.116100591715976	1.26	9.58	10.79
196	3645	302444	1277881524	3696020	0	0	0	0	343358130	994967	0	0	0	0	196	196	4.364061224489798	1.35	12.14	13.72
225	4077	302812	1148414140	3623690	0	0	0	0	306300818	969605	0	253	0	0	225	221	5.6252217194570155	1.31	15.21	17.23
256	4678	303189	1076651134	3644875	0	0	0	0	285477044	971178	0	1323	0	0	256	244	7.319434426229506	1.22	13.08	15.36
289	5194	303842	1056321212	3742264	0	0	0	0	278517232	990484	0	0	0	0	289	237	8.942561181434602	1.4	9.54	12.09
324	5747	304279	1083180406	3749397	0	0	0	0	284859618	989617	0	3320	0	0	324	229	9.770100436681231	1.71	21.46	24.92
361	6153	304945	1171403422	3855967	0	0	0	0	306747132	1010264	0	457	0	0	361	218	10.577389908256885	1.5	23.1	27.23
400	7087	305662	1284630404	3908962	0	0	0	0	336094514	1023621	0	4942	0	0	400	218	11.502807339449546	1.35	22.92	26.58
