node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1611	300653	88813162	443831	0	0	0	0	44111340	215974	0	0	0	0	50	50	0.45333999999999997	0.2	0.4	39.58
100	2183	301272	345632698	1171647	0	0	0	0	170280288	568840	0	0	0	0	100	100	0.9721900000000001	0.08	0.2	1.92
150	2794	301888	768800902	2179125	0	0	0	0	378426292	1057916	0	0	0	0	150	150	1.870426666666667	0.37	3.71	4.72
200	3477	302499	1361597896	3469970	0	0	0	0	668835362	1684747	0	0	0	0	200	200	2.901749999999999	1.2	13.74	14.75
250	4219	303183	1586706690	3996605	0	0	0	0	775529318	1956243	0	0	0	0	250	250	3.8967160000000005	1.38	13.38	15.44
300	4990	303876	1152384214	3300085	0	0	0	0	547492982	1604675	0	1565	0	0	300	297	6.679245791245787	1.55	23.35	25.48
350	5761	304724	981180094	3066841	0	0	0	0	452604462	1483733	0	1674	0	0	350	350	9.168388571428574	1.24	1.64	3.92
400	6627	305659	898831376	2945546	0	0	0	0	395594018	1406433	0	13406	0	0	400	400	12.751264999999995	3.15	2.39	2.71
450	7748	306829	879267268	2761434	0	0	0	0	370852892	1296016	0	35687	0	0	450	450	16.202964444444454	3.54	4.82	4.55
500	8825	308105	892913540	2845668	0	0	0	0	361611590	1325775	0	31867	0	0	500	499	17.374026052104213	1.37	3.45	5.57
550	9840	309928	920496974	2563095	0	0	0	0	356999448	1152722	0	90673	0	0	550	530	21.864092452830192	1.85	2.99	5.75
600	10503	310732	651661408	642450	0	0	0	0	217953854	238841	0	0	0	0	600	600	0.4441050000000003	0.57	5.24	9.88
650	12312	312436	742971862	717711	0	0	0	0	248993106	268959	0	0	0	0	650	650	0.42628307692307676	0.61	3.54	7.22
700	13922	313956	861794734	815485	0	0	0	0	292047490	304789	0	0	0	0	700	700	0.43073428571428574	3.32	7.12	9.72
750	14668	315944	951040070	901027	0	0	0	0	317990880	332868	0	0	0	0	750	750	0.4780026666666676	1.06	11.58	14.71
800	16599	319995	1128954412	1034260	0	0	0	0	374568744	378134	0	0	0	0	800	800	0.4623937500000003	1.91	8.74	14.42
850	17885	325472	1286651552	1164906	0	0	0	0	414480802	415107	0	0	0	0	850	850	0.48377647058823553	2.16	16.16	21.24
900	19750	324010	1419007986	1271409	0	0	0	0	468155486	458993	0	0	0	0	900	900	0.47035333333333396	2.37	22.23	29.31
950	24459	329803	1592779028	1412412	0	0	0	0	522488894	505227	0	0	0	0	950	948	0.48064345991561147	3.52	25.93	36.76
1000	26826	333546	1702316720	1512414	0	0	0	0	569693710	548201	0	0	0	0	1000	1000	0.5270530000000003	4.31	45.68	92.49
1050	23923	354274	2106559394	1810517	0	0	0	0	694171280	642930	0	0	0	0	1050	1050	0.4743609523809521	19.71	72.79	81.11
1100	29992	375449	2192463552	1913028	0	0	0	0	710042406	672995	0	0	0	0	1100	1100	0.47463636363636286	32.29	84.96	95.55
1150	32216	492641	2054549212	1899354	0	0	0	0	664288936	685292	0	0	0	0	1150	1145	0.4813388646288214	6.1	134.31	151.12
1200	52967	489185	2255023694	2061733	0	0	0	0	727893746	738201	0	0	0	0	1200	1197	0.4847702589807847	7.76	129.38	160.82
1250	38979	581905	2535820754	2318733	0	0	0	0	821285706	838311	0	0	0	0	1250	1238	0.4691744749596125	8.53	169.64	207.16
1300	55069	560703	2576393418	2353915	0	0	0	0	841536138	862901	0	0	0	0	1300	1283	0.4532517537022606	8.28	164.16	224.39
1350	48559	601160	2640418730	2465409	0	0	0	0	857874820	905342	0	0	0	0	1350	1327	0.45172645064054234	8.51	176.78	235.74
1400	75361	628984	2888877180	2669480	0	0	0	0	941340116	981434	0	0	0	0	1400	1376	0.45600145348837134	9.59	188.78	250.94
1450	53551	556270	3535897084	3109076	0	0	0	0	1153492542	1116901	0	0	0	0	1450	1441	0.5106849410131846	7.69	138.37	178.65
1500	143979	660762	3377386910	3083581	0	0	0	0	1096178226	1131071	0	0	0	0	1500	1386	0.5129054834054826	51.43	220.89	277.52
1550	108450	667046	3395923686	3152043	0	0	0	0	1113299696	1169658	0	0	0	0	1550	1514	0.5422067371202121	10.07	188.36	272.67
1600	152623	691282	4138753000	3683240	0	0	0	0	1333160452	1339092	0	0	0	0	1600	1468	0.5394645776566755	11.38	224.21	308.11
1650	221315	703043	4105681658	3659571	0	0	0	0	1314705692	1338508	0	0	0	0	1650	1191	0.559568429890848	35.84	291.44	365.5
1700	226942	715346	4368182050	3889103	0	0	0	0	1400872992	1424282	0	0	0	0	1700	1246	0.5860128410914931	45.29	287.96	364.81
1750	322230	646726	5189624222	4459371	0	0	0	0	1682863038	1610549	0	0	0	0	1750	1695	0.6333893805309738	10.69	184.46	302.63
1800	300201	802091	4217722082	3949461	0	0	0	0	1362976406	1478827	0	0	0	0	1800	1287	0.6200077700077706	129.73	350.13	395.49
1850	391742	778206	4415075342	3993989	0	0	0	0	1419224662	1504993	0	0	0	0	1850	720	0.629654166666667	427.28	485.8	461.63
