node_count	software_startup_ms	traffic_measurement_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1601	301636	103344544	466278	0	0	0	0	52234136	236370	0	0	0	0	50	46	0.6069347826086957	0.07	0.15	0.32
100	2169	301240	289530439	1004206	0	0	0	0	145321632	505324	0	0	0	0	100	63	1.2232539682539683	0.4	0.26	0.45
150	2740	301850	528309188	1543399	0	0	0	0	264722387	774950	0	0	0	0	150	94	1.5259468085106391	0.41	0.85	1.81
200	3345	303436	448292987	500705	0	0	0	0	224179629	250505	0	0	0	0	200	0	0.0	0.04	0.46	1.59
50	1595	300636	32730634	99503	0	0	0	0	16396841	49903	0	0	0	0	50	50	0.27962000000000004	0.06	0.44	0.75
100	2153	301219	118495082	215023	0	0	0	0	59277677	107657	0	0	0	0	100	88	0.42729545454545453	0.14	0.48	0.73
150	2709	301817	255989702	328094	0	0	0	0	128026320	164202	0	0	0	0	150	123	0.46706504065040655	0.24	0.89	0.98
200	3269	302427	449393248	497254	0	0	0	0	224725284	248776	0	0	0	0	200	129	0.48685271317829465	0.43	1.82	1.76
250	3835	303089	705207202	822986	0	0	0	0	352634299	411643	0	0	0	0	250	155	0.5158645161290321	0.68	2.04	2.23
300	4411	303872	992110109	1102314	0	0	0	0	496086263	551302	0	0	0	0	300	145	0.5920070422535212	0.64	2.5	2.87
