node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1617	10435	324832	2106	0	0	0	0	123590	703	0	0	0	0	49	49	0.1844285714285714	15.47	243.26	340.15
100	2169	21034	1460993	5964	0	0	0	0	649638	2046	0	0	0	0	99	99	0.23004040404040405	1.93	33.55	177.92
150	2734	31611	4067379	12912	0	0	0	0	1806675	4379	0	0	0	0	149	149	0.2242751677852349	3.5	7.23	85.22
200	3300	42196	9004323	20180	0	0	0	0	4211431	7317	0	0	0	0	199	199	0.29941708542713547	2.08	6.1	42.95
250	3873	52745	16603088	31887	0	0	0	0	7835146	11866	0	0	0	0	249	249	0.3344016064257029	2.47	8.08	23.21
300	4440	63285	27150124	44486	0	0	0	0	13108693	17216	0	0	0	0	299	299	0.34906020066889615	2.55	10.74	16.64
350	5033	73946	42646704	68644	0	0	0	0	20511248	26908	0	0	0	0	349	349	0.40968194842406847	6.57	16.47	17.08
400	5637	84625	62237080	84054	0	0	0	0	30101494	34669	0	0	0	0	399	399	0.3783709273182956	6.21	18.55	19.33
450	6390	95356	87024716	114550	0	0	0	0	42250259	46622	0	0	0	0	449	449	0.3643541202672604	3.71	20.72	25.86
500	7059	106062	116871855	135920	0	0	0	0	57539476	58534	0	0	0	0	499	499	0.3548617234468937	3.29	12.89	15.7
550	7794	116845	155749840	173110	0	0	0	0	76448518	74464	0	0	0	0	549	549	0.3984189435336983	4.64	17.92	15.79
600	8536	127593	200142553	214512	0	0	0	0	98625889	92605	0	0	0	0	599	599	0.4356594323873117	5.77	19.91	17.82
650	102264	138415	256547226	265200	0	0	0	0	127023242	120081	0	0	0	0	649	649	0.4134052388289674	17.38	84.63	54.43
700	10038	149168	318325007	329193	0	0	0	0	157122608	145690	0	0	0	0	699	699	0.5256824034334768	4.76	25.46	30.52
750	11003	160165	389873065	382742	0	0	0	0	193103375	173680	0	0	0	0	749	749	0.5107770360480646	8.22	34.67	34.46
800	165709	195004	790346409	873842	0	0	0	0	382998724	408271	0	0	0	0	799	776	0.237041237113402	33.39	192.78	134.44
850	13336	183175	568362087	522823	0	0	0	0	282665781	240479	0	0	0	0	849	849	0.5495724381625443	9.57	46.2	58.17
900	23281	195300	682199096	612099	0	0	0	0	338646886	282970	0	0	0	0	899	899	0.5649154616240261	6.86	41.28	47.46
950	179082	277101	1351262325	1424242	0	0	0	0	615402799	651775	0	0	0	0	949	55	0.1721636363636363	431.63	402.19	246.99
