node_count	software_startup_ms	traffic_ms	rx_bytes	rx_packets	rx_errors	rx_dropped	rx_overrun	rx_mcast	tx_bytes	tx_packets	tx_errors	tx_dropped	tx_carrier	tx_collsns	packets_send	packets_received	rtt_avg_ms	load1	load5	load15
50	1616	10433	3130666	16171	0	0	0	0	1517986	7391	0	0	0	0	49	49	0.3278775510204082	4.93	192.46	315.46
100	2179	21029	23486084	84778	0	0	0	0	11563224	39438	0	0	0	0	99	99	0.565787878787879	1.22	25.43	162.41
150	2792	31609	77496032	237286	0	0	0	0	38357068	111286	0	0	0	0	149	149	1.188040268456376	1.7	5.52	77.02
200	3400	42163	180449356	489140	0	0	0	0	89900114	233251	0	0	0	0	199	199	1.5986080402010059	1.04	4.5	38.43
250	4065	52786	232549138	650537	0	0	0	0	115417592	311504	0	0	0	0	249	249	2.9033212851405645	1.86	5.99	20.68
300	4772	63300	212547966	704503	0	0	0	0	104499222	335329	0	0	0	0	299	299	3.9109030100334445	2.04	7.52	14.67
350	5534	73941	184105528	830650	0	0	0	0	85374240	371318	0	0	0	0	349	346	6.86359248554913	2.43	11.09	14.98
400	6329	84594	170449886	965083	0	0	0	0	74645858	415651	0	5257	0	0	399	399	6.8614385964912294	3.14	14.01	17.67
450	7201	95540	172780524	1108482	0	51	0	0	72220828	456282	0	11915	0	0	449	421	9.881057007125882	3.07	12.85	21.98
500	8001	106554	163101950	1160381	0	0	0	0	64230796	461960	0	14907	0	0	499	478	9.459023012552306	1.31	7.89	13.29
550	9043	117954	171311074	1284773	0	74	0	0	67558542	510743	0	24254	0	0	549	472	11.709417372881346	1.69	10.32	13.21
600	10059	129687	188182058	1444937	0	164	0	0	72055530	559027	0	29389	0	0	599	501	14.19522355289421	1.82	11.0	14.68
650	11641	140162	170889528	1389164	0	11	0	0	64695554	541061	0	26782	0	0	649	525	13.422931428571422	3.22	42.64	43.77
700	12447	152573	185409166	1550777	0	30	0	0	69789692	600370	0	35731	0	0	699	471	19.3302951167728	4.34	13.46	24.48
750	13833	164495	180791082	1558637	0	15	0	0	68352142	609183	0	36060	0	0	749	502	19.636667330677312	2.07	16.77	27.14
800	16687	175622	193601174	1709485	0	11	0	0	70422342	647561	0	37776	0	0	799	618	20.752260517799357	2.6	84.71	103.47
850	18524	188961	229233258	2000357	0	85	0	0	81440534	739433	0	45463	0	0	849	654	21.330733944954133	2.19	20.11	44.1
900	23103	200925	204993922	1875447	0	27	0	0	73643240	706584	0	46703	0	0	899	563	23.148914742451154	4.13	18.15	35.88
950	23270	212457	226602978	2047723	0	32	0	0	79836266	758239	0	51575	0	0	949	522	27.029047892720282	6.02	155.27	183.49
